,Concept_ID,kk,ka
640,Zeit::N,уақыт,დრო
641,Tag::N,күн,დღე
642,Morgen::N,таң,დილა
643,Morgen::N,таңертең,დილა
644,Mittag::N,талтүс,შუადღე
645,Abend::N,кеш,საღამო
646,Nacht::N,түн,ღამე
647,Woche::N,апта,კვირა
648,Monat::N,ай,თვე
649,Jahr::N,жыл,წელი
650,Frühling::N,көктем,გაზაფხული
651,Sommer::N,жаз,ზაფხული
652,Herbst::N,күз,შემოდგომა
653,Winter::N,қыс,ზამთარი
654,Januar::N,каңтар,იანვარი
655,Februar::N,ақпан,თებერვალი
656,März::N,наурыз,მარტი
657,April::N,сәуір,აპრილი
658,Mai::N,мамыр,მაისი
659,Juni::N,маусым,ივნისი
660,Juli::N,шілде,ივლისი
661,August::N,сүмбіле,აგვისტო
662,August::N,тамыз,აგვისტო
663,September::N,қыркүйек,სექტემბერი
664,Oktober::N,ақырап,ოქტომბერი
665,November::N,қараша,ნოემბერი
666,Dezember::N,желтоқсан,დეკემბერი
667,Montag::N,дүйсенбі,ორშაბათი
668,Dienstag::N,сейсенбі,სამშაბათი
669,Mittwoch::N,сәрсенбі,ოთხშაბათი
670,Donnerstag::N,бейсенбі,ხუთშაბათი
671,Freitag::N,жұма,პარასკევი
672,Samstag::N,сенбі,შაბათი
673,Sonntag::N,жексембі,კვირა
674,groß::A,алпамсадай,დიდი
675,klein::A,кішкене,მცირე
676,klein::A,кішкене,პატარა
677,klein::A,қарғадай,მცირე
678,klein::A,қарғадай,პატარა
679,lang::A,сопақ,გრძელი
680,lang::A,сорайған,გრძელი
681,kurz::A,кеспелтек,მოკლე
682,breit::A,айдынды,ფართო
683,breit::A,айдынды,განიერი
684,schmal::A,қысық,ვიწრო
685,schmal::A,қысық,წვრილი
686,dicht::A,жиі,მჭიდრო
687,dick[Gegenstand]::A,шомбал,სქელი
688,dünn::A,жұқа,წვრილი
689,dünn::A,жіңішке,წვრილი
690,fein::A,қаңылтақ,თხელი
691,fest::A,берік,მყარი
692,fest::A,мызғымас,მყარი
693,flach::A,жалпак,ბრტყელი
694,glatt::A,типыл,გლუ
695,hart::A,қатты,მაგარი
696,weich::A,жұмсақ,რბილი
697,rund::A,домалақ,მრგვალი
698,spitz::A,үшкір,წვეტიანი
699,scharf::A,сүйрік,მჭრელი
700,stumpf::A,доғал,ბლაგვი
701,stumpf::A,өтпейтін,ბლაგვი
702,schwer::A,салмақты,მძიმე
703,schön::A,сұлу,ლამაზი
704,heiß::A,ыссы,ცხელი
705,warm::A,жылы,თბილი
706,kalt::A,аязды,ცივი
707,kühl::A,салқын,გრილი
708,frisch::A,таза,სუფთა
709,frisch::A,жаңа,სუფთა
710,feucht::A,нам,ნოტიო
711,feucht::A,дымқылды,ნოტიო
712,nass::A,сулы,სველი
