,Concept_ID,myv,ba
364,Osten::N,чилисема,көнсығыш
365,Holz::N,чувто,үағас
366,Brett::N,лаз,таҡта
367,Platte::N,плита,плита
368,Stütze::N,неже,терәк
369,Stange::N,олга,кәртә
370,Stock::N,мандо,таяҡ
371,Stab::N,олога,ҡолға
372,Rohr::N,турба,торба
373,Haus::N,кудо,өй
374,Haus::N,кудо,йорт
375,Heim::N,кудо,өй
376,Ofen::N,каштомо,мейес
377,Fußboden::N,киякс,енес
378,Tisch::N,столь,өҫтәл
379,Stuhl::N,стул,ултырғыс
380,Wiege::N,лавсь,бишек
381,Wiege::N,нурямот,бишек
382,Bett::N,ацамо,карауат
383,Regal::N,лався,кәштә
384,Regal::N,лавсяланго,кәштә
385,Kiste::N,горобия,йәшинк
386,Kiste::N,сундук,йәшинк
387,Fenster::N,вальма,тәҙрә
388,Tür::N,кенкш,ишек
389,Tor::N,ортат,ҡапҡа
390,Zaun::N,пирявт,ҡойма
391,Zaun::N,пирвякс,ҡойма
392,Dach::N,кудопря,түбә
393,Dach::N,кудопря,ҡыйыҡ
394,Leiter::N,кузтема,баҫҡыс
395,Besen::N,тенсть,һепертке
396,Spaten::N,койме,көрәк
397,Schaufel::N,кече,көрәк
398,Schaufel::N,келей койме,көрәк
399,Gabel::N,сянгине,сәнске
400,Löffel::N,пенч,ҡалаҡ
401,Messer::N,пеель,бысаҡ
402,Nagel::N,эске,сөй
403,Netz::N,алтыма,ау
404,Haken::N,кечказ,ыргаҡ
405,Griff::N,кедне,тотҡа
406,Schloss::N,замок,йоҙаҡ
407,Schloss::N,панжома,йоҙаҡ
408,Bild::N,картина,картина
409,Figur::N,рунго,һын
410,Puppe::N,няка,ҡурсаҡ
411,Beutel::N,кескав,тоҡ
412,Bündel::N,керькс,төргәк
413,Tasche::N,юдма,сумка
414,Eimer::N,ведра,биҙрә
415,Deckel::N,велькс,ҡапҡас
416,Geschirr::N,кедьге,һауыт-һаба
417,Sack::N,кескав,тоҡ
418,Tasse::N,чакш,сынаяҡ
419,Topf::N,кастрюля,кәстрүл
420,Kessel::N,котёл,ҡаҙан
421,Essen::N,ярсамо,ашау
422,Nahrung::N,ярсамопель,аҙыҡ
423,Speise::N,ярсамопель,аш
424,Fleisch::N,сывель,ит
425,Getreide::N,сюро,иген
426,Getreide::N,сюро,ашлыҡ
427,Brei::N,каша,бутҡа
428,Brot::N,кши,икмәк
429,Scheibe::N,кочом,телем
430,Scheibe::N,сускомо,телем
431,Fett::N,куя,май
432,Butter::N,ой,май
433,Öl::N,ой,май буяуы
434,Salz::N,сал,тоҙ
435,Suppe::N,ям,һурпа
436,Honig::N,медь,бал
437,Milch::N,ловсо,һөт
438,Tee::N,чай,сәй
439,Leder::N,киське,күн
440,Wolle::N,пона,йөн
441,Stoff::N,коцт,туҡыма
442,Nadel::N,салмукс,энә
443,Faden::N,суре,еп
444,Knopf::N,пов,төймә
445,Knoten::N,сюлмо,төйөн
446,Farbe::N,артомапель,буяу
447,Kleidung::N,оршамот,кейем
448,Hemd::N,панар,күлдәк
449,Kragen::N,сиве,яға
450,Ärmel::N,ожа,ең
451,Hose::N,понкст,салбар
452,Gürtel::N,каркс,ҡайыш
453,Mütze::N,чапка,бүрк
454,Schuh::N,туфля,туфли
455,Stiefel::N,кем,итек
456,Ring::N,суркс,йөҙөк
457,Ring::N,суркс,балдаҡ
458,Band::N,лента,таҫма
459,Kamm::N,сурсеме,тараҡ
460,Spiegel::N,чавачамо,көзгө
461,Riemen::N,кшнань каркс,ҡайыш
462,Schnur::N,пикс,бау
463,Leine::N,ведьме,бау
464,Decke::N,вельтямо,одеяд
465,Kissen::N,тодов,мендәр
466,Tuch::N,паця,яулыҡ
467,Handtuch::N,нардамо,таҫтамал
468,Kraft::N,вий,көс
469,Stärke::N,виевчи,көс
470,Gesundheit::N,шумбрачи,һаулыҡ
471,Krankheit::N,орма,сир
472,Krankheit::N,орма,ауырыу
473,Krankheit::N,сэредема,сир
474,Krankheit::N,сэредема,ауырыу
475,Schmerz::N,сэредькс,һыҙлау
476,Schmerz::N,сэредькс,әрнеү
477,Wunde::N,керявкс,йәрәхәт
478,Fieber::N,маштыкс,тапма
479,Fieber::N,маштыкс,биҙгәк
480,Arznei::N,ормаменькс,дарыу
481,Brücke::N,сэдь,күпер
482,Brücke::N,мадамо,күпер
483,Brunnen::N,лисьма,ҡоҙоҡ
484,Weide::N,ракшань ванома тарка,көтөүлек
485,Pfad::N,ян,һуҡмаҡ
486,Weg::N,ки,юл
487,Straße::N,ки,урам
488,Dorf::N,веле,ауыл
489,Stadt::N,ош,ҡала
490,Brief::N,сёрма,хат
491,Buch::N,книга,китап
492,Buch::N,книга,кенәгә
493,Buchstabe::N,буква,хәреф
494,Zeitung::N,газета,гәзит
495,Leben::N,эрямо,йәшәү
496,Tod::N,кулома,үлем
497,Grab::N,калмо,ҡәбер
498,Kirche::N,церькова,сиркәү
499,Sünde::N,чумочи,гөнаһ
500,Gott::N,паз,алла
501,Gott::N,паз,хоҙай
502,Arbeiter::N,робочей,эшсе
503,Chef::N,прявт,башлыҡ
504,Meister::N,кол тевень тенця,оҫта
505,Arzt::N,врач,врач
506,Lehrer::N,учитель,уҡытыусы
507,Lehrer::N,тонавтыця,уҡытыусы
508,Geld::N,ярмак,аҡса
509,Geschäft::N,ладязь тев,эш
510,Laden::N,лавка,магазин
511,Preis::N,питне,хаҡ
512,Ware::N,миевкс,тауар
513,Ware::N,рамавкс,тауар
514,Nutzen::N,паро,файҙа
515,Nutzen::N,лезэ,файҙа
516,Reichtum::N,сюпавчи,байлыҡ
517,Welt::N,мир,донъя
518,Welt::N,мастор ланго,донъя
519,Land::N,мастор,ил
520,Staat::N,государства,дәүләт
521,König::N,король,король
522,Macht::N,азорксчи,власть
523,Grenze::N,буен тешкс,сик
524,Krieg::N,война,һуғыш
525,Feind::N,душман,йылан
526,Gewalt::N,нарьгамо,көслөк
527,Kampf::N,тюрема,көрәш
528,Bogen[Waffe]::N,нал,йәйә
529,Pfeil::N,нал,уҡ
530,Gewehr::N,ружия,мылтыҡ
531,Gewehr::N,винтовка,мылтыҡ
532,Fehler::N,ильведькс,хата
533,Fehler::N,ильведевкс,хата
534,Lüge::N,манчема,ялған
535,Lüge::N,кенгелема,ялған
536,Schaden::N,зыян,зыян
537,Schaden::N,зыян,зарар
538,Unglück::N,зыян,ҡаза
