,Concept_ID,myv,la
480,Krankheit::N,орма,morbus
481,Krankheit::N,сэредема,morbus
482,Schmerz::N,сэредькс,dolor
483,Wunde::N,керявкс,vulnus
484,Fieber::N,маштыкс,febris
485,Arznei::N,ормаменькс,remedium
486,Brücke::N,сэдь,pons
487,Brücke::N,мадамо,pons
488,Brunnen::N,лисьма,puteus
489,Weide::N,ракшань ванома тарка,pascua
490,Pfad::N,ян,semita
491,Weg::N,ки,iter
492,Straße::N,ки,via
493,Dorf::N,веле,vicus
494,Stadt::N,ош,urbs
495,Stadt::N,ош,oppidum
496,Brief::N,сёрма,epistula
497,Buch::N,книга,liber
498,Buchstabe::N,буква,littera
499,Zeitung::N,газета,diurnum
500,Leben::N,эрямо,vita
501,Tod::N,кулома,mors
502,Grab::N,калмо,sepulcrum
503,Kirche::N,церькова,ecclesia
504,Sünde::N,чумочи,peccatum
505,Gott::N,паз,deus
506,Arbeiter::N,робочей,operarius
507,Chef::N,прявт,praefectus
508,Meister::N,кол тевень тенця,magister
509,Arzt::N,врач,medicus
510,Lehrer::N,учитель,magister
511,Lehrer::N,тонавтыця,magister
512,Geld::N,ярмак,aes
513,Geld::N,ярмак,pecunia
514,Geschäft::N,ладязь тев,negotium
515,Laden::N,лавка,taberna
516,Preis::N,питне,pretium
517,Ware::N,миевкс,merx
518,Ware::N,рамавкс,merx
519,Nutzen::N,паро,utilitas
520,Nutzen::N,лезэ,utilitas
521,Reichtum::N,сюпавчи,opes
522,Reichtum::N,сюпавчи,divitiae
523,Welt::N,мир,mundus
524,Welt::N,мастор ланго,mundus
525,Land::N,мастор,terra
526,Staat::N,государства,res publica
527,König::N,король,rex
528,Macht::N,азорксчи,potestas
529,Grenze::N,буен тешкс,limes
530,Krieg::N,война,bellum
531,Feind::N,душман,inimicus
532,Gewalt::N,нарьгамо,vis
533,Kampf::N,тюрема,pugna
534,Bogen[Waffe]::N,нал,arcus
535,Pfeil::N,нал,sagitta
536,Gewehr::N,ружия,sclopetum
537,Gewehr::N,винтовка,sclopetum
538,Fehler::N,ильведькс,error
539,Fehler::N,ильведевкс,error
540,Lüge::N,манчема,mendacium
541,Lüge::N,кенгелема,mendacium
542,Schaden::N,зыян,damnum
543,Schaden::N,зыян,detrimentum
544,Unglück::N,зыян,miseria
545,Unglück::N,зыян,calamitas
546,Schuld::N,чумочи,culpa
547,Alter::N,шка,aetas
