,Concept_ID,bg,el
548,Arzt::N,лекар,γιατρός
549,Lehrer::N,учител,δάσκαλος
550,Geld::N,пари,λεφτά
551,Geld::N,пари,χρήματα
552,Geschäft::N,сделка,συναλλαγή
553,Laden::N,дюкян,μαγαζί
554,Laden::N,дюкян,κατάστημα
555,Laden::N,магазин,μαγαζί
556,Laden::N,магазин,κατάστημα
557,Preis::N,цена,τιμή
558,Ware::N,стока,εμπόρευμα
559,Nutzen::N,полза,όφελος
560,Nutzen::N,облага,όφελος
561,Reichtum::N,богатство,πλούτος
562,Welt::N,свят,κόσμος
563,Land::N,страна,χώρα
564,Staat::N,щат,κράτος
565,Staat::N,щат,πολιτεία
566,Staat::N,държава,κράτος
567,Staat::N,държава,πολιτεία
568,König::N,крал,βασιλιάς
569,Macht::N,мощ,εξουσία
570,Macht::N,власт,εξουσία
571,Grenze::N,граница,σύνορα
572,Krieg::N,война,πόλεμος
573,Feind::N,враг,εχθρός
574,Feind::N,неприятел,εχθρός
575,Gewalt::N,сила,βία
576,Gewalt::N,насилие,βία
577,Kampf::N,борба,αγώνας
578,Kampf::N,сражение,αγώνας
579,Bogen[Waffe]::N,лък,τόξο
580,Pfeil::N,стрела,σαΐτα
581,Gewehr::N,пушка,τουφέκι
582,Fehler::N,грешка,λάθος
583,Fehler::N,грешка,σφάλμα
584,Lüge::N,лъжа,ψέμα
585,Lüge::N,лъжа,ψεύδος
586,Schaden::N,повреда,ζημία
587,Unglück::N,нещастие,δυστυχία
588,Schuld::N,вина,ενοχή
589,Schuld::N,вина,φταίξιμο
590,Alter::N,възраст,ηλικία
591,Schluss::N,край,τέλος
592,Zeit::N,време,χρόνος
593,Tag::N,ден,μέρα
594,Tag::N,ден,ημέρα
595,Morgen::N,утро,πρωί
596,Morgen::N,сутрин,πρωί
597,Mittag::N,обед,μεσημέρι
598,Mittag::N,пладне,μεσημέρι
599,Abend::N,вечер,βράδυ
600,Nacht::N,нощ,νύχτα
601,Woche::N,седмица,εβδομάδα
602,Monat::N,месец,μήνας
603,Jahr::N,година,έτος
604,Jahr::N,година,χρόνος
605,Frühling::N,пролет,άνοιξη
606,Sommer::N,лято,καλοκαίρι
607,Herbst::N,есен,φθινόπωρο
608,Winter::N,зима,χειμώνας
609,Januar::N,януари,Ιανουάριος
610,Februar::N,февруари,Φεβρουάριος
611,März::N,март,Μάρτιος
612,April::N,април,Απρίλιος
613,Mai::N,май,Μάιος
614,Juni::N,юни,Ιούνιος
615,Juli::N,юли,Ιούλιος
616,August::N,август,Αύγουστος
617,September::N,септември,Σεπτέμβριος
618,Oktober::N,октомври,Οκτώβριος
619,November::N,ноември,Νοέμβριος
620,Dezember::N,декември,Δεκέμβριος
621,Montag::N,понеделник,Δευτέρα
622,Dienstag::N,вторник,Τρίτη
623,Mittwoch::N,сряда,Τετάρτη
624,Donnerstag::N,четвъртък,Πέμπτη
625,Freitag::N,петък,Παρασκευή
626,Samstag::N,събота,Σάββατο
627,Sonntag::N,неделя,Κυριακή
628,groß::A,едър,μεγάλος
629,groß::A,голям,μεγάλος
630,klein::A,малък,μικρός
631,klein::A,дребен,μικρός
632,lang::A,дълъг,μακρύς
633,kurz::A,къс,κοντός
634,breit::A,широк,φαρδύς
635,schmal::A,тесен,στενός
636,dicht::A,гъст,πυκνός
637,dick[Gegenstand]::A,дебел,παχύς
638,dick[Gegenstand]::A,дебел,χοντρός
639,dünn::A,тънък,ψιλός
