,Concept_ID,de,hy
70,Stein::N,Stein,քար
71,Boden::N,Boden,գետին
72,Erde::N,Erde,հող
73,Staub::N,Staub,փոշի
74,Rauch::N,Rauch,ծուխ
75,Funke::N,Funke,կայծ
76,Feuer::N,Feuer,կրակ
77,Feuer::N,Feuer,հրդեհ
78,Licht::N,Licht,լույս
79,Schatten::N,Schatten,ստվեր
80,Wetter::N,Wetter,եղանակ
81,Nebel::N,Nebel,մեգ
82,Nebel::N,Nebel,մառախուղ
83,Wolke::N,Wolke,ամպ
84,Regen::N,Regen,անձրև
85,Schnee::N,Schnee,ձյուն
86,Eis::N,Eis,սառույց
87,Frost::N,Frost,սառնամանիք
88,Kälte::N,Kälte,դող
89,Hitze::N,Hitze,շոգ
90,Raureif::N,Raureif,ցօղեղեամ
91,Regenbogen::N,Regenbogen,ծիածան
92,Donner::N,Donner,որոտ
93,Strömung::N,Strömung,հոսանք
94,Tropfen::N,Tropfen,կաթիլ
95,Schaum::N,Schaum,փրփուր
96,Schmutz::N,Schmutz,կեղտ
97,See::N,See,լիճ
98,Sumpf::N,Sumpf,ճահիճ
99,Moor::N,Moor,ճահիճ
100,Wiese::N,Wiese,մարգագետին
101,Wald::N,Wald,անտառ
102,Hügel::N,Hügel,բլուր
103,Anhöhe::N,Anhöhe,բարձունք
104,Berg::N,Berg,լեռ
105,Gipfel::N,Gipfel,գագաթ
106,Gipfel::N,Gipfel,կատար
107,Höhle::N,Höhle,քարայր
108,Abhang::N,Abhang,լանջ
109,Abhang::N,Abhang,զառիվայր
110,Quelle::N,Quelle,աղբյուր
111,Bach::N,Bach,վտակ
112,Fluss::N,Fluss,գետ
113,Ufer::N,Ufer,ծովափ
114,Küste::N,Küste,ափ
115,Küste::N,Küste,ծովափ
116,Festland::N,Festland,ցամաք
117,Meer::N,Meer,ծով
118,Bucht::N,Bucht,հաչիւն
119,Insel::N,Insel,վղզի
120,Blume::N,Blume,ծաղիկ
121,Gras::N,Gras,խոտ
122,Wurzel::N,Wurzel,արմատ
123,Baum::N,Baum,ծառ
124,Stamm::N,Stamm,իրան
125,Rinde::N,Rinde,կեղեւ
126,Rinde::N,Rinde,հաչոց
127,Ast::N,Ast,ճյուղ
128,Zweig::N,Zweig,ճյուղ
129,Blatt::N,Blatt,տերեւ
130,Birke::N,Birke,ցարասի
131,Kiefer[Baum]::N,Kiefer,սոճի
132,Weide[Baum]::N,Weide,ուռենի
133,Tanne::N,Tanne,եղեւին
134,Horn::N,Horn,
135,Feder::N,Feder,փետուր
136,Fell::N,Fell,մորթի
137,Flügel::N,Flügel,թեւ
138,Klaue::N,Klaue,չանչ
139,Kralle::N,Kralle,ճանկ
140,Schwanz::N,Schwanz,պոչ
141,Ei::N,Ei,ձու
142,Nest::N,Nest,բույն
143,Bau::N,Bau,որջ
144,Bau::N,Bau,բայոց
145,Tier::N,Tier,կենդանի
146,Herde::N,Herde,հոտ
147,Kuh::N,Kuh,կով
148,Bulle::N,Bulle,ցուլ
149,Pferd::N,Pferd,ձի
150,Schaf::N,Schaf,ոչխար
151,Schwein::N,Schwein,խոզ
152,Hund::N,Hund,շուն
153,Katze::N,Katze,կատու
154,Bär::N,Bär,արջ
155,Eichhörnchen::N,Eichhörnchen,սկյուռ
156,Elch::N,Elch,հիւսիսային եղջերու
157,Fuchs::N,Fuchs,աղվես
158,Hase::N,Hase,նապաստակ
159,Maus::N,Maus,մուկ
160,Wolf::N,Wolf,գայլ
161,Vogel::N,Vogel,թռչուն
162,Schwarm::N,Schwarm,երամ
163,Huhn::N,Huhn,հավ
164,Hahn::N,Hahn,աքաղաղ
165,Gans::N,Gans,սագ
166,Adler::N,Adler,արծիվ
167,Ente::N,Ente,բադ
168,Eule::N,Eule,բու
169,Kranich::N,Kranich,կռունկ
170,Krähe::N,Krähe,ագռավ
171,Kuckuck::N,Kuckuck,կուկու
172,Schwan::N,Schwan,կարապ
173,Fisch::N,Fisch,ձուկ
174,Barsch::N,Barsch,պերկես
175,Hecht::N,Hecht,գայլաձուկ
176,Schlange[Tier]::N,Schlange,օձ
177,Wurm::N,Wurm,որդ
178,Wurm::N,Wurm,ճիճու
179,Spinne::N,Spinne,սարդ
180,Ameise::N,Ameise,միջյուն
181,Laus::N,Laus,ոջիլ
182,Mücke::N,Mücke,մժղուկ
183,Fliege::N,Fliege,ճանճ
184,Schmetterling::N,Schmetterling,թիթեռ
185,Beere::N,Beere,հատապտուղ
186,Apfel::N,Apfel,խնձոր
187,Pilz::N,Pilz,սունկ
188,Zwiebel::N,Zwiebel,սոխ
189,Saat::N,Saat,սերմ
190,Korn::N,Korn,հատիկ
191,Heu::N,Heu,խոտ
192,Schale::N,Schale,կեղեւ
193,Grube::N,Grube,փոս
194,Falle::N,Falle,ծուղակ
195,Schlinge::N,Schlinge,խեղդան
196,Spur::N,Spur,հետք
197,Asche::N,Asche,մոխիր
198,Dreck::N,Dreck,աղտ
199,Eisen::N,Eisen,երկաթ
200,Gold::N,Gold,ոսկի
201,Silber::N,Silber,արծաթ
202,Kohle::N,Kohle,քարածուխ
203,Glas::N,Glas,ապակի
204,Lehm::N,Lehm,կավ
205,Sand::N,Sand,ավազ
206,Mensch::N,Mensch,մարդ
207,Mann::N,Mann,մարդ
208,Mann::N,Mann,տղամարդ
209,Frau::N,Frau,կին
210,Kind::N,Kind,զավակ
211,Junge::N,Junge,տղա
212,Mädchen::N,Mädchen,աղջիկ
213,Familie::N,Familie,ընտանիք
214,Großvater::N,Großvater,պապ
215,Großmutter::N,Großmutter,տատ
216,Eltern::N,Eltern,ծնողներ
217,Vater::N,Vater,հայր
218,Mutter::N,Mutter,մայր
219,Sohn::N,Sohn,որդի
220,Tochter::N,Tochter,աղջիկ
