,Concept_ID,ce,lt
415,Kessel::N,яй,katilas
416,Essen::N,юург,valgis
417,Nahrung::N,кхача,penas
418,Nahrung::N,кхача,maistas
419,Speise::N,юург,patiekalas
420,Fleisch::N,жижиг,mėsa
421,Getreide::N,буьртиг,javai
422,Brei::N,xудар,košė
423,Brot::N,бепиг,duona
424,Brot::N,кхаллар,duona
425,Scheibe::N,цастар,riekė
426,Fett::N,мохь,taukai
427,Fett::N,мохь,riebalai
428,Butter::N,налха,sviestas
429,Öl::N,даьтта,aliejus
430,Salz::N,туьха,druska
431,Suppe::N,чорпа,sriuba
432,Honig::N,моз,medus
433,Milch::N,шура,pienas
434,Tee::N,чай,arbata
435,Leder::N,цӏока,oda
436,Wolle::N,тӏapгӏa,vilna
437,Stoff::N,кӏади,audeklas
438,Nadel::N,маха,adata
439,Faden::N,тай,gija
440,Faden::N,тай,siūlas
441,Knopf::N,нуьйда,saga
442,Knoten::N,шад,mazgas
443,Farbe::N,сир,dažai
444,Farbe::N,басар,dažai
445,Kleidung::N,бедар,rūbai
446,Kleidung::N,бедар,drabužiai
447,Hemd::N,коч,marškiniai
448,Kragen::N,кач,apykaklė
449,Ärmel::N,пхьош,rankovė
450,Hose::N,хеча,kelnės
451,Gürtel::N,доьхка,juosta
452,Gürtel::N,доьхка,diržas
453,Mütze::N,куй,kepurė
454,Schuh::N,мача,batas
455,Stiefel::N,этка,auliniai batai
456,Ring::N,чӏуг,žiedas
457,Band::N,лента,kaspinas
458,Kamm::N,ехк,šukos
459,Spiegel::N,куьзга,veidrodis
460,Riemen::N,доьхка,diržas
461,Schnur::N,муш,virvė
462,Leine::N,кочатосу доьхка,pavadėlis
463,Decke::N,юргӏа,antklodė
464,Kissen::N,гIайба,pagalvė
465,Kissen::N,гIайба,priegalvis
466,Tuch::N,исхар,skarelė
467,Handtuch::N,гата,rankšluostis
468,Kraft::N,гӏора,jėga
469,Stärke::N,гӏап,stiprumas
470,Gesundheit::N,могашалла,sveikata
471,Krankheit::N,цамгар,liga
472,Schmerz::N,лазар,skausmas
473,Wunde::N,чов,žaizda
474,Fieber::N,xорша,karštis
475,Arznei::N,молха,vaistas
476,Brücke::N,тӏай,tiltas
477,Brunnen::N,гӏу,šulinys
478,Weide::N,дак,ganykla
479,Weide::N,дак,gluosnis
480,Pfad::N,тача,takas
481,Weg::N,некъ,kelias
482,Straße::N,урам,gatvė
483,Dorf::N,юрт,kaimas
484,Dorf::N,юрт,sodžius
485,Stadt::N,гӏала,miestas
486,Brief::N,кехат,laiškas
487,Buch::N,жайна,knyga
488,Buchstabe::N,элп,raidė
489,Zeitung::N,газет,laikraštis
490,Leben::N,дахар,gyvybė
491,Leben::N,дахар,gyvenimas
492,Tod::N,далар,mirtis
493,Tod::N,ӏожалла,mirtis
494,Grab::N,каш,kapas
495,Kirche::N,килс,bažnyčia
496,Sünde::N,къа,nuodėmė
497,Sünde::N,къа,nusidėjimas
498,Gott::N,дела,dievas
499,Arbeiter::N,белхало,darbininkas
500,Chef::N,хьаькам,šefas
501,Chef::N,хьаькам,vadovas
502,Chef::N,хьаькам,viršininkas
503,Meister::N,говзанча,meistras
504,Arzt::N,лор,gydytojas
505,Lehrer::N,хьехархо,mokytojas
506,Geld::N,aхча,pinigai
507,Geschäft::N,туька,biznis
508,Laden::N,туька,krautuvė
509,Laden::N,туька,parduotuvė
510,Preis::N,мах,kaina
511,Ware::N,хlума,prekė
512,Nutzen::N,пайда,nauda
513,Nutzen::N,пайда,pelnas
514,Reichtum::N,хьал,turtas
515,Welt::N,дуьне,pasaulis
516,Land::N,мохк,žemė
517,Land::N,мохк,šalis
518,Staat::N,пачхьалкх,valstija
519,König::N,паччахь,karalius
520,Macht::N,ӏедал,galia
521,Macht::N,ӏедал,valdžia
522,Grenze::N,доза,riba
523,Grenze::N,доза,siena
524,Krieg::N,тӏом,karas
525,Feind::N,мостагӏ,priešas
526,Gewalt::N,гӏело,jėga
527,Gewalt::N,гӏело,smurtas
528,Gewalt::N,гӏело,prievarta
529,Kampf::N,къийсам,kova
530,Pfeil::N,пха,strėlė
531,Gewehr::N,топ,šautuvas
532,Fehler::N,гӏалат,klaida
533,Lüge::N,аьшпаш,melas
534,Schaden::N,зен,nuostolis
535,Schaden::N,зен,apgadinimas
536,Unglück::N,бала,nelaimė
537,Schuld::N,бехк,kaltė
538,Alter::N,хан,amžius
539,Schluss::N,чакхе,pabaiga
540,Zeit::N,хан,laikas
541,Tag::N,де,diena
542,Morgen::N,ӏуьйре,rytas
543,Mittag::N,делкъе,vidurdienis
544,Abend::N,суьйре,vakaras
545,Nacht::N,буьйса,naktis
546,Woche::N,кӏира,savaitė
547,Monat::N,бутт,mėnuo
548,Jahr::N,шо,metai
549,Frühling::N,бӏаьсте,pavasaris
550,Sommer::N,аьхке,vasara
551,Herbst::N,гуьйре,ruduo
552,Winter::N,ӏа,žiema
553,Januar::N,январь,sausis
554,Februar::N,февраль,vasaris
555,März::N,март,kovas
556,April::N,апрель,balandis
557,Mai::N,май,gegužė
558,Juni::N,июнь,birželis
559,Juli::N,июль,liepa
560,August::N,август,rugpjūtis
561,September::N,сентябрь,rugsėjis
562,Oktober::N,октябрь,spalis
563,November::N,ноябрь,lapkritis
564,Dezember::N,декабрь,gruodis
565,Montag::N,оршот,pirmadienis
566,Dienstag::N,шинара,antradienis
567,Mittwoch::N,кхаара,trečiadienis
568,Donnerstag::N,еара,ketvirtadienis
569,Freitag::N,пӏераска,penktadienis
570,Samstag::N,шот,šeštadienis
571,Sonntag::N,кӏиранде,sekmadienis
572,groß::A,доккха,didis
573,groß::A,доккха,didelis
574,klein::A,кегий,mažas
575,lang::A,еха,ilgas
576,kurz::A,доца,trumpas
577,breit::A,шуьйра,platus
578,schmal::A,готта,smulkus
579,dicht::A,луьста,tankus
580,dick[Gegenstand]::A,стомма,storas
581,dünn::A,дуткъа,plonas
582,fein::A,ховха,smulkus
583,fest::A,чӏогӏа,kietas
584,fest::A,чӏогӏа,tvirtas
585,flach::A,чӏапа,lėkštas
586,flach::A,чӏапа,plokščias
587,glatt::A,шера,slidus
588,hart::A,чӏогӏa,kietas
589,weich::A,кӏеда,minkštas
590,rund::A,горга,apvalus
591,rund::A,горга,apskritas
592,spitz::A,ира,aštrus
593,spitz::A,ира,smailus
594,scharf::A,ира,aštrus
595,stumpf::A,аьртa,bukas
596,stumpf::A,аьртa,atšipęs
597,schwer::A,деза,sunkus
598,schön::A,хаза,gražus
599,heiß::A,довха,karštas
600,warm::A,довха,šiltas
601,kalt::A,шийла,šaltas
602,kühl::A,шийла,vėsus
603,kühl::A,шийла,bejausmis
604,frisch::A,керла,šviežias
605,feucht::A,тӏуьна,drėgnas
606,nass::A,тӏеда,šlapias
607,trocken::A,eкъа,sausas
