,Concept_ID,hy,fa
398,Stock::N,փայտ,چوب
399,Stab::N,ցուպ,عصا
400,Stab::N,գավազան,عصا
401,Rohr::N,խողովակ,لوله
402,Haus::N,տուն,منزل
403,Heim::N,տուն,خانه
404,Heim::N,տուն,کاشانه
405,Ofen::N,վառարան,بخاری
406,Fußboden::N,հատակ,کف اتاق
407,Tisch::N,սեղան,میز
408,Stuhl::N,աթոռ,صندلی
409,Wiege::N,օրորոց,گهواره
410,Bett::N,անկողին,تختخواب
411,Regal::N,դարակ,قفسه
412,Kiste::N,տուփ,صندوق
413,Fenster::N,պատուհան,پنجره
414,Tür::N,դուռ,در
415,Tür::N,դուռ,درب
416,Tor::N,դարպաս,دروازه
417,Zaun::N,ցանկապատ,حصار
418,Dach::N,տանիք,بام
419,Dach::N,կտուր,بام
420,Leiter::N,սանդուղք,نردبان
421,Besen::N,ավել,جارو
422,Spaten::N,բահ,بیل
423,Schaufel::N,թի,بیل
424,Schaufel::N,թի,پارو
425,Gabel::N,պատառաքաղ,چنگال
426,Löffel::N,գդալ,قاشق
427,Messer::N,դանակ,کارد
428,Nagel::N,մեխ,میخ
429,Netz::N,ցանց,تور
430,Netz::N,ցանց,شبکه
431,Haken::N,կարթ,قلاب
432,Griff::N,կոթ,دسته
433,Griff::N,բռնակ,دسته
434,Schloss::N,կողպեք,قفل
435,Bild::N,նկար,عکس
436,Bild::N,նկար,تصویر
437,Bild::N,պատկեր,عکس
438,Bild::N,պատկեր,تصویر
439,Figur::N,քանդակ,تندیس
440,Figur::N,պատկեր,تندیس
441,Puppe::N,տիկնիկ,عروسک
442,Beutel::N,տոպրակ,کیسه
443,Bündel::N,կապոց,بسته
444,Tasche::N,պայուսակ,کیف
445,Eimer::N,դույլ,سطل
446,Deckel::N,կափարիչ,در
447,Geschirr::N,ամանեղեն,ظرف
448,Sack::N,պարկ,گونی
449,Sack::N,տոպրակ,گونی
450,Tasse::N,թաս,فنجان
451,Tasse::N,գավաթ,فنجان
452,Topf::N,անոթ,دیگ
453,Topf::N,անոթ,قابلمه
454,Kessel::N,կաթսա,دیگ
455,Essen::N,կերակուր,خوراک
456,Nahrung::N,ուտելիք,غذا
457,Speise::N,խորտիկ,خوراک
458,Speise::N,կերակուր,خوراک
459,Fleisch::N,միս,گوشت
460,Getreide::N,հացահատիկ,غله
461,Brei::N,լանդակ,فرنی
462,Brei::N,լանդակ,حریره
463,Brot::N,հաց,نان
464,Scheibe::N,կտոր,قاچ
465,Scheibe::N,կտոր,لزگه
466,Scheibe::N,պատառ,قاچ
467,Scheibe::N,պատառ,لزگه
468,Fett::N,ճարպ,چربی
469,Butter::N,կարագ,کره
470,Öl::N,ձեթ,روغن
471,Salz::N,աղ,نمک
472,Suppe::N,սուպ,آش
473,Suppe::N,սուպ,سوپ
474,Suppe::N,ապուր,آش
475,Suppe::N,ապուր,سوپ
476,Honig::N,մեղր,عسل
477,Milch::N,կաթ,شیر
478,Tee::N,թեյ,چای
479,Leder::N,կաշի,چرم
480,Wolle::N,բուրդ,پشم
481,Stoff::N,գործվածք,پارچه
482,Nadel::N,ասեղ,سوزن
483,Faden::N,թել,نخ
484,Knopf::N,կոճակ,دکمه
485,Knoten::N,հանգույց,گره
486,Farbe::N,ներկ,رنگ
487,Kleidung::N,հագուստ,لباس
488,Kleidung::N,հագուստ,پوشاک
489,Hemd::N,վերնաշապիկ,پیراهن
490,Kragen::N,օձիք,یقه
491,Ärmel::N,թեւք,آستین
492,Hose::N,շալվար,شلوار
493,Gürtel::N,գոտի,کمر‌بند
494,Mütze::N,կեպի,کلاه
495,Schuh::N,կոշիկ,کفش
496,Stiefel::N,երկարաճիթ կոշիկ,چکمه
497,Ring::N,զնգալ,حلقه
498,Ring::N,զնգալ,انگشتر
499,Band::N,ժապավեն,نوار
500,Band::N,ժապավեն,روبان
501,Kamm::N,սանր,شانه
502,Spiegel::N,հայելի,آینه
503,Riemen::N,փոկ,تسمه
504,Schnur::N,լար,ریسمان
505,Leine::N,փոկ,قلاده
506,Decke::N,վերմակ,پتو
507,Kissen::N,բարձ,بالش
508,Tuch::N,թաշկինակ,شال
509,Handtuch::N,սրբիչ,حوله
510,Kraft::N,ուժ,نیرو
511,Stärke::N,պնդություն,زور
512,Stärke::N,ամրություն,زور
513,Gesundheit::N,առողջություն,سلامتی
514,Gesundheit::N,առողջություն,تندرستی
515,Krankheit::N,ախտ,بیماری
516,Krankheit::N,հիվանդություն,بیماری
517,Schmerz::N,ցավ,درد
518,Schmerz::N,տանջանք,درد
519,Wunde::N,վերք,زخم
520,Fieber::N,տենդ,تب
521,Arznei::N,դեղ,دارو
522,Brücke::N,կամուրջ,پل
523,Brunnen::N,հոր,چاه
