,Concept_ID,zh,ro
685,schlank::A,苗条,zvelt
686,hübsch::A,漂亮,drăguț
687,böse::A,邪恶,rău
688,böse::A,邪恶,răutăcios
689,dumm::A,笨,nerod
690,dumm::A,笨,tâmpit
691,faul::A,懒惰,leneș
692,fleißig::A,勤奋,harnic
693,fleißig::A,勤奋,sârguincios
694,geizig::A,吝啬,calic
695,geizig::A,吝啬,zgârcit
696,klug::A,聪明,isteț
697,klug::A,聪明,deștept
698,geschickt::A,灵巧,dibaci
699,lieb::A,可爱,drag
700,lieb::A,可爱,iubit
701,lustig::A,快乐,vesel
702,sanft::A,柔和,blând
703,sanft::A,柔和,blajin
704,hungrig::A,饥饿,flămând
705,krank::A,患病,bolnav
706,nackt::A,裸体,gol
707,traurig::A,悲哀,trist
708,traurig::A,悲哀,mâhnit
709,lebendig::A,活,viu
710,gut::A,好,bun
711,schlecht::A,坏,rău
712,schlecht::A,坏,prost
713,richtig::A,正确,drept
714,richtig::A,正确,corect
715,schlimm::A,糟糕,rău
716,wahr::A,真,adevărat
717,alt::A,旧,uzat
718,alt::A,旧,vechi
719,neu::A,新,nou
720,ehemalig::A,以前,fost
721,ehemalig::A,以前,anterior
722,alt[Lebewesen]::A,老,bătrîn
723,jung::A,年轻,tânăr
724,arm::A,贫穷,sărac
725,arm::A,贫穷,sărman
726,reich::A,富裕,avut
727,reich::A,富裕,bogat
728,bekannt::A,出名,cunoscut
729,berühmt::A,著名,renumit
730,fremd::A,陌生,străin
731,verschieden::A,不同,diferit
732,verschieden::A,不同,deosebit
733,nah::A,近,apropiat
734,fern::A,遥远,departe
735,linker::A,左,stâng
736,rechter::A,右,drept
737,anderer::A,别的,alt
738,erster::A,第一,prim
739,zweiter::A,第二,al doilea
740,dritter::A,第三,treilea
741,letzter::A,最后,final
742,allein::ADV,单独,singur
743,auf einmal::ADV,同时,dintrodată
744,zusammen::ADV,一起,împreună
745,lange::ADV,许久,îndelung
746,lange::ADV,许久,mult timp
747,plötzlich::ADV,忽然,deodată
748,plötzlich::ADV,忽然,pe neașteptate
749,sofort::ADV,立刻,imediat
750,sofort::ADV,立刻,numaidecît
751,später::ADV,以后,mai apoi
752,später::ADV,以后,mai târziu
753,jetzt::ADV,现在,acum
754,heute::ADV,今天,azi
755,heute::ADV,今天,astăzi
756,morgen::ADV,明天,mâine
757,bald::ADV,即将,curând
758,dann::ADV,然后,apoi
759,gestern::ADV,昨天,ieri
760,einst::ADV,曾经,odată
761,einst::ADV,曾经,odinioară
762,damals::ADV,当时,atunci
763,damals::ADV,当时,pe atunci
764,danach::ADV,随后,după aceasta
765,vorher::ADV,事先,mai întâi
766,vorher::ADV,事先,în prealabil
767,zuerst::ADV,首先,întâi
768,zuerst::ADV,首先,în primul rând
769,einmal::ADV,一次,odată
770,manchmal::ADV,有时,uneori
771,manchmal::ADV,有时,câteodată
772,oft::ADV,时常,des
773,oft::ADV,时常,deseori
774,immer::ADV,总是,mereu
775,immer::ADV,总是,întotdeauna
776,niemals::ADV,从未,niciodată
777,hier::ADV,这里,aci
778,hier::ADV,这里,aici
779,hierhin::ADV,到这里,încoace
780,von hier::ADV,由此,de aici
781,dort::ADV,那里,acolo
782,dorthin::ADV,到那里,dincolo
783,geradeaus::ADV,一直往前,drept înainte
784,vorwärts::ADV,向前,înainte
785,rückwärts::ADV,向后,îndărăt
786,zurück::ADV,退后,înapoi
787,unten::ADV,下面,jos
788,unten::ADV,下面,dedesubt
789,hinab::ADV,向下,în jos
790,hinab::ADV,向下,de vale
791,oben::ADV,上面,sus
792,oben::ADV,上面,deasupra
793,hinauf::ADV,向上,în sus
794,überall::ADV,到处,peste tot
795,überall::ADV,到处,pretutindeni
796,nicht::ADV,不,nu
797,ein wenig::ADV,一点儿,puțin
798,kaum::ADV,几乎不,cu greu
799,kaum::ADV,几乎不,cu anevoie
800,sehr::ADV,很,mult
801,sehr::ADV,很,foarte
802,so::ADV,如此,așa
803,so::ADV,如此,atât
804,noch::ADV,还,încă
805,nur::ADV,只,doar
806,schon::ADV,已经,și
807,schon::ADV,已经,deja
808,wieder::ADV,又,iar
809,wieder::ADV,又,iarăși
810,vor::PRP,在...面前,înainte de
811,hinter::PRP,在...背后,după
812,hinter::PRP,在...背后,în spatele
813,unter::PRP,在...下面,sub
814,durch::PRP,穿过,prin
815,neben::PRP,在...旁,lângă
816,neben::PRP,在...旁,alături de
817,zwischen::PRP,在...之间,între
818,zwischen::PRP,在...之间,dintre
819,wegen::PRP,由于,pentru
820,dies::PRN,这,acesta
821,das::PRN,那,asta
822,alles::PRN,一切,tot
823,ich::PRN,我,eu
824,du::PRN,你,tu
825,er::PRN,他,el
826,er::PRN,他,dânsul
827,wir::PRN,我们,noi
828,ihr::PRN,你们,voi
829,sie::PRN,她,ei
830,sie::PRN,她,dânșii
831,was::FPRN,什么,ce
832,wer::FPRN,谁,cine
833,wo::FADV,哪里,unde
834,wohin::FADV,去哪里,încotro
835,wie::FADV,怎么,cum
836,warum::FADV,为什么,de ce
837,warum::FADV,为什么,pentru ce
838,wieviel::FNUM,多少,cât
839,eins::NUM,一,unu
840,zwei::NUM,二,doi
841,drei::NUM,三,trei
842,vier::NUM,四,patru
843,fünf::NUM,五,cinci
844,sechs::NUM,六,șase
845,sieben::NUM,七,șapte
846,acht::NUM,八,opt
847,neun::NUM,九,nouă
848,zehn::NUM,十,zece
849,elf::NUM,十一,unsprezece
850,zwölf::NUM,十二,douăsprezece
851,zwanzig::NUM,二十,douăzeci
852,dreißig::NUM,三十,treizeci
853,vierzig::NUM,四十,patruzeci
854,fünfzig::NUM,五十,cincizeci
855,sechzig::NUM,六十,șaizeci
856,siebzig::NUM,七十,șaptezeci
857,achtzig::NUM,八十,optzeci
858,neunzig::NUM,九十,nouăzeci
