,Concept_ID,tr,fi
1362,treten::V,tepmek,potkaista
1363,stechen::V,sokmak,pistää
1364,stechen::V,batırmak,pistää
1365,stoßen::V,itmek,sysätä
1366,stoßen::V,itmek,työntää
1367,stehlen::V,çalmak,varastaa
1368,stören::V,bozmak,häiritä
1369,stören::V,etkilemek,häiritä
1370,belästigen::V,rahatsız etmek,häiritä
1371,verbergen::V,saklamak,kätkeä
1372,täuschen::V,aldatmak,harhauttaa
1373,betrügen::V,aldatmak,pettää
1374,betrügen::V,aldatmak,petkuttaa
1375,betrügen::V,dolandırmak,pettää
1376,betrügen::V,dolandırmak,petkuttaa
1377,töten::V,öldürmek,tappaa
1378,wohnen::V,oturmak,asua
1379,arbeiten::V,çalışmak,tehdä työtä
1380,arbeiten::V,çalışmak,työskennellä
1381,sammeln::V,toplamak,koota
1382,sammeln::V,toplamak,kerätä
1383,pflücken::V,koparmak,poimia
1384,jagen::V,avlanmak,metsästää
1385,fischen::V,balık tutmak,kalastaa
1386,fassen::V,tutmak,pyydystää
1387,fassen::V,tutmak,saalistaa
1388,fassen::V,yakalamak,pyydystää
1389,fassen::V,yakalamak,saalistaa
1390,hüten::V,otlatmak,paimentaa
1391,treiben::V,gütmek,ajaa
1392,anbinden::V,bağlamak,kytkeä
1393,füttern::V,beslemek,ruokkia
1394,melken::V,sağmak,lypsää
1395,hacken::V,yarmak,hakata
1396,gießen::V,sulamak,kastella
1397,reifen::V,olgunlaşmak,kypsyä
1398,zubereiten::V,hazırlamak,valmistaa
1399,kochen::V,pişirmek,keittää
1400,kochen::V,kaynatmak,keittää
1401,backen::V,pişirmek,leipoa
1402,backen::V,fırında pişirmek,leipoa
1403,braten::V,kızartmak,paistaa
1404,umrühren::V,karıştırmak,hämmentää
1405,stricken::V,örmek,kutoa
1406,stricken::V,örmek,neuloa
1407,nähen::V,dikmek,ommella
1408,färben::V,boyamak,värjätä
1409,färben::V,boyamak,värittää
1410,reinigen::V,temizlemek,puhdistaa
1411,waschen::V,yıkamak,pestä
1412,abwischen::V,silmek,pyyhkiä
1413,spülen::V,çalkamak,huuhtoa
1414,fegen::V,süpürmek,pyyhkäistä
1415,kehren::V,süpürmek,lakaista
