,Concept_ID,no,myv
690,berühmt::A,berømt,содавикс
691,fremd::A,fremmed,лия
692,fremd::A,fremmed,асодавикс
693,verschieden::A,forskjellig,эрьва
694,nah::A,nær,а васолонь
695,fern::A,fjern,умонь
696,fern::A,fjern,кезэрень
697,linker::A,venstre,керш
698,rechter::A,høyre,вить
699,anderer::A,annen,лия
700,erster::A,første,васень
701,erster::A,første,васенце
702,zweiter::A,annen,омбоце
703,dritter::A,tredje,колмоце
704,letzter::A,sist,меельце
705,allein::ADV,alene,башка
706,allein::ADV,alene,ськамонзо
707,auf einmal::ADV,med ett,вейсэ
708,zusammen::ADV,sammen,вейс
709,zusammen::ADV,sammen,вейсэ
710,lange::ADV,lenge,кувать
711,plötzlich::ADV,plutselig,апак учо
712,sofort::ADV,straks,курок
713,sofort::ADV,straks,нейке
714,später::ADV,senere,мейле
715,jetzt::ADV,nå,ней
716,heute::ADV,i dag,течи
717,morgen::ADV,i morgen,ванды
718,bald::ADV,snart,курок
719,dann::ADV,så,мейле
720,dann::ADV,så,седе мейле
721,gestern::ADV,i går,исяк
722,einst::ADV,engang,весть
723,einst::ADV,engang,зярдо-бути
724,damals::ADV,den gang,сестэ
725,danach::ADV,deretter,мейле
726,danach::ADV,deretter,седе мейле
727,vorher::ADV,før,васняяк
728,vorher::ADV,i forveien,васняяк
729,zuerst::ADV,først,васня
730,einmal::ADV,en gang,весть
731,manchmal::ADV,somme tider,лиясто
732,oft::ADV,ofte,сеетьстэ
733,immer::ADV,alltid,свал
734,niemals::ADV,aldri,а зярдояк
735,hier::ADV,her,тесэ
736,hierhin::ADV,hit,тей
737,von hier::ADV,herfra,тестэ
738,dort::ADV,der,тосо
739,dorthin::ADV,dit,тов
740,geradeaus::ADV,rett fram,витьстэ
741,vorwärts::ADV,fram,икелев
742,vorwärts::ADV,framover,икелев
743,rückwärts::ADV,baklengs,мекев
744,zurück::ADV,tilbake,мекев
745,unten::ADV,nede,ало
746,hinab::ADV,ned,алов
747,hinab::ADV,nedover,алов
748,oben::ADV,oppe,вере
749,oben::ADV,ovenpå,вере
750,hinauf::ADV,opp,верев
751,hinauf::ADV,oppover,верев
752,überall::ADV,overalt,эрьва косо
753,nicht::ADV,ikke,а
754,ein wenig::ADV,litt,аламошка
755,kaum::ADV,neppe,ансяк
756,sehr::ADV,svært,пек
757,sehr::ADV,svært,вельть
758,so::ADV,så,истя
759,noch::ADV,enda,таго
760,nur::ADV,bare,ансяк
761,schon::ADV,alt,уш
762,schon::ADV,allerede,уш
763,wieder::ADV,igjen,таго
764,vergebens::ADV,forgjeves,стяко
765,vor::PRP,foran,икеле
766,vor::PRP,utenfor,икеле
767,hinter::PRP,bak,вельде
768,hinter::PRP,bakom,вельде
769,unter::PRP,under,ало
770,durch::PRP,gjennom,пачк
771,durch::PRP,igjennom,пачк
772,neben::PRP,ved siden av,вакссо
773,zwischen::PRP,mellom,ютксо
774,wegen::PRP,på grunn av,кис
775,wegen::PRP,på grunn av,коряс
776,wegen::PRP,på grunn av,кувалт
777,dies::PRN,dette,те
778,das::PRN,det,те
779,das::PRN,det,тона
780,alles::PRN,alt,весе
781,alles::PRN,alt,весемесь
782,ich::PRN,jeg,мон
783,du::PRN,du,тон
784,er::PRN,han,сон
785,wir::PRN,vi,минь
786,ihr::PRN,dere,тынь
787,sie::PRN,de,сынь
788,was::FPRN,hva,мезе
789,wer::FPRN,hvem,ки
790,wo::FADV,hvor,косо
791,wohin::FADV,hvor ... hen,ков
792,wohin::FADV,hvor ... hen,козо
793,wie::FADV,hvordan,кода
794,warum::FADV,hvorfor,мекс
795,wieviel::FNUM,hvor mye,зяро
796,eins::NUM,en,вейке
797,eins::NUM,ett,вейке
798,zwei::NUM,to,кавто
799,drei::NUM,tre,колмо
800,vier::NUM,fire,ниле
801,fünf::NUM,fem,вете
802,sechs::NUM,seks,кото
803,sieben::NUM,sju,сисем
804,acht::NUM,åtte,кавксо
805,neun::NUM,ni,вейксэ
806,zehn::NUM,ti,кемень
807,elf::NUM,elleve,кевейкее
808,zwölf::NUM,tolv,кемгавтово
809,zwanzig::NUM,tjue,комсь
810,dreißig::NUM,tretti,колоньгемень
811,vierzig::NUM,førti,ниленьгемень
812,fünfzig::NUM,femti,ведьгемень
813,sechzig::NUM,seksti,кодгемень
814,siebzig::NUM,sytti,сизьгемень
815,achtzig::NUM,åtti,кавксоньгемень
816,neunzig::NUM,nitti,вейксэньгемень
817,hundert::NUM,hundre,сядо
818,tausend::NUM,tusen,тыща
819,und::CNJ,og,ды
820,oder::CNJ,eller,или
821,stehen::V,stå,аштемс стядо
