,Concept_ID,fi,sv
549,Zeitung::N,sanomalehti,tidning
550,Leben::N,elo,liv
551,Leben::N,elämä,liv
552,Tod::N,kuolema,död
553,Grab::N,hauta,grav
554,Kirche::N,kirkko,kyrka
555,Sünde::N,synti,synd
556,Gott::N,jumala,gud
557,Arbeiter::N,työläinen,arbetare
558,Chef::N,päällikkö,chef
559,Meister::N,mestari,mästare
560,Arzt::N,lääkäri,läkare
561,Lehrer::N,opettaja,lärare
562,Geld::N,raha,pengar
563,Geschäft::N,liike,rörelse
564,Laden::N,puoti,affär
565,Laden::N,kauppa,affär
566,Preis::N,hinta,pris
567,Ware::N,tavara,vara
568,Nutzen::N,hyöty,gagn
569,Nutzen::N,hyöty,nytta
570,Reichtum::N,rikkaus,rikedom
571,Welt::N,maailma,värld
572,Land::N,maa,land
573,Staat::N,valtio,stat
574,König::N,kuningas,kung
575,König::N,kuningas,konung
576,Macht::N,mahti,makt
577,Grenze::N,raja,gräns
578,Krieg::N,sota,krig
579,Feind::N,vihollinen,fiende
580,Gewalt::N,väkivalta,våld
581,Kampf::N,taistelu,kamp
582,Kampf::N,taistelu,strid
583,Bogen[Waffe]::N,jousi,båge
584,Pfeil::N,nuoli,pil
585,Gewehr::N,kivääri,gevär
586,Fehler::N,vika,fel
587,Fehler::N,virhe,fel
588,Lüge::N,valhe,lögn
589,Schaden::N,vaurio,skada
590,Schaden::N,vahinko,skada
591,Unglück::N,vahinko,otur
592,Unglück::N,vahinko,olycka
593,Unglück::N,onnettomuus,otur
594,Unglück::N,onnettomuus,olycka
595,Schuld::N,syy,skuld
596,Alter::N,ikä,ålder
597,Schluss::N,loppu,slut
598,Zeit::N,aika,tid
599,Tag::N,päivä,dag
600,Morgen::N,aamu,morgon
601,Morgen::N,huomen,morgon
602,Mittag::N,keskipäivä,middag
603,Abend::N,ilta,kväll
604,Nacht::N,yö,natt
605,Woche::N,viikko,vecka
606,Monat::N,kuukausi,månad
607,Jahr::N,vuosi,år
608,Frühling::N,kevät,vår
609,Sommer::N,kesä,sommar
610,Herbst::N,syksy,höst
611,Winter::N,talvi,vinter
612,Januar::N,tammikuu,januari
613,Februar::N,helmikuu,februari
614,März::N,maaliskuu,mars
615,April::N,huhtikuu,april
616,Mai::N,toukokuu,maj
617,Juni::N,kesäkuu,juni
618,Juli::N,heinäkuu,juli
619,August::N,elokuu,augusti
620,September::N,syyskuu,september
621,Oktober::N,lokakuu,oktober
622,November::N,marraskuu,november
623,Dezember::N,joulukuu,december
624,Montag::N,maanantai,måndag
625,Dienstag::N,tiistai,tisdag
626,Mittwoch::N,keskiviikko,onsdag
627,Donnerstag::N,torstai,torsdag
628,Freitag::N,perjantai,fredag
629,Samstag::N,lauantai,lördag
630,Sonntag::N,sunnuntai,söndag
631,groß::A,iso,stor
632,groß::A,suuri,stor
633,klein::A,pieni,liten
634,lang::A,pitkä,lång
635,kurz::A,lyhyt,kort
636,breit::A,leveä,bred
637,schmal::A,kapea,smal
638,dicht::A,taaja,tät
639,dick[Gegenstand]::A,paksu,tjock
640,dünn::A,ohut,tunn
641,fein::A,hieno,fin
642,fest::A,luja,fast
643,flach::A,litteä,platt
644,flach::A,tasainen,platt
645,glatt::A,sileä,glatt
646,glatt::A,siloinen,glatt
647,hart::A,kova,hård
648,weich::A,pehmeä,mjuk
649,rund::A,pyöreä,rund
650,spitz::A,terävä,toppig
651,spitz::A,terävä,spetsig
652,scharf::A,terävä,vass
653,scharf::A,terävä,skarp
654,stumpf::A,tylsä,slö
655,schwer::A,raskas,tung
656,schwer::A,painava,tung
657,schön::A,kaunis,skön
658,schön::A,kaunis,vacker
659,heiß::A,kuuma,het
660,warm::A,lämmin,varm
661,kalt::A,kylmä,kall
662,kalt::A,viluinen,kall
663,kühl::A,viileä,sval
664,kühl::A,viileä,kylig
665,frisch::A,tuore,färsk
666,feucht::A,kostea,fuktig
667,nass::A,märkä,våt
668,trocken::A,kuiva,torr
669,voll::A,täysi,full
670,leer::A,tyhjä,tom
671,offen::A,avonainen,öppen
672,geschlossen::A,suljettu,stängd
673,sauber::A,puhdas,ren
674,schmutzig::A,likainen,snuskig
675,roh::A,raaka,rå
676,reif::A,kypsä,mogen
677,lecker::A,herkullinen,läcker
678,süß::A,makea,söt
679,bitter::A,karvas,besk
680,bitter::A,karvas,bitter
681,bitter::A,kitkerä,besk
682,bitter::A,kitkerä,bitter
