,Concept_ID,uk,bn
527,dick[Gegenstand]::A,товстий,পুরু
528,dünn::A,тонкий,কৃশ
529,fein::A,дрібний,সূক্ষ্ম
530,fest::A,міцний,দৃঢ়
531,flach::A,плоский,সমতল
532,glatt::A,рівний,মসৃণ
533,glatt::A,гладенький,মসৃণ
534,hart::A,твердий,শক্ত
535,weich::A,м’який,নরম
536,rund::A,круглий,গোলাকার
537,spitz::A,гострокінцевий,তীক্ষ্ন
538,scharf::A,гострий,শাণিত
539,stumpf::A,тупий,ভোঁতা
540,schwer::A,важкий,ভারী
541,schön::A,вродливий,সুন্দর
542,heiß::A,жаркий,গরম
543,heiß::A,гарячий,গরম
544,warm::A,теплий,ঈষদুষ্ণ
545,kalt::A,холодний,ঠাণ্ডা
546,kühl::A,прохолодний,শীতল
547,frisch::A,свіжий,তাজা
548,feucht::A,вогкий,ভিজা
549,nass::A,мокрий,ভিজা
550,trocken::A,сухий,শুষ্ক
551,voll::A,повний,পূর্ণ
552,leer::A,пустий,খালি
553,offen::A,відкритий,খোলা
554,geschlossen::A,закритий,বন্ধ
555,geschlossen::A,зачинений,বন্ধ
556,sauber::A,чистий,নির্মল
557,sauber::A,охайний,নির্মল
558,schmutzig::A,брудний,নোংরা
559,roh::A,сирий,কাঁচা
560,reif::A,зрілий,পাকা
561,lecker::A,смачний,সুস্বাদ
562,süß::A,солодкий,মিষ্ট
563,bitter::A,гіркий,তিক্ত
564,sauer::A,кислий,টক
565,hell::A,світлий,উজ্জ্বল
566,dunkel::A,темний,অন্ধকারময়
567,schwarz::A,чорний,কালো
568,weiß::A,сивий,সাদা
569,rot::A,червоний,লাল
570,gelb::A,жовтий,হলদে
571,blau::A,синій,নীল
572,grün::A,зелений,সবুজ
573,grau::A,сірий,ছাই-রঙা
574,bunt::A,барвистий,রঙিন
575,billig::A,дешевий,সস্তা
576,teuer::A,дорогий,আক্রা
577,wertvoll::A,цінний,মহার্ঘ
578,blind::A,сліпий,কানা
579,taub::A,глухий,বধির
580,kräftig::A,могутній,বিশাল
581,stark::A,сильний,শক্তিশালী
582,schwach::A,слабкий,দুর্বল
583,fett::A,жирний,মোটা
584,fett::A,товстий,মোটা
585,schlank::A,тонкий,কৃশ
586,schlank::A,стрункий,কৃশ
587,hübsch::A,чарівний,সুন্দর
588,böse::A,злий,খারাপ
589,böse::A,лихий,খারাপ
590,dumm::A,дурний,মূর্খ
591,faul::A,ледачий,শ্রমবিমুখ
592,fleißig::A,старанний,পরিশ্রমী
593,geizig::A,скупий,ব্যয়কুণ্ঠ
594,klug::A,мудрий,দক্ষ
595,klug::A,розумний,দক্ষ
596,geschickt::A,умілий,পটু
597,lieb::A,милий,প্রেয়
598,lustig::A,веселий,প্রফুল্ল
599,sanft::A,лагідний,নম্র
600,hungrig::A,голодний,ক্ষুধার্ত
601,krank::A,слабий,অসুস্থ
602,nackt::A,голий,উলঙ্গ
603,traurig::A,сумний,দুঃখিত
604,lebendig::A,живий,জীবিত
605,gut::A,добрий,ভালো
606,schlecht::A,поганий,মন্দ
607,schlecht::A,кепський,মন্দ
