,Concept_ID,bg,mdf
726,schlank::A,строен,виде ронга
727,hübsch::A,хубав,мазы
728,böse::A,зъл,кяжи
729,dumm::A,глупав,аф ёню
730,dumm::A,глупав,шава пря
731,faul::A,ленив,нола
732,faul::A,мързелив,нола
733,fleißig::A,прилежен,ку́лхцонды
734,geizig::A,скъпернически,кирьжя
735,geizig::A,скъпернически,жаднай
736,klug::A,умен,ёню
737,klug::A,умен,пря́ви
738,klug::A,разумен,ёню
739,klug::A,разумен,пря́ви
740,geschickt::A,умел,маштозь тиф
741,geschickt::A,сръчен,маштозь тиф
742,lieb::A,мил,цебярь
743,lieb::A,драг,цебярь
744,lustig::A,весел,ра́хси
745,sanft::A,нежен,сетьме
746,sanft::A,кротък,сетьме
747,hungrig::A,гладен,вача
748,hungrig::A,гладен,вачеда
749,krank::A,болен,сяряди
750,nackt::A,гол,штада
751,nackt::A,гол,кърхтапа
752,traurig::A,тъжен,ла́жнай
753,traurig::A,печален,ла́жнай
754,lebendig::A,жив,эряй
755,gut::A,добър,пара
756,gut::A,добър,цебярь
757,schlecht::A,лош,кальдяв
758,richtig::A,правилен,виде
759,schlimm::A,лош,кальдяв
760,wahr::A,верен,афкуксонь
761,wahr::A,истински,афкуксонь
762,alt::A,стар,ташта
763,alt::A,древен,ташта
764,neu::A,нов,од
765,ehemalig::A,бивш,и́нгольдень
766,alt[Lebewesen]::A,стар,сире
767,jung::A,млад,од
768,arm::A,беден,а́шу
769,reich::A,богат,козя
770,bekannt::A,познат,содаф
771,bekannt::A,известен,содаф
772,berühmt::A,почут,содавикс
773,berühmt::A,известен,содавикс
774,fremd::A,чужд,лия
775,fremd::A,чужд,аф содаф
776,verschieden::A,разен,аф фкя ла́цонь
777,verschieden::A,различен,аф фкя ла́цонь
778,nah::A,близък,мала
779,nah::A,близък,аф ичкоздень
780,fern::A,далечен,и́чкоздень
781,fern::A,далечен,куна́рдонь
782,linker::A,ляв,кержи
783,rechter::A,прав,види
784,anderer::A,друг,лия
785,erster::A,пръв,васенце
786,erster::A,първи,васенце
787,zweiter::A,втори,омбоце
788,dritter::A,трети,колмоце
789,letzter::A,последен,ме́кольце
790,allein::ADV,само,ськамонза
791,auf einmal::ADV,същевременно,вихцок
792,zusammen::ADV,заедно,марс
793,zusammen::ADV,заедно,ма́рса
794,lange::ADV,дълго,кува́тьс
795,plötzlich::ADV,изведнъж,а́пак учт
796,sofort::ADV,веднага,тяникиге
797,später::ADV,по-късно,ме́ле
798,jetzt::ADV,сега,тяни
799,heute::ADV,днес,тячи
800,morgen::ADV,утре,ва́нды
801,bald::ADV,скоро,курок
802,dann::ADV,после,меле
803,dann::ADV,после,сяда меле
804,dann::ADV,тогава,меле
805,dann::ADV,тогава,сяда меле
806,gestern::ADV,вчера,ися́к
807,einst::ADV,някога,весть
808,einst::ADV,някога,мзя́рда-бди
809,damals::ADV,тогава,эста
810,danach::ADV,после,меле
811,danach::ADV,след това,меле
812,vorher::ADV,преди,инголи
813,vorher::ADV,преди това,инголи
814,zuerst::ADV,най-напред,ва́сенда
815,einmal::ADV,веднъж,весть
816,einmal::ADV,един път,весть
817,manchmal::ADV,понякога,лия́ста
818,manchmal::ADV,понякога,ко́ста-ко́ста
819,oft::ADV,често,си́деста
820,immer::ADV,винаги,фалу
821,immer::ADV,винаги,най
