,Concept_ID,xal,kv
739,nur::ADV,һанцхн,только
740,schon::ADV,одх,ни
741,wieder::ADV,бас,бӧра
742,vergebens::ADV,киидән,весись
743,vor::PRP,урд,одзас
744,hinter::PRP,ца,бӧрӧ
745,unter::PRP,дор,увтын
746,durch::PRP,ивт,пыр
747,durch::PRP,дундаһур,пыр
748,neben::PRP,хаҗуд,бокам
749,neben::PRP,хаҗуд,боксиным
750,zwischen::PRP,хоорнд,коласас
751,wegen::PRP,көлтә,понда
752,wegen::PRP,деерәс,понда
753,dies::PRN,эн,эта
754,das::PRN,тер,сiя
755,alles::PRN,цуһар,быдӧс
756,ich::PRN,би,ме
757,du::PRN,чи,тэ
758,er::PRN,тер,сiя
759,wir::PRN,мадн,мийӧ
760,ihr::PRN,та,ті
761,sie::PRN,тедн,нія
762,was::FPRN,юн,мый
763,wer::FPRN,кен,кин
764,wo::FADV,хама,кытӧн
765,wohin::FADV,хамаран,кытчӧ
766,wie::FADV,яһҗ,дзик
767,wie::FADV,яһад,дзик
768,warum::FADV,юңгад,мыля
769,warum::FADV,юңгад,мыйсянь
770,wieviel::FNUM,кедү,мымда
771,eins::NUM,негн,ӧт
772,zwei::NUM,хойр,кык
773,drei::NUM,һурвн,куим
774,vier::NUM,дөрвн,нёль
