,Concept_ID,mdf,ro
784,dumm::A,аф ёню,nerod
785,dumm::A,аф ёню,tâmpit
786,dumm::A,шава пря,nerod
787,dumm::A,шава пря,tâmpit
788,faul::A,нола,leneș
789,fleißig::A,ку́лхцонды,harnic
790,fleißig::A,ку́лхцонды,sârguincios
791,geizig::A,кирьжя,calic
792,geizig::A,кирьжя,zgârcit
793,geizig::A,жаднай,calic
794,geizig::A,жаднай,zgârcit
795,klug::A,ёню,isteț
796,klug::A,ёню,deștept
797,klug::A,пря́ви,isteț
798,klug::A,пря́ви,deștept
799,geschickt::A,маштозь тиф,dibaci
800,lieb::A,цебярь,drag
801,lieb::A,цебярь,iubit
802,lustig::A,ра́хси,vesel
803,sanft::A,сетьме,blând
804,sanft::A,сетьме,blajin
805,hungrig::A,вача,flămând
806,hungrig::A,вачеда,flămând
807,krank::A,сяряди,bolnav
