,Concept_ID,ml,vep
529,November::N,നവംബർ,kül'mku
530,Dezember::N,ഡിസംബർ,tal'vku
531,Montag::N,തിങ്കളാഴ്ച,ezmärg
532,Dienstag::N,ചൊവ്വ,tožnarg
533,Mittwoch::N,ബുധനാഴ്ച,koumanz'päiv
534,Donnerstag::N,വ്യാഴാഴ്ച,nellänz'päiv
535,Freitag::N,വെള്ളിയാഴ്ച,pätnič
536,Freitag::N,വെള്ളിയാഴ്ച,videnz'päiv
537,Samstag::N,ശനിയാഴ്ച,sobat
538,Sonntag::N,ഞായറാഴ്ച,pühäpäiv
539,groß::A,വലിയ,sur'
540,groß::A,വലിയ,järed
541,klein::A,ചെറിയ,pen'
542,klein::A,ചെറിയ,pičuine
543,lang::A,നീണ്ട,pit'k
544,kurz::A,ഹ്രസ്വമായ,lühüd
545,breit::A,വിശാലമായ,leved
546,schmal::A,ഇടുങ്ങിയ,kaid
547,dicht::A,നിബിഡമായ,tihed
548,dick[Gegenstand]::A,തടിച്ച,paks
549,dünn::A,മെലിഞ്ഞ,hoik
550,fein::A,നേർത്ത,hen
551,fest::A,ഉറപ്പുള്ള,luja
552,fest::A,ഉറപ്പുള്ള,ninev
553,flach::A,പരന്ന,lapak
554,glatt::A,മിനുസമുള്ള,siled
555,hart::A,കട്ടിയുള്ള,kova
556,weich::A,മൃദുവായ,pehmed
557,rund::A,വട്ടത്തിലുള്ള,kehker
558,spitz::A,മുനയുള്ള,nügu
559,spitz::A,മുനയുള്ള,terav
560,scharf::A,മൂർച്ചയുള്ള,terav
561,stumpf::A,തുറന്നടിക്കുന്ന,tül'c
562,schwer::A,ഭാരമുള്ള,jüged
563,schön::A,മനോഹരമായ,čoma
564,heiß::A,ചൂടുള്ള,räk
565,warm::A,ചൂടുള്ള,läm'
566,kalt::A,തണുത്ത,vilu
567,kühl::A,തണുപ്പുള്ള,raibak
568,kühl::A,തണുപ്പുള്ള,viluhk
569,frisch::A,ശുദ്ധമായ,lahed
570,feucht::A,ഈറനുള്ള,neps
571,feucht::A,ഈറനുള്ള,toreh
572,nass::A,നനഞ്ഞ,märg
573,trocken::A,വരണ്ട,kuiv
