,Concept_ID,br,lt
448,Schuh::N,botez,batas
449,Stiefel::N,botez,auliniai batai
450,Ring::N,gwalenn,žiedas
451,Band::N,bagad,kaspinas
452,Kamm::N,krib,šukos
453,Spiegel::N,melezour,veidrodis
454,Riemen::N,lerenn,diržas
455,Schnur::N,kordenn,virvė
456,Leine::N,roll,pavadėlis
457,Decke::N,golo,antklodė
458,Kissen::N,goubenner,pagalvė
459,Kissen::N,goubenner,priegalvis
460,Tuch::N,mezher,skarelė
461,Handtuch::N,toailhon,rankšluostis
462,Kraft::N,nerzh,jėga
463,Stärke::N,nerzhder,stiprumas
464,Gesundheit::N,yec'hed,sveikata
465,Krankheit::N,klañved,liga
466,Schmerz::N,poan,skausmas
467,Schmerz::N,droug,skausmas
468,Wunde::N,gloazadenn,žaizda
469,Fieber::N,terzhienn,karštis
470,Arznei::N,louzoù,vaistas
471,Brücke::N,pont,tiltas
472,Brunnen::N,puñs,šulinys
473,Weide::N,prad,ganykla
474,Weide::N,prad,gluosnis
475,Pfad::N,gwenodenn,takas
476,Weg::N,hent,kelias
477,Straße::N,ru,gatvė
478,Straße::N,hent,gatvė
479,Dorf::N,kêr,kaimas
480,Dorf::N,kêr,sodžius
481,Dorf::N,kêriadenn,kaimas
482,Dorf::N,kêriadenn,sodžius
483,Stadt::N,kêr,miestas
484,Brief::N,lizher,laiškas
485,Buch::N,levr,knyga
486,Buchstabe::N,lizherenn,raidė
487,Zeitung::N,kazetenn,laikraštis
488,Leben::N,buhez,gyvybė
489,Leben::N,buhez,gyvenimas
490,Tod::N,marv,mirtis
491,Grab::N,bez,kapas
492,Kirche::N,iliz,bažnyčia
493,Sünde::N,pec'hed,nuodėmė
494,Sünde::N,pec'hed,nusidėjimas
495,Gott::N,doue,dievas
496,Arbeiter::N,labourer,darbininkas
497,Arbeiter::N,micherour,darbininkas
498,Chef::N,penn,šefas
499,Chef::N,penn,vadovas
500,Chef::N,penn,viršininkas
501,Meister::N,mestr,meistras
502,Arzt::N,mezeg,gydytojas
503,Arzt::N,medisin,gydytojas
504,Lehrer::N,skolaer,mokytojas
505,Lehrer::N,kelenner,mokytojas
506,Geld::N,arc'hant,pinigai
507,Geschäft::N,stal,biznis
508,Laden::N,stal,krautuvė
509,Laden::N,stal,parduotuvė
510,Preis::N,priz,kaina
511,Ware::N,marc'hadourezh,prekė
512,Nutzen::N,gounidegezh,nauda
513,Nutzen::N,gounidegezh,pelnas
514,Nutzen::N,lañs,nauda
515,Nutzen::N,lañs,pelnas
516,Nutzen::N,profit,nauda
517,Nutzen::N,profit,pelnas
518,Nutzen::N,spleit,nauda
519,Nutzen::N,spleit,pelnas
520,Reichtum::N,pinvidigezh,turtas
521,Welt::N,douar,pasaulis
522,Land::N,bro,žemė
523,Land::N,bro,šalis
524,Staat::N,stad,valstija
525,König::N,roue,karalius
526,Macht::N,galloud,galia
527,Macht::N,galloud,valdžia
528,Grenze::N,harzoù,riba
529,Grenze::N,harzoù,siena
530,Krieg::N,brezel,karas
531,Feind::N,eneber,priešas
532,Gewalt::N,tâerder,jėga
533,Gewalt::N,tâerder,smurtas
534,Gewalt::N,tâerder,prievarta
535,Kampf::N,kann,kova
536,Bogen[Waffe]::N,gwareg,lankas
537,Pfeil::N,saezh,strėlė
538,Gewehr::N,fuzuilh,šautuvas
539,Fehler::N,fazi,klaida
540,Lüge::N,gaou,melas
541,Schaden::N,gwall,nuostolis
542,Schaden::N,gwall,apgadinimas
543,Unglück::N,gwalleur,nelaimė
544,Schuld::N,kablusted,kaltė
545,Schuld::N,pec'hedigezh,kaltė
546,Alter::N,oad,amžius
547,Schluss::N,diwezh,pabaiga
548,Zeit::N,amzer,laikas
549,Tag::N,deizh,diena
550,Morgen::N,beure,rytas
551,Morgen::N,mintin,rytas
552,Mittag::N,kreisteiz,vidurdienis
553,Abend::N,abardaez,vakaras
554,Nacht::N,noz,naktis
555,Woche::N,sizhun,savaitė
556,Monat::N,miz,mėnuo
557,Jahr::N,bloaz,metai
558,Frühling::N,nevezamzer,pavasaris
559,Sommer::N,hañv,vasara
560,Herbst::N,diskaramzer,ruduo
561,Winter::N,goañv,žiema
562,Januar::N,Genver,sausis
563,Februar::N,C'hwevrer,vasaris
564,März::N,Meurzh,kovas
565,April::N,Ebrel,balandis
566,Mai::N,Mae,gegužė
567,Juni::N,Mezheven,birželis
568,Juli::N,Gouhere,liepa
569,August::N,Eost,rugpjūtis
570,September::N,Gwengolo,rugsėjis
571,Oktober::N,Here,spalis
572,November::N,Du,lapkritis
573,Dezember::N,Kerzu,gruodis
574,Montag::N,Lun,pirmadienis
575,Dienstag::N,Meurzh,antradienis
576,Mittwoch::N,Merc'her,trečiadienis
577,Donnerstag::N,Yaou,ketvirtadienis
578,Freitag::N,Gwener,penktadienis
579,Samstag::N,Sadorn,šeštadienis
580,Sonntag::N,Sul,sekmadienis
581,groß::A,bras,didis
582,groß::A,bras,didelis
583,klein::A,bihan,mažas
584,lang::A,hir,ilgas
585,kurz::A,berr,trumpas
586,breit::A,ledan,platus
587,schmal::A,strizh,smulkus
588,dicht::A,stank,tankus
589,dick[Gegenstand]::A,tev,storas
590,dünn::A,moan,plonas
591,fein::A,munut,smulkus
592,fest::A,start,kietas
593,fest::A,start,tvirtas
594,flach::A,plaen,lėkštas
595,flach::A,plaen,plokščias
