,Concept_ID,xal,la
479,Zeitung::N,газет,diurnum
480,Leben::N,җирһл,vita
481,Tod::N,үкл,mors
482,Tod::N,өңгрлһн,mors
483,Grab::N,оршалһна нүкн,sepulcrum
484,Kirche::N,чонҗ,ecclesia
485,Sünde::N,нүл,peccatum
486,Sünde::N,килнц,peccatum
487,Gott::N,бурхн,deus
488,Arbeiter::N,көдлмшч,operarius
489,Chef::N,толһач,praefectus
490,Meister::N,урн,magister
491,Arzt::N,эмч,medicus
492,Lehrer::N,багш,magister
493,Geld::N,мөңгн,aes
494,Geld::N,мөңгн,pecunia
495,Geschäft::N,көдлмш,negotium
496,Laden::N,лавк,taberna
497,Preis::N,үн,pretium
498,Ware::N,эд-тавр,merx
499,Nutzen::N,олз,utilitas
500,Reichtum::N,зөөр,opes
501,Reichtum::N,зөөр,divitiae
502,Welt::N,орчлң,mundus
503,Welt::N,делкә,mundus
504,Land::N,орн-нутг,terra
505,Staat::N,государств,res publica
506,König::N,хан,rex
507,Macht::N,йосн,potestas
508,Grenze::N,меҗә,limes
509,Krieg::N,дән,bellum
510,Feind::N,дәәсн,inimicus
511,Gewalt::N,күч һарһлһн,vis
512,Kampf::N,ноолдан,pugna
513,Kampf::N,бәрлдлһн,pugna
514,Bogen[Waffe]::N,саадг,arcus
515,Pfeil::N,сумн,sagitta
516,Gewehr::N,бу,sclopetum
517,Fehler::N,алдг,error
518,Lüge::N,худл,mendacium
519,Schaden::N,хорлт,damnum
520,Schaden::N,хорлт,detrimentum
521,Unglück::N,гүрм,miseria
522,Unglück::N,гүрм,calamitas
523,Schuld::N,гем,culpa
524,Schuld::N,буру,culpa
525,Alter::N,насн,aetas
526,Schluss::N,чилгч,finis
527,Zeit::N,цаг,tempus
528,Tag::N,өдр,dies
529,Morgen::N,өрүн,mane
530,Mittag::N,үд,meridies
531,Abend::N,асхн,vesper
532,Nacht::N,сө,nox
533,Woche::N,долан хонг,septimana
534,Monat::N,сар,mensis
535,Jahr::N,җил,annus
536,Frühling::N,хавр,ver
537,Sommer::N,зун,aestas
538,Herbst::N,намр,autumnus
539,Winter::N,үвл,hiems
540,Januar::N,январь,Ianuarius
541,Februar::N,февраль,Februarius
542,März::N,март,Martius
543,März::N,моһа сар,Martius
544,April::N,апрель,Aprilis
545,Mai::N,май,Maius
546,Juni::N,июнь,Iunius
547,Juni::N,мөчн сар,Iunius
548,Juli::N,июль,Iulius
549,August::N,август,Augustus
550,September::N,һаха сар,September
551,Oktober::N,октябрь,Octobris
552,November::N,ноябрь,Novembris
