,Concept_ID,az,ba
690,alt::A,köhnə,боронғо
691,neu::A,yeni,яңы
692,ehemalig::A,əvvəlki,элекке
693,alt[Lebewesen]::A,qoca,ҡарт
694,jung::A,gənc,йәш
695,arm::A,kasıb,фәҡир
696,arm::A,yoxsul,фәҡир
697,reich::A,zəngin,бай
698,bekannt::A,tanış,таныш
699,berühmt::A,məşhur,атаҡлы
700,berühmt::A,məşhur,данлыҡлы
701,fremd::A,yad,ят
702,fremd::A,yad,сит
703,verschieden::A,dürlü,төрлө
704,nah::A,yaxın,яҡын
705,fern::A,uzaq,алыҫ
706,fern::A,uzaq,йыраҡ
707,linker::A,sol,һул
708,rechter::A,sağ,уң
709,anderer::A,başqa,бутән
710,erster::A,birinci,тәүге
711,zweiter::A,ikinci,икенсе
712,dritter::A,üçüncü,өсөнсө
713,letzter::A,sonuncu,һуңғы
714,letzter::A,axırıncı,һуңғы
715,allein::ADV,tək,бер үҙе
716,allein::ADV,tək,яңғыҙ
717,allein::ADV,yalqız,бер үҙе
718,allein::ADV,yalqız,яңғыҙ
719,auf einmal::ADV,birdən,бер юлы
720,zusammen::ADV,birlikdə,бергә
721,lange::ADV,uzun,оҙаҡ
722,plötzlich::ADV,qəfildən,ҡапыл
723,sofort::ADV,həmən,шунда уҡ
724,sofort::ADV,dərhal,шунда уҡ
725,später::ADV,sonra,һуңыраҡ
726,jetzt::ADV,indi,хәҙер
727,heute::ADV,bugün,бөгөн
728,morgen::ADV,sabah,иртәгә
729,bald::ADV,yaxında,тиҙҙән
730,bald::ADV,tezliklə,тиҙҙән
731,dann::ADV,onda,һуңынан
732,gestern::ADV,dünən,кисә
733,einst::ADV,əvvəllər,ҡасандыр
734,einst::ADV,əvvəllər,бер баҡыт
735,damals::ADV,o vaxt,ул саҡта
736,danach::ADV,sonra,һуңынан
737,vorher::ADV,qabaqcadan,элек
738,zuerst::ADV,əvvəl,башта
739,einmal::ADV,bir dəfə,бер
740,manchmal::ADV,hərdənbir,ҡайһы берҙә
741,oft::ADV,tez-tez,йыш
742,oft::ADV,çox vaxt,йыш
743,immer::ADV,daimi,һәр ҡасан
744,immer::ADV,həmişə,һәр ҡасан
745,niemals::ADV,əsla,бер ҡасан да
746,niemals::ADV,əsla,бер ваҡытта ла
747,niemals::ADV,heç bir zaman,бер ҡасан да
748,niemals::ADV,heç bir zaman,бер ваҡытта ла
