,Concept_ID,udm,eu
607,Ware::N,вуз,salgai
608,Nutzen::N,пайда,onura
609,Nutzen::N,пайда,probetxu
610,Reichtum::N,узырлык,aberastasun
611,Welt::N,дунне,ludi
612,Welt::N,дунне,mundu
613,Land::N,шаер,herrialde
614,Staat::N,кун,estatu
615,König::N,эксэй,errege
616,Macht::N,власть,botere
617,Grenze::N,кунгож,muga
618,Krieg::N,ож,guda
619,Feind::N,тушмон,etsai
620,Feind::N,тушмон,arerio
621,Gewalt::N,эриктэман,bortxa
622,Gewalt::N,эриктэман,bortizkeria
623,Kampf::N,нюръяськон,gudu
624,Kampf::N,нюръяськон,auska
625,Bogen[Waffe]::N,пукыӵ,arku
626,Pfeil::N,пукыӵ вень,gezi
627,Gewehr::N,пыӵал,fusil
628,Fehler::N,янгыш,huts
629,Fehler::N,янгыш,hutsegin
630,Lüge::N,пӧян,gezur
631,Lüge::N,алдан,gezur
632,Lüge::N,ӧрекчан,gezur
633,Schaden::N,изъян,kalte
634,Unglück::N,куректон,zoritxar
635,Unglück::N,куректон,zorigaitz
636,Unglück::N,шудтэме усён,zoritxar
637,Unglück::N,шудтэме усён,zorigaitz
638,Schuld::N,янгыш,erru
639,Alter::N,арлыд,adin
640,Schluss::N,пум,bukaera
641,Zeit::N,дыр,aldi
642,Zeit::N,дыр,denbora
643,Tag::N,нунал,egun
644,Morgen::N,ӵукна,goiz
645,Mittag::N,лымшор,eguerdi
646,Abend::N,ӝыт,arrats
647,Abend::N,акшан,arrats
648,Nacht::N,уй,gau
649,Woche::N,арня,aste
650,Monat::N,толэзь,hil
651,Jahr::N,ар,urte
652,Frühling::N,тулыс,udalehen
653,Sommer::N,гужем,uda
654,Herbst::N,сӥзьыл,udazken
655,Herbst::N,сӥзьыл,neguantz
656,Winter::N,тол,negu
657,Januar::N,выльартолэзь,urtarril
658,Februar::N,тулыспал,otsail
659,März::N,южтолэзь,martxo
660,April::N,оштолэзь,apiril
661,Mai::N,куартолэзь,maiatz
662,Juni::N,вожотолэзь,ekain
663,Juli::N,пӧсьтолэзь,uztail
664,August::N,гудырикошкон,abuztu
665,September::N,куарусён,irail
666,Oktober::N,выльӝуктолэзь,urri
667,November::N,шуркынмон,azaro
668,Dezember::N,толсур,abendu
669,Montag::N,вордӥськон,astelehen
670,Dienstag::N,вторник,astearte
671,Mittwoch::N,вирнунал,asteazken
672,Donnerstag::N,покчиарня,ostegun
673,Freitag::N,удмуртарня,ostiral
674,Samstag::N,кӧснунал,larunbat
675,Sonntag::N,арня,igande
676,groß::A,бадӟым,handi
677,klein::A,пичи,txiki
678,lang::A,кузь,luze
679,kurz::A,вакчи,labur
680,breit::A,паськыт,zabal
681,schmal::A,сюлэг,mehar
682,dicht::A,ӵем,sarri
683,dicht::A,ӵем,trinko
684,dick[Gegenstand]::A,зӧк,lodi
685,dünn::A,векчи,mehe
686,fein::A,векчи,fin
687,fest::A,юн,tinko
688,fest::A,чурыт,tinko
689,flach::A,ӵошкыт,lau
690,flach::A,ӵошкыт,ordoki
691,glatt::A,гылыт,leun
692,glatt::A,вольыт,leun
693,hart::A,чурыт,gogor
694,weich::A,небыт,bigun
695,weich::A,небыт,beratz
696,rund::A,котырес,biribil
697,spitz::A,йылсо,puntadun
698,scharf::A,лэчыт,zorrotz
699,stumpf::A,ныж,kamuts
700,schwer::A,секыт,astun
701,schwer::A,секыт,pisutsu
702,schön::A,чебер,eder
703,heiß::A,пӧсь,bero
704,heiß::A,пӧсь,oso bero
705,warm::A,шуныт,bero
706,kalt::A,кезьыт,hotz
707,kühl::A,юзмыт,hotzil
708,kühl::A,салкым,hotzil
709,frisch::A,выль,fresko
710,frisch::A,выль,hozkirri
711,feucht::A,мускыт,heze
712,nass::A,котмем,busti
713,trocken::A,кӧс,siku
714,trocken::A,кӧс,lehor
715,voll::A,тыр,bete
716,leer::A,буш,huts
717,leer::A,тырттэм,huts
718,offen::A,усьтэм,ireki
719,geschlossen::A,ӵогам,itxita
720,geschlossen::A,пунням,itxita
721,sauber::A,ӝикыт,xahu
722,sauber::A,ӝикыт,garbi
723,sauber::A,чылкыт,xahu
724,sauber::A,чылкыт,garbi
725,schmutzig::A,нӧд,lohi
726,schmutzig::A,нӧд,zikin
727,roh::A,ыль,gordin
728,reif::A,вуэм,umo
729,reif::A,вуэм,heldu
730,lecker::A,ческыт,goxo
731,süß::A,ческыт,goxo
732,bitter::A,курыт,karmin
733,bitter::A,курыт,garratz
734,sauer::A,чырс,mingots
735,hell::A,югыт,argi
736,dunkel::A,пеймыт,ilun
737,schwarz::A,сьӧд,beltz
738,weiß::A,тӧдьы,zuri
739,rot::A,горд,gorri
740,gelb::A,ӵуж,hori
741,blau::A,лыз,urdin
742,grün::A,вож,berde
743,grün::A,вож,musker
744,grau::A,пурысь,urdin
745,grau::A,пурысь,urdinabar
746,bunt::A,куӵо,koloretsu
747,billig::A,дунтэм,merke
748,teuer::A,дуно,garesti
749,wertvoll::A,дуно,baliotsu
750,blind::A,сукыр,itsu
751,blind::A,синтэм,itsu
752,taub::A,пельтэм,gor
753,kräftig::A,кужмо,kementsu
754,stark::A,юн,bizkor
755,stark::A,юн,indartsu
756,stark::A,кужмо,bizkor
757,stark::A,кужмо,indartsu
758,schwach::A,ляб,ahul
759,schwach::A,ляб,indargabe
760,schwach::A,начар,ahul
761,schwach::A,начар,indargabe
762,fett::A,кӧй,gizen
763,schlank::A,веськыт,lerden
764,schlank::A,веськрес,lerden
765,hübsch::A,чебер,polit
766,hübsch::A,синмаськымон,polit
767,böse::A,лек,tzar
768,böse::A,лек,gaizto
769,dumm::A,шузи,lelo
770,dumm::A,шузи,pello
771,dumm::A,визьтэм,lelo
772,dumm::A,визьтэм,pello
773,faul::A,азьтэм,nagi
774,faul::A,азьтэм,alfer
775,fleißig::A,сюлмо,maratz
776,fleißig::A,сюлмо,lanzale
777,geizig::A,сук,zeken
778,geizig::A,сук,zikoitz
779,klug::A,визьмо,zuhur
780,geschickt::A,усто,trebe
781,geschickt::A,усто,antzetsu
782,geschickt::A,быгатӥсь,trebe
783,geschickt::A,быгатӥсь,antzetsu
784,lieb::A,мусо,maite
785,lieb::A,мусо,laztan
786,lustig::A,шулдыр,alaitsu
787,sanft::A,мусо,eme
788,sanft::A,мусо,ezti
789,sanft::A,эрке,eme
790,sanft::A,эрке,ezti
791,hungrig::A,сютэм,gose
792,krank::A,висись,eri
793,krank::A,висись,gaixo
794,nackt::A,гольык,biluzi
795,traurig::A,мӧзмыт,itun
796,traurig::A,мӧзмыт,betilun
797,lebendig::A,улэп,bizirik
798,gut::A,ӟеч,on
799,gut::A,умой,on
800,schlecht::A,урод,txar
801,schlecht::A,алама,txar
