,Concept_ID,pl,mrj
649,hell::A,jasny,валгыды
650,dunkel::A,ciemny,пӹц
651,dunkel::A,ciemny,пӹцкемӹш
652,schwarz::A,czarny,шим
653,weiß::A,biały,ош
654,weiß::A,biały,ошы
655,rot::A,czerwony,якшаргы
656,gelb::A,żółty,сар
657,gelb::A,żółty,сары
658,blau::A,błękitny,симсӹ
659,blau::A,niebieski,симсӹ
660,grün::A,zielony,ыжар
661,grau::A,szary,луды
662,bunt::A,barwny,ала
663,billig::A,tani,шулдаш
664,teuer::A,drogi,шергӹ
665,teuer::A,drogi,шергӓкӓн
666,wertvoll::A,cenny,ӓкӓн
667,blind::A,ślepy,слöпöй
668,blind::A,ślepy,сльöпöй
669,taub::A,głuchy,тӱтӱк
670,kräftig::A,mocny,виӓн
671,stark::A,silny,виӓн
672,schwach::A,słaby,шава
673,schwach::A,słaby,лӹпкӓ
674,schwach::A,słaby,слабка
675,fett::A,tłusty,таза
676,schlank::A,smukły,яштака
677,hübsch::A,ładny,сӹлнӹ
678,hübsch::A,ładny,олмыдшы
679,böse::A,zły,шӹдӓн
680,dumm::A,głupi,окмак
681,faul::A,leniwy,ялахай
682,fleißig::A,pilny,пӓшам яратышы
683,geizig::A,skąpy,шык
684,klug::A,mądry,ышан
685,geschickt::A,zręczny,мастар
686,lieb::A,miły,тыри
687,lustig::A,wesoły,мындыр
688,lustig::A,wesoły,сусу
689,sanft::A,łagodny,йӹвӹжӓ
690,hungrig::A,głodny,шужышы
691,krank::A,chory,церлӹ
692,krank::A,chory,хворой
693,nackt::A,nagi,цӓрӓ
694,traurig::A,smutny,сы́лыкан
695,traurig::A,smutny,кымы́лдымы
696,lebendig::A,żywy,живой
697,gut::A,dobry,яжо
698,schlecht::A,zły,уда
699,schlecht::A,zły,худа
700,richtig::A,słuszny,вургамла
701,richtig::A,właściwy,вургамла
702,schlimm::A,zły,йӹрнык
703,wahr::A,prawdziwy,настоящий
704,wahr::A,prawdziwy,настояшый
705,alt::A,stary,шонгы
706,neu::A,nowy,у
707,ehemalig::A,były,тошты
708,alt[Lebewesen]::A,stary,ӹлалшӹ
709,jung::A,młody,нöргӹ
710,jung::A,młody,молода
711,arm::A,ubogi,укеӓн
712,arm::A,biedny,укеӓн
713,reich::A,bogaty,паян
714,reich::A,bogaty,пурлыкан
715,bekannt::A,znany,палӹмӹ
716,berühmt::A,słynny,лӹмлы
717,fremd::A,obcy,эдемӹн
718,fremd::A,cudzy,эдемӹн
719,verschieden::A,różny,тӹрлӹ
720,nah::A,bliski,лишӹл
