,Concept_ID,la,av
635,bunt::A,varius,чара-гъараб
636,billig::A,vilis,учузаб
637,teuer::A,carus,хири́яб
638,wertvoll::A,pretiosus,къиматаб
639,blind::A,caecus,беццаб
640,taub::A,surdus,гъугъаб
641,kräftig::A,robustus,гучаб
642,stark::A,firmus,къуватаб
643,stark::A,validus,къуватаб
644,schwach::A,debilis,гӏажизаб
645,schwach::A,infirmus,гӏажизаб
646,fett::A,crassus,кьарияб
647,schlank::A,procerus,чергесаб
648,hübsch::A,pulcher,гьайбатаб
649,böse::A,improbus,ракӏквешаб
650,dumm::A,stultus,гьагаб
651,dumm::A,stultus,гӏантаб
652,dumm::A,stupidus,гьагаб
653,dumm::A,stupidus,гӏантаб
654,faul::A,piger,кӏохӏалаб
655,faul::A,piger,кӏухӏа́лаб
656,fleißig::A,sedulus,хӏаракатаб
657,geizig::A,avarus,къарумаб
658,klug::A,prudens,лумияб
659,geschickt::A,sollers,махщел бугев
660,lieb::A,carus,гӏазизаб
661,lustig::A,iocosus,кепаб
662,sanft::A,clemens,хӏалимаб
663,sanft::A,clemens,хӏере́наб
664,hungrig::A,impastus,бакъараб
665,krank::A,aeger,щокъаб
666,krank::A,aeger,унтараб
667,nackt::A,nudus,гӏицӏаб
668,nackt::A,nudus,чӏанкӏараб
669,traurig::A,maestus,пашманаб
670,lebendig::A,vivus,чӏагояб
671,gut::A,bonus,лъикӏаб
672,schlecht::A,malus,къадараб
673,richtig::A,rectus,битӏараб
674,schlimm::A,malus,нажасаб
675,schlimm::A,malus,къабихӏаб
676,wahr::A,verus,хӏакъаб
677,wahr::A,verus,битӏараб
678,alt::A,antiquus,басрияб
679,neu::A,novus,цӏияб
680,ehemalig::A,pristinus,цебе́госеб
681,alt[Lebewesen]::A,vetus,хераб
682,jung::A,iuvenis,тӏинчӏаб
683,jung::A,iuvenis,гӏолохъанаб
684,arm::A,pauper,пакъираб
685,reich::A,dives,бечедаб
686,bekannt::A,notus,лъалеб
687,berühmt::A,celeber,машгьураб
688,berühmt::A,illustris,машгьураб
689,fremd::A,peregrinus,чияр
690,verschieden::A,varius,батӏи-батӏияб
691,nah::A,propinquus,гӏагарда бугеб
692,fern::A,longinquus,рикӏкӏадаб
693,linker::A,sinister,квегӏаб
694,rechter::A,dexter,кваранаб
695,anderer::A,alius,батӏияб
696,erster::A,primus,тӏоцебесеб
697,zweiter::A,secundus,кӏиабилеб
698,dritter::A,tertius,лъабабилеб
699,letzter::A,ultimus,ахирисеб
700,allein::ADV,solum,ялгъузго
701,auf einmal::ADV,simul,цихӏинтӏаго
702,zusammen::ADV,una,цойида
703,lange::ADV,diu,
704,plötzlich::ADV,subito,цойидасанго
705,plötzlich::ADV,repente,цойидасанго
706,sofort::ADV,statim,гьебсагӏат
707,später::ADV,postea,
708,jetzt::ADV,nunc,гьанже
709,heute::ADV,hodie,жакъа
710,morgen::ADV,cras,метер
711,bald::ADV,mox,гьабсагӏаталъ
712,dann::ADV,deinde,цинги
713,gestern::ADV,heri,сон
714,einst::ADV,olim,цин
715,damals::ADV,tum,гьебмехалъ
716,damals::ADV,tum,гьебмехалда
717,danach::ADV,postea,цинги
718,danach::ADV,postea,хадуса
719,vorher::ADV,antea,цебе
720,zuerst::ADV,primo,тӏоцебе
721,einmal::ADV,semel,цинцӏул
722,einmal::ADV,semel,цихӏин
723,einmal::ADV,semel,цоцӏул
