,Concept_ID,kn,cv
1105,besuchen::V,ಭೇಟಿಯಾಗು,ҫит
1106,besuchen::V,ಭೇಟಿಯಾಗು,кӗрсе кур
1107,treffen::V,ಸಂಧಿಸು,тӗл пул
1108,sich versammeln::V,ನೆರೆ,пуҫтарӑн
1109,spielen::V,ಆಡು,выля
1110,singen::V,ಹಾಡು,юрла
1111,tanzen::V,ಕುಣಿ,ташла
1112,sich trennen::V,ಪ್ರತ್ಯೇಮಾಡು,уйрӑл
1113,verlassen::V,ಕಳೆ,хӑвар
1114,retten::V,ರಕ್ಷಿಸು,ҫӑл
1115,bewachen::V,ಕಾಪಾಡು,хуралла
1116,schützen::V,ಸಂರಕ್ಷಿಸು,сыхла
1117,verteidigen::V,ಕಾಪಿಡು,хӳтӗле
1118,sich schlagen::V,ಕಿತ್ತಾಟ,ҫапӑҫ
1119,schießen::V,ಎಸೆ,пер
1120,siegen::V,ಗೆಲ್ಲು,ҫӗн
1121,siegen::V,ಗೆಲ್ಲು,ҫӗнтер
1122,ärgern::V,ರೇಗಿಸು,тарӑхтар
1123,ärgern::V,ರೇಗಿಸು,ҫиллентер
1124,schlagen::V,ಹೊಡೆ,ҫап
1125,treten::V,ಒದೆ,тап
1126,stechen::V,ಚುಚ್ಚು,чик
1127,stoßen::V,ತಳ್ಳು,чыш
1128,stehlen::V,ಕದಿ,вӑрла
1129,stören::V,ಕತಕು,кансӗрле
1130,belästigen::V,ತೊಂದರೆ,аптӑрат
1131,belästigen::V,ತೊಂದರೆ,хупла
1132,verbergen::V,ಮರೆಮಾಜು,пытар
1133,täuschen::V,ಠಕ್ಕಿಸು,суй
1134,betrügen::V,ವಂಚಿಸು,ултала
1135,töten::V,ಕೊಲ್ಲು,вӗлер
1136,wohnen::V,ವಾಸಿಸು,чуна пар
1137,wohnen::V,ವಾಸಿಸು,парӑнса тӑр
1138,arbeiten::V,ಕೆಲಸ ಮಾಡು,ӗҫле
1139,sammeln::V,ಸಂಚಯಿಸು,пух
1140,pflücken::V,ಬಿಡಿಸು,тат
1141,jagen::V,ಬೇಟೆಯಾಡು,сунара ҫӳре
1142,fischen::V,ಮೀನು ಹಿಡಿ,пулӑ тыт
1143,fassen::V,ಹಿಡಿ,тыт
1144,hüten::V,ಗುಂಪುಸೇರಿಸು,кӗт
1145,treiben::V,ದಬ್ಬು,хӑвала
1146,anbinden::V,ಬಿಗಿ,кӑкар
1147,füttern::V,ಮೇಯಿಸು,ҫитер
1148,melken::V,ಹಾಲು ಕರೆ,су
1149,hacken::V,ತುಂಡರಿಸು,вакла
