,Concept_ID,ro,ku
545,Brief::N,scrisoare,name
546,Buch::N,carte,kitêb
547,Buch::N,carte,pirtûk
548,Buchstabe::N,literă,herf
549,Buchstabe::N,caracter,herf
550,Zeitung::N,ziar,rojname
551,Zeitung::N,gazetă,rojname
552,Leben::N,viață,jiyan
553,Tod::N,moarte,mirin
554,Grab::N,groapă,mezel
555,Grab::N,mormânt,mezel
556,Kirche::N,biserică,gilyas
557,Sünde::N,păcat,guneh
558,Gott::N,zeu,xwedê
559,Arbeiter::N,muncitor,hîşçî
560,Chef::N,șef,bêg
561,Meister::N,meșter,hoste
562,Meister::N,maestru,hoste
563,Arzt::N,medic,doktor
564,Arzt::N,doctor,doktor
565,Lehrer::N,profesor,mamoste
566,Lehrer::N,învățător,mamoste
567,Geld::N,bani,pere
568,Geld::N,parale,pere
569,Geschäft::N,treabă,firoşgeh
570,Geschäft::N,afacere,firoşgeh
571,Laden::N,magazin,dikan
572,Laden::N,prăvălie,dikan
573,Preis::N,preț,buha
574,Ware::N,marfă,tişt
575,Nutzen::N,folos,fêde
576,Nutzen::N,profit,fêde
577,Reichtum::N,avuție,serwet
578,Reichtum::N,bogăție,serwet
579,Welt::N,lume,dinya
580,Land::N,țară,welat
581,Staat::N,stat,dewlet
582,König::N,rege,şah
583,König::N,rege,qral
584,Macht::N,putere,qewet
585,Macht::N,putere,destihilat
586,Macht::N,putință,qewet
587,Macht::N,putință,destihilat
588,Grenze::N,hotar,kevî
589,Grenze::N,graniță,kevî
590,Grenze::N,frontieră,kevî
591,Krieg::N,război,çeng
592,Krieg::N,război,sêwaş
593,Feind::N,dușman,dijmin
594,Gewalt::N,violență,zor
595,Kampf::N,luptă,şer
596,Bogen[Waffe]::N,arc,kêvan
597,Pfeil::N,săgeată,çîrik
598,Gewehr::N,armă,tifing
599,Gewehr::N,pușcă,tifing
600,Fehler::N,eroare,şaşî
601,Fehler::N,greșeală,şaşî
602,Lüge::N,minciună,derew
603,Schaden::N,daună,xisar
604,Schaden::N,pagubă,xisar
605,Unglück::N,nenorocire,bêbextî
606,Schuld::N,vină,suç
607,Alter::N,etate,temen
608,Alter::N,vârstă,temen
609,Schluss::N,sfârșit,girtin
610,Zeit::N,timp,çax
611,Zeit::N,vreme,çax
612,Tag::N,zi,roj
613,Morgen::N,dimineață,sibeh
614,Mittag::N,prânz,nîro
615,Mittag::N,amiază,nîro
616,Abend::N,seară,êvar
617,Nacht::N,noapte,şev
618,Woche::N,săptămână,heftî
619,Monat::N,lună,meh
620,Jahr::N,an,sal
621,Frühling::N,primăvară,bihar
622,Sommer::N,vară,havîn
623,Herbst::N,toamnă,payîz
624,Winter::N,iarnă,zistan
625,Januar::N,ianuarie,çile
626,Februar::N,februarie,sibat
627,März::N,martie,adar
628,April::N,aprilie,nîsan
629,Mai::N,mai,gûlan
630,Juni::N,iunie,hezîran
631,Juli::N,iulie,tîmeh
632,August::N,august,tebax
633,September::N,septembrie,îlon
634,Oktober::N,octombrie,çotmeh
635,November::N,noiembrie,mijdar
636,Dezember::N,decembrie,kanûn
637,Montag::N,luni,duşemb
638,Dienstag::N,marți,sêşem
639,Mittwoch::N,miercuri,çarşemb
640,Donnerstag::N,joi,pêşemb
641,Freitag::N,vineri,în
642,Samstag::N,sâmbătă,şemî
643,Sonntag::N,duminică,yekşemb
644,groß::A,mare,mezin
645,klein::A,mic,çûçik
646,lang::A,lung,dirêj
647,kurz::A,scurt,kin
648,breit::A,lat,fireh
649,breit::A,larg,fireh
650,schmal::A,strâmt,tenik
651,dicht::A,des,gir
652,dick[Gegenstand]::A,gros,şîşman
653,dünn::A,subțire,zirav
654,fein::A,fin,tenik
655,fein::A,subțire,tenik
656,fest::A,tare,saxlem
657,fest::A,solid,saxlem
658,flach::A,șes,pahn
659,flach::A,plan,pahn
660,glatt::A,lins,dûz
661,glatt::A,lins,şayîk
662,hart::A,dur,hişk
663,weich::A,moale,nerm
664,rund::A,rotund,gilover
665,rund::A,circular,gilover
666,spitz::A,ascuțit,pîj
667,scharf::A,tăios,tûj
668,scharf::A,ascuțit,tûj
669,stumpf::A,tocit,ne tûj
670,schwer::A,greu,giran
671,schön::A,frumos,xweş
672,schön::A,frumos,xweşik
673,heiß::A,cald,kelandî
674,heiß::A,fierbinte,kelandî
675,warm::A,cald,germ
676,warm::A,fierbinte,germ
677,kalt::A,rece,sar
678,kühl::A,rece,jemîrî
679,kühl::A,răcoros,jemîrî
680,frisch::A,răcoros,ter
681,frisch::A,proaspăt,ter
682,feucht::A,umed,şil
683,feucht::A,jilav,şil
684,nass::A,ud,şilek
685,trocken::A,sec,zuwa
686,trocken::A,uscat,zuwa
687,voll::A,plin,tijî
688,leer::A,gol,vala
689,offen::A,deschis,vekirî
690,geschlossen::A,închis,asê
691,sauber::A,curat,pakij
692,schmutzig::A,murdar,lewitî
693,roh::A,crud,xav
694,reif::A,copt,gihaştî
695,lecker::A,gustos,xweş
696,süß::A,dulce,şîrîn
697,bitter::A,amar,tahl
698,sauer::A,acru,tirş
699,hell::A,clar,ronî
700,hell::A,luminos,ronî
701,dunkel::A,obscur,tarî
702,dunkel::A,întunecos,tarî
703,schwarz::A,negru,reş
704,weiß::A,alb,sipî
705,rot::A,roșu,sor
706,gelb::A,galben,zer
707,blau::A,albastru,şîn
708,grün::A,verde,şîn
709,grau::A,gri,gewr
710,grau::A,cenușiu,gewr
711,bunt::A,colorat,rengîn
712,billig::A,ieftin,erzan
713,teuer::A,scump,biha
714,wertvoll::A,prețios,hêja
715,wertvoll::A,prețios,giranbiha
716,blind::A,orb,kor
717,taub::A,surd,kerr
718,kräftig::A,tare,gir
719,kräftig::A,tare,xurt
720,kräftig::A,forte,gir
721,kräftig::A,forte,xurt
722,kräftig::A,robust,gir
723,kräftig::A,robust,xurt
724,stark::A,viguros,xurt
725,stark::A,puternic,xurt
726,schwach::A,slab,kesad
727,schwach::A,debil,kesad
728,fett::A,gras,qelew
729,schlank::A,zvelt,zirav
730,hübsch::A,drăguț,xweşik
731,böse::A,rău,xerab
732,böse::A,rău,aciz
733,böse::A,răutăcios,xerab
734,böse::A,răutăcios,aciz
735,dumm::A,nerod,gêj
736,dumm::A,tâmpit,gêj
737,faul::A,leneș,têmbêl
738,fleißig::A,harnic,jêhatî
739,fleißig::A,sârguincios,jêhatî
740,geizig::A,calic,destgirtî
741,geizig::A,zgârcit,destgirtî
742,klug::A,isteț,baqil
743,klug::A,deștept,baqil
744,geschickt::A,dibaci,zîrek
745,geschickt::A,dibaci,ziring
746,lieb::A,drag,delal
747,lieb::A,iubit,delal
748,lustig::A,vesel,kêfxweş
749,sanft::A,blând,nazenîn
750,sanft::A,blajin,nazenîn
751,hungrig::A,flămând,birçî
752,krank::A,bolnav,nexweş
753,nackt::A,gol,rût
754,nackt::A,gol,tazî
755,traurig::A,trist,xemgîn
756,traurig::A,mâhnit,xemgîn
757,lebendig::A,viu,bisaxî
758,gut::A,bun,baş
759,schlecht::A,rău,xerab
760,schlecht::A,prost,xerab
761,richtig::A,drept,rast
762,richtig::A,drept,saxlem
763,richtig::A,corect,rast
764,richtig::A,corect,saxlem
765,schlimm::A,rău,nebaş
766,wahr::A,adevărat,rast
767,alt::A,uzat,pîr
768,alt::A,uzat,kevn
769,alt::A,vechi,pîr
770,alt::A,vechi,kevn
771,neu::A,nou,nû
772,ehemalig::A,fost,kevnar
773,ehemalig::A,fost,peşidar
774,ehemalig::A,anterior,kevnar
775,ehemalig::A,anterior,peşidar
776,alt[Lebewesen]::A,bătrîn,pîr
777,jung::A,tânăr,xort
778,arm::A,sărac,feqîr
779,arm::A,sărac,desteng
780,arm::A,sărman,feqîr
781,arm::A,sărman,desteng
782,reich::A,avut,dewlemend
783,reich::A,bogat,dewlemend
784,bekannt::A,cunoscut,naskirî
785,berühmt::A,renumit,navdar
786,fremd::A,străin,xerîb
787,verschieden::A,diferit,çîhê
788,verschieden::A,deosebit,çîhê
789,nah::A,apropiat,nêzîk
790,fern::A,departe,dûr
791,linker::A,stâng,çepê
792,rechter::A,drept,rastê
793,anderer::A,alt,yê din
794,erster::A,prim,yekemîn
795,zweiter::A,al doilea,duda
796,dritter::A,treilea,sisêya
797,letzter::A,final,paşîn
798,allein::ADV,singur,tenê
799,auf einmal::ADV,dintrodată,jar kê
800,zusammen::ADV,împreună,tev
801,zusammen::ADV,împreună,bi hev re
802,lange::ADV,îndelung,dirêj
803,lange::ADV,mult timp,dirêj
804,plötzlich::ADV,deodată,ji nişkave
805,plötzlich::ADV,pe neașteptate,ji nişkave
806,sofort::ADV,imediat,yekser
807,sofort::ADV,numaidecît,yekser
808,später::ADV,mai apoi,paşiyê
809,später::ADV,mai târziu,paşiyê
810,jetzt::ADV,acum,nuha
811,heute::ADV,azi,îro
812,heute::ADV,astăzi,îro
813,morgen::ADV,mâine,sibeh
814,bald::ADV,curând,nêzîk
815,dann::ADV,apoi,paşê
816,gestern::ADV,ieri,do
817,einst::ADV,odată,jar ke
818,einst::ADV,odinioară,jar ke
819,damals::ADV,atunci,hîngî
820,damals::ADV,pe atunci,hîngî
821,danach::ADV,după aceasta,piştra
822,vorher::ADV,mai întâi,pîşî
823,vorher::ADV,în prealabil,pîşî
824,zuerst::ADV,întâi,bere
825,zuerst::ADV,în primul rând,bere
826,einmal::ADV,odată,çarik
827,manchmal::ADV,uneori,çarna
828,manchmal::ADV,câteodată,çarna
829,oft::ADV,des,gelek çaran
