,Concept_ID,xal,ce
640,wahr::A,мөн,бакъдолу
641,alt::A,хуучн,къена
642,neu::A,шин,керла
643,ehemalig::A,хуучн,хилла
644,alt[Lebewesen]::A,көгшн,къена
645,jung::A,баһ,къона
646,arm::A,угатя,къен
647,reich::A,байн,хьоле
648,bekannt::A,таньл,девзаш долу
649,bekannt::A,таньдг,девзаш долу
650,berühmt::A,туурсн,цӏеяхана
651,fremd::A,күүнә,нехан
652,verschieden::A,әдл биш,тайп-тайпанара
653,verschieden::A,йилһәтә,тайп-тайпанара
654,nah::A,өөрхн,гергара
655,fern::A,хол,гена
656,fern::A,хол,генара
657,linker::A,зүн,аьрру
658,rechter::A,барун,аьтту
659,anderer::A,талдан,кхин
660,erster::A,негдгч,хьалхара
661,zweiter::A,хойрдгч,шолгIа
662,dritter::A,һурвдгч,кхоалгӏа
663,letzter::A,отхн,тӏаьххьара
664,allein::ADV,һанцарн,цхьаъ
665,auf einmal::ADV,нег дәкҗ,цу сохьтта
666,zusammen::ADV,хамдан,цхьана
667,lange::ADV,удан,дукха
668,plötzlich::ADV,генткн,цIеххьана
669,sofort::ADV,дарунь,цу сохьтта
670,später::ADV,сүүлд,тӏаьхьо
671,jetzt::ADV,ода,хӏинца
672,heute::ADV,эндр,тахана
673,morgen::ADV,маңһдур,кхана
674,bald::ADV,дарунь,кеста
675,dann::ADV,дәкәд,тӏаккха
676,gestern::ADV,өцклдүр,селхана
677,einst::ADV,нег саамд,цкъа
678,damals::ADV,тиигхд,хӏетахьь
679,danach::ADV,тегәд,тӏаккха
680,vorher::ADV,урд,хьалхa
681,zuerst::ADV,түрүләд,хьалха
682,einmal::ADV,нег дәкҗ,цкъа
683,manchmal::ADV,зәрмдән,цкъаццкъа
684,oft::ADV,хара биш,кест-кеста
685,oft::ADV,хатяр биш,кест-кеста
686,oft::ADV,дару-дарунь,кест-кеста
687,immer::ADV,оньдинд,даим
688,niemals::ADV,кезә чмгн биш,цкъа а
689,hier::ADV,энд,кхузахь
690,hier::ADV,энүнд,кхузахь
691,hierhin::ADV,нааран,кхуза
692,von hier::ADV,эндәс,кхузара
693,dort::ADV,тенд,цигахь
694,dorthin::ADV,тиигән,цига
695,geradeaus::ADV,шуд,нийса дӏа
696,vorwärts::ADV,уралан,хьалха
697,rückwärts::ADV,гедргән,юха
698,zurück::ADV,хәрү,юха
699,unten::ADV,дор,лахахь
700,hinab::ADV,дор,охьа
701,hinab::ADV,доракшан,охьа
702,oben::ADV,деер,лакхахь
703,hinauf::ADV,өөдән,хьала
704,hinauf::ADV,деер,хьала
705,überall::ADV,альд болв чигн,массанхьа
706,nicht::ADV,эс,ца
707,nicht::ADV,биш,ца
708,nicht::ADV,бичә,ца
709,ein wenig::ADV,баахн,кӏеззиг
710,ein wenig::ADV,баахнар,кӏеззиг
711,kaum::ADV,әрә,халла
712,sehr::ADV,йир,вуно
