,Concept_ID,is,ro
729,kühl::A,svalur,răcoros
730,frisch::A,frískur,răcoros
731,frisch::A,frískur,proaspăt
732,feucht::A,rakur,umed
733,feucht::A,rakur,jilav
734,feucht::A,þvalur,umed
735,feucht::A,þvalur,jilav
736,nass::A,votur,ud
737,nass::A,blautur,ud
738,trocken::A,þurr,sec
739,trocken::A,þurr,uscat
740,voll::A,fullur,plin
741,leer::A,tómur,gol
742,offen::A,opinn,deschis
743,geschlossen::A,lokaður,închis
744,sauber::A,þrifinn,curat
745,schmutzig::A,óhreinn,murdar
746,schmutzig::A,sóðalegur,murdar
747,roh::A,hrár,crud
748,reif::A,þroskaður,copt
749,lecker::A,ljúffengur,gustos
750,süß::A,sætur,dulce
751,bitter::A,beiskur,amar
752,sauer::A,súr,acru
753,hell::A,bjartur,clar
754,hell::A,bjartur,luminos
755,dunkel::A,dimmur,obscur
756,dunkel::A,dimmur,întunecos
757,schwarz::A,svartur,negru
758,weiß::A,hvítur,alb
759,rot::A,rauður,roșu
760,gelb::A,gulur,galben
761,blau::A,blár,albastru
762,grün::A,grænn,verde
763,grau::A,grár,gri
764,grau::A,grár,cenușiu
765,bunt::A,marglitur,colorat
766,billig::A,ódýr,ieftin
767,teuer::A,dýr,scump
768,wertvoll::A,verðmætur,prețios
769,blind::A,blindur,orb
770,taub::A,heyrnarlaus,surd
771,kräftig::A,öflugur,tare
772,kräftig::A,öflugur,forte
773,kräftig::A,öflugur,robust
774,stark::A,sterkur,viguros
775,stark::A,sterkur,puternic
776,schwach::A,veill,slab
777,schwach::A,veill,debil
778,fett::A,feitur,gras
779,schlank::A,grannur,zvelt
780,schlank::A,spengilegur,zvelt
781,hübsch::A,snotur,drăguț
782,hübsch::A,laglegur,drăguț
783,böse::A,illur,rău
784,böse::A,illur,răutăcios
785,böse::A,vondur,rău
786,böse::A,vondur,răutăcios
787,dumm::A,heimskur,nerod
788,dumm::A,heimskur,tâmpit
789,faul::A,latur,leneș
790,fleißig::A,iðinn,harnic
791,fleißig::A,iðinn,sârguincios
792,geizig::A,nískur,calic
793,geizig::A,nískur,zgârcit
794,klug::A,hygginn,isteț
795,klug::A,hygginn,deștept
796,geschickt::A,fimur,dibaci
797,geschickt::A,laginn,dibaci
798,lieb::A,kær,drag
799,lieb::A,kær,iubit
800,lieb::A,ljúfur,drag
801,lieb::A,ljúfur,iubit
802,lustig::A,kátur,vesel
803,sanft::A,blíður,blând
804,sanft::A,blíður,blajin
805,hungrig::A,soltinn,flămând
806,hungrig::A,hungraður,flămând
807,krank::A,sjúkur,bolnav
808,nackt::A,nakinn,gol
809,traurig::A,dapur,trist
810,traurig::A,dapur,mâhnit
811,traurig::A,hryggur,trist
812,traurig::A,hryggur,mâhnit
813,lebendig::A,lifandi,viu
814,gut::A,góður,bun
815,schlecht::A,slæmur,rău
816,schlecht::A,slæmur,prost
817,schlecht::A,lélegur,rău
818,schlecht::A,lélegur,prost
819,richtig::A,réttur,drept
820,richtig::A,réttur,corect
821,schlimm::A,slæmur,rău
822,wahr::A,sannur,adevărat
823,alt::A,gamall,uzat
824,alt::A,gamall,vechi
825,neu::A,nýr,nou
826,ehemalig::A,fyrrverandi,fost
827,ehemalig::A,fyrrverandi,anterior
828,alt[Lebewesen]::A,gamall,bătrîn
829,jung::A,ungur,tânăr
830,arm::A,vesall,sărac
831,arm::A,vesall,sărman
832,arm::A,fátækur,sărac
