,Concept_ID,lv,ca
628,Volk::N,йӧз,poble
629,Volk::N,войтыр,poble
630,Volk::N,tauta,poble
631,Arbeit::N,удж,labor
632,Arbeit::N,удж,treball
633,Arbeit::N,darbs,labor
634,Arbeit::N,darbs,treball
635,Gast::N,гӧсть,hoste
636,Gast::N,viešņa,hoste
637,Gast::N,ciemiņš,hoste
638,Geschenk::N,козин,regal
639,Geschenk::N,козин,obsequi
640,Geschenk::N,dāvana,regal
641,Geschenk::N,dāvana,obsequi
642,Spiel::N,ворсан,joc
643,Spiel::N,rotaļa,joc
644,Gesellschaft::N,котыр,companyia
645,Gesellschaft::N,biedrība,companyia
646,Gesellschaft::N,kompānija,companyia
647,Hilfe::N,отсӧг,ajut
648,Hilfe::N,palīdzība,ajut
649,Freund::N,ёрт,amīc
650,Freund::N,draugs,amīc
651,Kamerad::N,ёрт,company
652,Kamerad::N,ёрт,camarada
653,Kamerad::N,biedrs,company
654,Kamerad::N,biedrs,camarada
655,Angelegenheit::N,мог,afer
656,Angelegenheit::N,мог,assumpte
657,Angelegenheit::N,делӧ,afer
658,Angelegenheit::N,делӧ,assumpte
659,Angelegenheit::N,darīšana,afer
660,Angelegenheit::N,darīšana,assumpte
661,Anzahl::N,лыд,nombre
662,Anzahl::N,лыд,quantitat
663,Anzahl::N,тшӧт,nombre
664,Anzahl::N,тшӧт,quantitat
665,Anzahl::N,skaits,nombre
666,Anzahl::N,skaits,quantitat
667,Anzahl::N,daudzums,nombre
668,Anzahl::N,daudzums,quantitat
669,Art::N,сикас,tipus
670,Art::N,сикас,classe
671,Art::N,suga,tipus
672,Art::N,suga,classe
673,Art::N,šķira,tipus
674,Art::N,šķira,classe
675,Stück::N,тор,peça
676,Stück::N,gabals,peça
677,Teil::N,юкӧн,part
678,Teil::N,daļa,part
679,Hälfte::N,пӧв,meitat
680,Hälfte::N,джын,meitat
681,Hälfte::N,puse,meitat
682,Kreis::N,кытш,cercle
683,Kreis::N,aplis,cercle
684,Kreis::N,riņķis,cercle
685,Kreuz::N,перна,creu
686,Kreuz::N,крест,creu
687,Kreuz::N,krusts,creu
688,Linie::N,визь,línia
689,Linie::N,līnija,línia
690,Strich::N,визь,traç
691,Strich::N,визь,ratlla
692,Strich::N,svītra,traç
693,Strich::N,svītra,ratlla
694,Abstand::N,кост,distància
695,Abstand::N,коласт,distància
696,Abstand::N,atstarpe,distància
697,Entfernung::N,ылна,distància
698,Entfernung::N,attālums,distància
699,Entfernung::N,atstatums,distància
700,Gegend::N,му-ва,regió
701,Gegend::N,му-ва,contrada
702,Gegend::N,apvidus,regió
703,Gegend::N,apvidus,contrada
704,Gegend::N,apgabals,regió
705,Gegend::N,apgabals,contrada
706,Platz::N,ылдӧс,cabuda
707,Platz::N,йир,cabuda
708,Platz::N,гӧгӧртас,cabuda
709,Platz::N,vieta,cabuda
710,Ort::N,ин,lloc
711,Ort::N,места,lloc
712,Ort::N,vieta,lloc
713,Seite::N,бок,banda
714,Seite::N,бок,costāt
715,Seite::N,ӧтарладор,banda
716,Seite::N,ӧтарладор,costāt
717,Seite::N,sāns,banda
718,Seite::N,sāns,costāt
719,Mitte::N,шӧр,mig
720,Mitte::N,шӧр,centre
721,Mitte::N,vidus,mig
722,Mitte::N,vidus,centre
723,Gegenstand::N,кӧлуй,objecte
724,Gegenstand::N,priekšmets,objecte
725,Sache::N,добра,cosa
726,Sache::N,lieta,cosa
727,Rand::N,дор,vora
728,Rand::N,дор,marge
729,Rand::N,mala,vora
730,Rand::N,mala,marge
731,Rand::N,apmale,vora
732,Rand::N,apmale,marge
733,Kante::N,дор,caire
734,Kante::N,дор,cantell
735,Kante::N,šķautne,caire
736,Kante::N,šķautne,cantell
737,Ecke::N,пельӧс,cantonada
738,Ecke::N,kakts,cantonada
739,Ecke::N,stūris,cantonada
740,Spitze::N,йыв,punta
741,Spitze::N,smaile,punta
742,Spitze::N,galotne,punta
743,Ende::N,пом,cap
744,Ende::N,gals,cap
745,Ende::N,uzgalis,cap
746,Loch::N,розь,forāt
747,Loch::N,caurums,forāt
748,Winkel::N,пельӧс,racó
749,Winkel::N,leņķis,racó
750,Muster::N,сер,dibuix
751,Muster::N,сер,disseny
752,Muster::N,piemērs,dibuix
753,Muster::N,piemērs,disseny
754,Größe::N,ыджда,grandària
755,Größe::N,lielums,grandària
756,Länge::N,кузьта,longitud
757,Länge::N,garums,longitud
758,Höhe::N,джуджда,altura
759,Höhe::N,джуджда,altitud
760,Höhe::N,augstums,altura
761,Höhe::N,augstums,altitud
762,Gewicht::N,сьӧкта,pes
763,Gewicht::N,сьӧкталун,pes
764,Gewicht::N,svars,pes
765,Gewicht::N,smagums,pes
766,Menge::N,лун,quantitat
