,Concept_ID,hy,bg
609,Herbst::N,աշուն,есен
610,Winter::N,ձմեռ,зима
611,Januar::N,հունվար,януари
612,Februar::N,փետրվար,февруари
613,März::N,մարտ,март
614,April::N,ապրիլ,април
615,Mai::N,մայիս,май
616,Juni::N,հունիս,юни
617,Juli::N,հուլիս,юли
618,August::N,օգոստոս,август
619,September::N,սեպտեմբեր,септември
620,Oktober::N,հոկտեմբեր,октомври
621,November::N,նոյեմբեր,ноември
622,Dezember::N,դեկտեմբեր,декември
623,Montag::N,երկուշաբթի,понеделник
624,Dienstag::N,երեքշաբթի,вторник
625,Mittwoch::N,չորեքշաբթի,сряда
626,Donnerstag::N,հինգշաբթի,четвъртък
627,Freitag::N,ուրբաթ,петък
628,Samstag::N,շաբաթ,събота
629,Sonntag::N,կիրակի,неделя
630,groß::A,մեծ,едър
631,groß::A,մեծ,голям
632,groß::A,խոշոր,едър
633,groß::A,խոշոր,голям
634,klein::A,պստիկ,малък
635,klein::A,պստիկ,дребен
636,klein::A,փոքրիկ,малък
637,klein::A,փոքրիկ,дребен
638,lang::A,երկար,дълъг
639,kurz::A,կարճ,къс
640,breit::A,լայն,широк
641,schmal::A,նեղ,тесен
642,dicht::A,խիտ,гъст
643,dick[Gegenstand]::A,հաստ,дебел
644,dünn::A,բարակ,тънък
645,fein::A,նուրբ,фин
646,fein::A,նուրբ,тънък
647,fest::A,ամուր,твърд
648,fest::A,ամուր,плътен
649,fest::A,պինդ,твърд
650,fest::A,պինդ,плътен
651,flach::A,տափակ,равен
652,flach::A,տափակ,плосък
653,glatt::A,հարթ,гладък
654,hart::A,կարծր,твърд
655,hart::A,կարծր,корав
656,weich::A,մեղմ,мек
657,weich::A,փափուկ,мек
658,rund::A,կլոր,кръгъл
659,spitz::A,սրածայր,островръх
660,scharf::A,սուր,остър
661,stumpf::A,գուլ,тъп
662,schwer::A,ծանր,тежък
663,schön::A,սիրուն,хубав
664,schön::A,սիրուն,красив
665,schön::A,գեղեցիկ,хубав
666,schön::A,գեղեցիկ,красив
667,heiß::A,թեժ,жарък
668,warm::A,տաք,топъл
669,warm::A,ջերմ,топъл
670,kalt::A,ցուրտ,студен
671,kühl::A,զով,хладен
672,frisch::A,թարմ,свеж
673,feucht::A,ղոնավ,влажен
674,nass::A,թաց,мокър
675,trocken::A,ցամաք,сух
676,voll::A,լի,пълен
677,voll::A,լիքը,пълен
678,leer::A,դատարկ,празен
679,offen::A,բաց,откровен
680,geschlossen::A,գոց,закрит
681,geschlossen::A,գոց,затворен
682,sauber::A,մաքուր,чист
683,schmutzig::A,կեղտոտ,мръсен
