,Concept_ID,kv,is
303,Anzahl::N,лыд,fjöldi
304,Art::N,пӧлӧс,tegund
305,Stück::N,тор,biti
306,Stück::N,тор,stykki
307,Teil::N,юкӧм,hluti
308,Teil::N,юкӧм,partur
309,Hälfte::N,джын,helmingur
310,Kreis::N,круг,hringur
311,Kreuz::N,перна,kross
312,Kreuz::N,перна,krossmark
313,Linie::N,визь,lína
314,Strich::N,кырӧв,strik
315,Abstand::N,колас,millibil
316,Entfernung::N,ылына,fjarlægð
317,Gegend::N,места,hérað
318,Platz::N,места,pláss
319,Ort::N,места,staður
320,Seite::N,ладор,hlið
321,Mitte::N,шӧр,miðja
322,Gegenstand::N,тор,hlutur
323,Sache::N,тор,mál
324,Rand::N,дор,brún
325,Kante::N,ордлы,rönd
326,Ecke::N,пельӧс,horn
327,Spitze::N,йыв,oddur
328,Ende::N,йыв,endi
329,Loch::N,осьта,gat
330,Loch::N,осьта,hola
331,Winkel::N,пельӧс,skot
332,Winkel::N,пельӧс,krókur
333,Muster::N,сер,munstur
334,Größe::N,ыжда,stærð
335,Länge::N,кузя,lengd
336,Höhe::N,сувда,hæð
337,Höhe::N,вылына,hæð
338,Gewicht::N,сьӧкта,vigt
339,Gewicht::N,сьӧкта,þyngd
340,Haufen::N,куча,hrúga
341,Haufen::N,куча,haugur
342,Reihe::N,лёдз,röð
343,Boot::N,пыж,bátur
344,Ruder::N,пелыс,ár
345,Schlitten::N,додь,sleði
346,Ski::N,лямпа,skíði
347,Lagerfeuer::N,бипур,varðeldur
348,Last::N,тягота,byrði
349,Last::N,тягота,farmur
350,Gang::N,мунӧм,ganga
351,Schritt::N,вожмӧв,skref
352,Norden::N,ой,norður
353,Süden::N,лун,suður
354,Westen::N,рытвыв,vestur
355,Osten::N,асыв,austur
356,Holz::N,пу,viður
357,Brett::N,пӧв,fjöl
358,Platte::N,плита,flötur
359,Stütze::N,пика,stoð
360,Stange::N,зор,stöng
361,Stange::N,потш,stöng
362,Stock::N,бедь,prik
363,Stock::N,бедь,stafur
364,Stab::N,шест,prik
365,Stab::N,шест,stafur
366,Rohr::N,труба,rör
367,Rohr::N,труба,pípa
368,Haus::N,керку,hús
369,Heim::N,керку,heimili
370,Ofen::N,пӧжавны,ofn
371,Fußboden::N,джодж,gólf
372,Tisch::N,пызан,borð
373,Stuhl::N,стул,stóll
374,Wiege::N,зыбка,vagga
375,Bett::N,кровать,rúm
376,Bett::N,кровать,hvíla
377,Regal::N,джадж,hilla
378,Kiste::N,ящик,kassi
