,Concept_ID,et,ru
664,zusammen::ADV,üheskoos,вместе
665,lange::ADV,kaua,долго
666,plötzlich::ADV,äkki,вдруг
667,plötzlich::ADV,järsku,вдруг
668,sofort::ADV,kohe,тотчас
669,später::ADV,hiljem,позже
670,jetzt::ADV,nüüd,сейчас
671,heute::ADV,täna,сегодня
672,morgen::ADV,homme,завтра
673,bald::ADV,pea,скоро
674,bald::ADV,varsti,скоро
675,dann::ADV,siis,потом
676,gestern::ADV,eile,вчера
677,einst::ADV,vanasti,однажды
678,damals::ADV,tookord,тогда
679,danach::ADV,seejärel,затем
680,vorher::ADV,enne,раньше
681,zuerst::ADV,enne,сперва
682,zuerst::ADV,esmalt,сперва
683,einmal::ADV,kord,раз
684,einmal::ADV,üks kord,раз
685,manchmal::ADV,mõnikord,иногда
686,oft::ADV,tihti,часто
687,oft::ADV,sageli,часто
688,immer::ADV,ikka,всегда
689,immer::ADV,alati,всегда
690,niemals::ADV,mitte kunagi,никогда
691,hier::ADV,siin,здесь
692,hierhin::ADV,siia,сюда
693,von hier::ADV,siit,отсюда
694,dort::ADV,seal,там
695,dorthin::ADV,sinna,туда
696,geradeaus::ADV,otse edasi,прямо
697,vorwärts::ADV,edasi,вперед
698,rückwärts::ADV,tagurpidi,назад
699,zurück::ADV,tagasi,обратно
700,unten::ADV,all,внизу
701,unten::ADV,allpool,внизу
702,hinab::ADV,alla,вниз
703,oben::ADV,ülal,наверху
704,hinauf::ADV,üles,вверх
705,überall::ADV,kõikjal,везде
706,nicht::ADV,ei,не
707,nicht::ADV,mitte,не
708,ein wenig::ADV,veidi,немного
709,ein wenig::ADV,natuke,немного
710,kaum::ADV,vaevalt,едва
711,sehr::ADV,väga,очень
712,so::ADV,nii,так
713,noch::ADV,veel,еще
714,nur::ADV,ainult,только
715,schon::ADV,juba,уже
716,wieder::ADV,jälle,опять
717,vergebens::ADV,asjata,напрасно
718,vor::PRP,ees,перед
719,hinter::PRP,taha,за
720,hinter::PRP,taha,позади
721,unter::PRP,all,под
722,durch::PRP,läbi,сквозь
723,durch::PRP,kaudu,сквозь
724,neben::PRP,kõrval,возле
725,zwischen::PRP,vahel,между
726,wegen::PRP,tõttu,из-за
727,wegen::PRP,pärast,из-за
728,dies::PRN,see,это
729,das::PRN,see,то
730,alles::PRN,kõik,все
731,ich::PRN,mina,я
732,du::PRN,sina,ты
733,er::PRN,tema,он
734,wir::PRN,me,мы
735,ihr::PRN,te,вы
736,sie::PRN,nad,они
737,was::FPRN,mis,что
738,wer::FPRN,kes,кто
739,wo::FADV,kus,где
740,wohin::FADV,kuhu,куда
741,wie::FADV,kuidas,как
742,warum::FADV,miks,почему
743,wieviel::FNUM,mitu,сколько
744,wieviel::FNUM,kui palju,сколько
745,eins::NUM,üks,один
746,zwei::NUM,kaks,два
747,drei::NUM,kolm,три
748,vier::NUM,neli,четыре
