,Concept_ID,ps,et
445,Topf::N,دېګی,pada
446,Kessel::N,دېګ,pada
447,Essen::N,خوراک,söök
448,Nahrung::N,خوراک,toit
449,Speise::N,خواړه,roog
450,Fleisch::N,غوښه,liha
451,Getreide::N,غله,teravili
452,Brei::N,اوګره,puder
453,Brot::N,ډوډۍ,sai
454,Brot::N,ډوډۍ,leib
455,Scheibe::N,مړۍ,viil
456,Scheibe::N,مړۍ,viilukas
457,Fett::N,غوړي,rasv
458,Butter::N,کوچ,või
459,Öl::N,تېل,õli
460,Salz::N,مالګه,sool
461,Suppe::N,شوربا,supp
462,Honig::N,شات,mesi
463,Milch::N,شوده,piim
464,Tee::N,چای,tee
465,Leder::N,څرمن,nahk
466,Wolle::N,پشم,vill
467,Stoff::N,ټوټه,kangas
468,Nadel::N,ستن,nõel
469,Faden::N,تار,niit
470,Knopf::N,تڼۍ,nööp
471,Knopf::N,تکمه,nööp
472,Knoten::N,غوټه,sõlm
473,Farbe::N,رنګ,värv
474,Kleidung::N,کالي,riided
475,Kleidung::N,کالي,riietus
476,Hemd::N,کميس,särk
477,Kragen::N,غاړه,krae
478,Ärmel::N,لستوڼی,varrukas
479,Hose::N,پطلون,püksid
480,Gürtel::N,کمربند,vöö
481,Mütze::N,خولۍ,müts
482,Schuh::N,بوټ,king
483,Stiefel::N,موزه,saabas
484,Ring::N,ګوته,sõrmus
485,Band::N,فيته,lint
486,Kamm::N,ګمنځ,kamm
487,Spiegel::N,ایینه,peegel
488,Spiegel::N,هنداره,peegel
489,Riemen::N,تسمه,rihm
490,Schnur::N,مزی,nöör
491,Leine::N,رسۍ,jalutusrihm
492,Decke::N,بړستن,tekk
493,Kissen::N,بالښت,padi
494,Tuch::N,ټیکری,kalev
495,Handtuch::N,دسمال,käterätik
496,Kraft::N,زور,jõud
497,Kraft::N,توان,jõud
498,Stärke::N,قوت,tugevus
499,Gesundheit::N,صحت,tervis
500,Gesundheit::N,روغتیا,tervis
501,Krankheit::N,مرض,haigus
502,Krankheit::N,ناروغي,haigus
503,Schmerz::N,درد,valu
504,Wunde::N,ټپ,haav
505,Wunde::N,زخم,haav
506,Fieber::N,تبه,palavik
507,Arznei::N,دوا,ravim
508,Arznei::N,دارو,ravim
509,Brücke::N,پول,sild
510,Brunnen::N,څاه,kaev
511,Brunnen::N,کوهی,kaev
512,Weide::N,وله,karjamaa
513,Pfad::N,تړه,rada
514,Weg::N,لیار,tee
515,Straße::N,سړک,tee
516,Dorf::N,کلی,küla
517,Stadt::N,ښار,linn
518,Brief::N,لیک,kiri
519,Brief::N,مکتوب,kiri
520,Buch::N,کتاب,raamat
521,Buchstabe::N,حرف,täht
522,Buchstabe::N,توری,täht
523,Zeitung::N,اخبار,ajaleht
524,Leben::N,ژوند,elu
525,Tod::N,مرګ,surm
526,Tod::N,مړینه,surm
527,Grab::N,قبر,haud
528,Grab::N,ډورۍ,haud
529,Kirche::N,کلیسا,kirik
530,Sünde::N,ګناه,patt
531,Gott::N,خدای,jumal
532,Arbeiter::N,کاریګر,tööline
533,Chef::N,آمر,ülemus
534,Chef::N,آمر,juhataja
535,Meister::N,استاد,meister
536,Arzt::N,طبیب,arst
