,Concept_ID,ba,ml
538,hart::A,ҡаты,കട്ടിയുള്ള
539,weich::A,йомшаҡ,മൃദുവായ
540,rund::A,түңәрәк,വട്ടത്തിലുള്ള
541,spitz::A,осло түбәле,മുനയുള്ള
542,scharf::A,үткер,മൂർച്ചയുള്ള
543,stumpf::A,утмәҫ,തുറന്നടിക്കുന്ന
544,schwer::A,ауыр,ഭാരമുള്ള
545,schön::A,матур,മനോഹരമായ
546,heiß::A,эҫе,ചൂടുള്ള
547,warm::A,йылы,ചൂടുള്ള
548,kalt::A,һыуыҡ,തണുത്ത
549,kühl::A,һалҡынса,തണുപ്പുള്ള
550,frisch::A,һалҡынса,ശുദ്ധമായ
551,feucht::A,еүеш,ഈറനുള്ള
552,feucht::A,дымлы,ഈറനുള്ള
553,nass::A,еүеш,നനഞ്ഞ
554,trocken::A,кипкән,വരണ്ട
555,voll::A,тулы,നിറയെ
556,leer::A,буш,ഒഴിഞ്ഞ
557,offen::A,асыҡ,തുറന്ന
558,geschlossen::A,ябыҡ,അടച്ച
559,sauber::A,таҙа,വൃത്തിയുള്ള
560,schmutzig::A,бысраҡ,അഴുക്കുനിറഞ്ഞ
561,roh::A,сей,അസംസ്കൃതമായ
562,reif::A,өлгөрғән,പഴുത്ത
563,lecker::A,тәмле,രുചികരമായ
564,süß::A,тямле,മധുരമുള്ള
565,süß::A,тәм-том,മധുരമുള്ള
566,bitter::A,әсе,കടുത്ത
567,sauer::A,әсе,പുളിപ്പുള്ള
568,hell::A,яҡты,ജ്വലിക്കുന്ന
569,dunkel::A,ҡараңғы,ഇരുണ്ട
570,schwarz::A,ҡара,കറുത്ത
571,weiß::A,аҡ,വെളുത്ത
572,rot::A,матур,ചുവന്ന
573,rot::A,һылыу,ചുവന്ന
574,rot::A,сибәр,ചുവന്ന
575,gelb::A,һары,മഞ്ഞനിറമായ
576,blau::A,күк,നീലനിറമുള്ള
577,grün::A,йәшел,പച്ചനിറമുള്ള
578,grau::A,буҙ,ചാരനിറത്തിലുള്ള
579,bunt::A,сыбар,വർണ്ണശബളമായ
580,bunt::A,ала-ҡола,വർണ്ണശബളമായ
581,billig::A,арзан,വിലകുറഞ്ഞ
582,teuer::A,ҡыйбатлы,ചെലവേറിയ
583,wertvoll::A,ҡиммәтле,വിലപിടിപ്പുള്ള
584,blind::A,һуҡыр,അന്ധനായ
585,taub::A,һаңғырау,കേൾവിക്കുറവുള്ള
586,kräftig::A,көслө,ശക്തിയുള്ള
587,kräftig::A,ҡеүәтле,ശക്തിയുള്ള
588,stark::A,көслө,ബലമുള്ള
589,stark::A,ҡеүәтле,ബലമുള്ള
590,schwach::A,көсһөҙ,ക്ഷീണിച്ച
591,fett::A,һимеҙ,കൊഴുപ്പുള്ള
592,schlank::A,зифа,മെലിഞ്ഞ
593,hübsch::A,матур,മനോഹരമായ
594,böse::A,асыулы,പാപിയായ
595,dumm::A,иҫәр,വിവരംകെട്ട
596,faul::A,иренсәк,അലസനായ
597,fleißig::A,тырыш,അദ്ധ്വാനശീലമുള്ള
598,geizig::A,һаран,പിശുക്കനായ
599,klug::A,аҡыллы,ബുദ്ധിസാമർഥ്യമുള്ള
600,geschickt::A,оҫта,പ്രതിഭാശാലി
601,lieb::A,яғымлы,പ്രിയപ്പെട്ട
602,lustig::A,күңелле,ആനന്ദകരമായ
603,sanft::A,йыуаш,സൌമ്യമായ
604,hungrig::A,ас,വിശപ്പുള്ള
