,Concept_ID,ka,fa
462,Deckel::N,სარქველი,در
463,Geschirr::N,ჭურჭელი,ظرف
464,Sack::N,ტომარა,گونی
465,Tasse::N,ფინჯანი,فنجان
466,Topf::N,ქოთანი,دیگ
467,Topf::N,ქოთანი,قابلمه
468,Kessel::N,ქვაბი,دیگ
469,Essen::N,ჭამა,خوراک
470,Nahrung::N,საზრდო,غذا
471,Nahrung::N,საკვები,غذا
472,Speise::N,საჭმელი,خوراک
473,Fleisch::N,ხორცი,گوشت
474,Getreide::N,მარცვლოვანი,غله
475,Brei::N,ფაფა,فرنی
476,Brei::N,ფაფა,حریره
477,Brot::N,პური,نان
478,Scheibe::N,ნაჭერი,قاچ
479,Scheibe::N,ნაჭერი,لزگه
480,Fett::N,ქონი,چربی
481,Fett::N,ცხიმი,چربی
482,Butter::N,კარაქი,کره
483,Öl::N,ზეთი,روغن
484,Salz::N,მარილი,نمک
485,Suppe::N,სუფი,آش
486,Suppe::N,სუფი,سوپ
487,Honig::N,თაფლი,عسل
488,Milch::N,რძე,شیر
489,Tee::N,ჩაი,چای
490,Leder::N,ტყავი,چرم
491,Wolle::N,მატყლი,پشم
492,Stoff::N,ქსოვილი,پارچه
493,Nadel::N,ნემსი,سوزن
494,Faden::N,ძაფი,نخ
495,Faden::N,მკედი,نخ
496,Knopf::N,ღილი,دکمه
497,Knoten::N,ნასკვი,گره
498,Farbe::N,საღებავი,رنگ
499,Kleidung::N,ტანსაცმელი,لباس
500,Kleidung::N,ტანსაცმელი,پوشاک
501,Hemd::N,ხალათი,پیراهن
502,Hemd::N,პერანგი,پیراهن
503,Kragen::N,საყელო,یقه
504,Ärmel::N,სახელო,آستین
505,Hose::N,შარვალი,شلوار
506,Gürtel::N,ქამარი,کمر‌بند
507,Mütze::N,ქუდი,کلاه
508,Schuh::N,ფეხსაცმელი,کفش
509,Stiefel::N,ჩექმა,چکمه
510,Ring::N,ბეჭედი,حلقه
511,Ring::N,ბეჭედი,انگشتر
512,Band::N,ბაფთი,نوار
513,Band::N,ბაფთი,روبان
514,Kamm::N,სავარცხელი,شانه
515,Spiegel::N,სარკე,آینه
516,Riemen::N,ღვედი,تسمه
517,Schnur::N,ლარი,ریسمان
518,Leine::N,ჯაჭვი,قلاده
519,Decke::N,საბანი,پتو
520,Kissen::N,ბალიში,بالش
521,Tuch::N,მაუდი,شال
522,Tuch::N,თავშალი,شال
523,Handtuch::N,ხელსახოცი,حوله
524,Kraft::N,ძალა,نیرو
525,Stärke::N,ღონე,زور
526,Gesundheit::N,ჯანმრთელობა,سلامتی
527,Gesundheit::N,ჯანმრთელობა,تندرستی
528,Krankheit::N,სენი,بیماری
529,Krankheit::N,ავადმყოფობა,بیماری
530,Schmerz::N,ტკივილი,درد
531,Wunde::N,იარი,زخم
532,Wunde::N,ჭრილობა,زخم
533,Fieber::N,ციება,تب
534,Arznei::N,წამალი,دارو
535,Brücke::N,ხიდი,پل
536,Brunnen::N,ჭა,چاه
537,Weide::N,საძოვარი,چراگاه
538,Pfad::N,ბილიკი,راه
539,Weg::N,გზა,راه
540,Weg::N,გზა,طریق
541,Straße::N,შარაგზა,راه
542,Straße::N,შარაგზა,جاده
543,Dorf::N,დაბა,ده
544,Dorf::N,დაბა,روستا
545,Dorf::N,სოფელი,ده
546,Dorf::N,სოფელი,روستا
547,Stadt::N,ქალაქი,شهر
548,Brief::N,წერილი,نامه
549,Buch::N,წიგნი,کتاب
550,Buchstabe::N,ასო,حرف
551,Zeitung::N,გაზეთი,روزنامه
552,Leben::N,სიცოცხლე,عمر
553,Leben::N,სიცოცხლე,زندگی
554,Tod::N,სიკვდილი,مرگ
555,Grab::N,სამარე,گور
556,Grab::N,სამარე,مزار
557,Grab::N,საფლავი,گور
558,Grab::N,საფლავი,مزار
559,Kirche::N,ეკლესია,کلیسا
560,Sünde::N,ცოდვა,بزه
561,Sünde::N,ცოდვა,گناه
562,Gott::N,ღმერთი,خدا
563,Arbeiter::N,მუშა,کارگر
564,Chef::N,გამგე,رئیس
565,Meister::N,ოსტატი,استاد
566,Arzt::N,ექიმი,پزشک
567,Arzt::N,მკურნალი,پزشک
568,Lehrer::N,მასწავლებელი,معلم
569,Lehrer::N,მასწავლებელი,آموزگار
570,Geld::N,ფული,پول
571,Geschäft::N,საქმე,کار
572,Geschäft::N,საქმე,بیزنس
573,Geschäft::N,ბიზნესი,کار
574,Geschäft::N,ბიზნესი,بیزنس
575,Laden::N,დუქანი,دکان
576,Laden::N,დუქანი,مغازه
577,Laden::N,მაღაზია,دکان
578,Laden::N,მაღაზია,مغازه
579,Preis::N,ფასი,بها
580,Preis::N,ფასი,قیمت
581,Ware::N,საქონელი,جنس
582,Ware::N,საქონელი,کالا
583,Nutzen::N,ხეირი,مزیت
584,Nutzen::N,ხეირი,امتیاز
585,Reichtum::N,სიმდიდრე,مال
586,Reichtum::N,სიმდიდრე,ثروت
587,Welt::N,მსოფლიო,دنیا
588,Land::N,მხარე,کشور
589,Land::N,მხარე,مملکت
590,Land::N,ქვეყანა,کشور
591,Land::N,ქვეყანა,مملکت
592,Staat::N,სახელმწიფო,دولت
593,König::N,მეფე,شاه
594,König::N,მეფე,پادشاه
595,Macht::N,ძლიერება,قدرت
596,Macht::N,ძლიერება,اختیار
597,Grenze::N,ზღვარი,مرز
598,Krieg::N,ომი,جنگ
599,Feind::N,მტერი,دشمن
600,Gewalt::N,სისასტიკე,زور
601,Gewalt::N,სისასტიკე,خشونت
602,Kampf::N,ბრძოლა,نبرد
603,Kampf::N,ბრძოლა,مبارزه
604,Bogen[Waffe]::N,მშვილდი,کمان
605,Pfeil::N,ისარი,تیر
606,Pfeil::N,მახვილი,تیر
