,Concept_ID,cs,myv
791,nicht::ADV,ne,а
792,ein wenig::ADV,trochu,аламошка
793,kaum::ADV,sotva,ансяк
794,sehr::ADV,velmi,пек
795,sehr::ADV,velmi,вельть
796,sehr::ADV,velice,пек
797,sehr::ADV,velice,вельть
798,so::ADV,tak,истя
799,so::ADV,takto,истя
800,noch::ADV,ještě,таго
801,nur::ADV,jen,ансяк
802,nur::ADV,jenom,ансяк
803,schon::ADV,už,уш
804,schon::ADV,již,уш
805,wieder::ADV,zase,таго
806,vergebens::ADV,marně,стяко
807,vor::PRP,před,икеле
808,hinter::PRP,za,вельде
809,unter::PRP,pod,ало
810,durch::PRP,skrz,пачк
811,neben::PRP,vedle,вакссо
812,zwischen::PRP,mezi,ютксо
813,wegen::PRP,pro,кис
814,wegen::PRP,pro,коряс
815,wegen::PRP,pro,кувалт
816,dies::PRN,toto,те
817,dies::PRN,tohle,те
818,das::PRN,to,те
819,das::PRN,to,тона
820,alles::PRN,všechno,весе
821,alles::PRN,všechno,весемесь
822,ich::PRN,já,мон
823,du::PRN,ty,тон
824,er::PRN,on,сон
