,Concept_ID,ku,mdf
417,Sack::N,tûr,кяскав
418,Tasse::N,kada,ша́ваня
419,Topf::N,beroş,кавозь
420,Kessel::N,şîril,сргавозь
421,Essen::N,xwarin,ярхцама
422,Nahrung::N,xwarin,ярхцампяль
423,Speise::N,xwarin,ярхцама
424,Fleisch::N,goşt,пал
425,Fleisch::N,goşt,сиволь
426,Getreide::N,zad,сёра
427,Brei::N,hewdêl,ям
428,Brot::N,,кши
429,Scheibe::N,parçe,кочам
430,Fett::N,rûn,куя́
431,Butter::N,rûn,вай
432,Öl::N,rûn,вай
433,Salz::N,xwe,сал
434,Suppe::N,şorbe,шонгарям
435,Suppe::N,şorbe,коршампяль
436,Honig::N,hingiv,медь
437,Milch::N,şîr,лофца
438,Tee::N,çay,чай
439,Leder::N,çerm,кедь
440,Wolle::N,herî,пона
441,Stoff::N,paç,котф
442,Nadel::N,derzî,салмокс
443,Faden::N,ta,сюре
444,Knopf::N,bişkok,пуня
445,Knoten::N,girêk,сюлма
446,Farbe::N,boyax,архтомбяль
447,Kleidung::N,çil,щам
448,Hemd::N,qutik,па́нар
449,Hemd::N,miltan,па́нар
450,Kragen::N,stûvang,сиве
451,Ärmel::N,hûçik,ожа
452,Hose::N,şewel,понкст
453,Gürtel::N,qayiş,каркс
454,Mütze::N,fîno,вазь
455,Schuh::N,şêkal,башма́к
456,Stiefel::N,gizme,кя́ме
457,Stiefel::N,çizme,кя́ме
458,Ring::N,xelek,суркс
459,Band::N,band,керькс
460,Band::N,band,лента
461,Kamm::N,şeh,сюрьхцем
462,Spiegel::N,eynik,ванома
463,Riemen::N,qayiş,шнань каркс
464,Schnur::N,doxin,пикс
465,Schnur::N,doxin,карькскя
466,Leine::N,şirît,вядьме
467,Decke::N,bataniye,вельхкс
468,Kissen::N,balgî,тоду
469,Tuch::N,şar,руця́
470,Handtuch::N,dezmal,на́рдама
471,Kraft::N,hêz,вий
472,Kraft::N,qewet,вий
473,Stärke::N,xurtî,вииши
474,Gesundheit::N,nojdarî,шумбраши́
475,Krankheit::N,nexweşî,урма́
476,Krankheit::N,nexweşî,сярядема
477,Schmerz::N,êş,маряма
478,Wunde::N,kul,керф
479,Fieber::N,ta,маштыкс
480,Arznei::N,derman,надо́бья
481,Arznei::N,derman,пъчка́фтома
482,Brücke::N,kopî,седь
483,Brunnen::N,çal,эши
484,Brunnen::N,kani,эши
485,Weide::N,beyar,ванома васта
486,Pfad::N,xaçirek,ян
487,Pfad::N,xaçirek,киня́
488,Weg::N,rê,ки
489,Straße::N,rê,ки
490,Dorf::N,gund,веле
491,Stadt::N,baçar,ош
492,Brief::N,name,сёрма
493,Buch::N,kitêb,книга
494,Buch::N,pirtûk,книга
495,Buchstabe::N,herf,бу́ква
496,Zeitung::N,rojname,газе́та
497,Leben::N,jiyan,эряф
498,Leben::N,jiyan,эряма
499,Tod::N,mirin,кулома́
500,Grab::N,mezel,калма
501,Kirche::N,gilyas,це́рькав
502,Sünde::N,guneh,пежеть
503,Sünde::N,guneh,муворкс
504,Gott::N,xwedê,шкай
505,Arbeiter::N,hîşçî,трудендай
506,Arbeiter::N,hîşçî,работник
507,Chef::N,bêg,азор
508,Chef::N,bêg,оцюня
509,Meister::N,hoste,мастяр
510,Arzt::N,doktor,врач
511,Arzt::N,doktor,доктор
512,Lehrer::N,mamoste,учи́тель
513,Geld::N,pere,ярмакт
514,Geschäft::N,firoşgeh,ладяфкс
515,Geschäft::N,firoşgeh,ладяф тев
516,Laden::N,dikan,ла́вка
517,Preis::N,buha,питне
518,Ware::N,tişt,миф
519,Ware::N,tişt,ра́маф
520,Nutzen::N,fêde,пара
521,Nutzen::N,fêde,лезкс
522,Reichtum::N,serwet,ко́зяши
523,Welt::N,dinya,свет
524,Land::N,welat,мастор
525,Staat::N,dewlet,государства
526,König::N,şah,король
527,König::N,qral,король
528,Macht::N,qewet,азорондама
529,Macht::N,qewet,азорксши
530,Macht::N,destihilat,азорондама
531,Macht::N,destihilat,азорксши
532,Grenze::N,kevî,ёткаян
533,Krieg::N,çeng,война́
534,Krieg::N,sêwaş,война́
535,Feind::N,dijmin,душман
536,Feind::N,dijmin,каршек тюри
537,Gewalt::N,zor,наругама
538,Kampf::N,şer,тюрема́
539,Bogen[Waffe]::N,kêvan,нал
540,Pfeil::N,çîrik,нал
541,Gewehr::N,tifing,винто́вка
542,Fehler::N,şaşî,эльбядькс
543,Lüge::N,derew,васькафнема
544,Schaden::N,xisar,зия́н
545,Unglück::N,bêbextî,зия́н
546,Schuld::N,suç,муворши
547,Alter::N,temen,эряф кизот
548,Alter::N,temen,эряфонь пинге
549,Schluss::N,girtin,пе
550,Zeit::N,çax,пинге
551,Tag::N,roj,ши
552,Morgen::N,sibeh,шобдава
553,Mittag::N,nîro,шикучка
554,Abend::N,êvar,иля́дь
555,Nacht::N,şev,ве
556,Woche::N,heftî,недя́ля
557,Monat::N,meh,ков
558,Jahr::N,sal,киза
559,Frühling::N,bihar,тунда́
560,Sommer::N,havîn,киза
561,Herbst::N,payîz,сёксе
562,Winter::N,zistan,тяла
563,Januar::N,çile,кельмеков
564,Februar::N,sibat,уфайков
565,März::N,adar,марайков
566,April::N,nîsan,шудиков
567,Mai::N,gûlan,панжиков
568,Juni::N,hezîran,лямбеков
569,Juli::N,tîmeh,псиков
570,August::N,tebax,сёроньков
571,September::N,îlon,тюжягов
572,Oktober::N,çotmeh,кельмазаков
573,November::N,mijdar,эйндамков
574,Dezember::N,kanûn,кучкаков
575,Montag::N,duşemb,одговши
576,Dienstag::N,sêşem,ша́вши
577,Mittwoch::N,çarşemb,вержи
578,Donnerstag::N,pêşemb,шува́ланя
579,Freitag::N,în,пя́денця
580,Samstag::N,şemî,ёткши
581,Sonntag::N,yekşemb,таргоши
582,groß::A,mezin,оцю
583,klein::A,çûçik,ёмла
584,lang::A,dirêj,кува́ка
585,kurz::A,kin,нюрьхкя́ня
586,breit::A,fireh,кели
587,schmal::A,tenik,тяйня
588,dicht::A,gir,сиде
589,dicht::A,gir,туста
590,dick[Gegenstand]::A,şîşman,эчке
591,dünn::A,zirav,шува́ня
592,fein::A,tenik,шува́ня
593,fest::A,saxlem,кеме
594,flach::A,pahn,лапш
595,glatt::A,dûz,вадяв
596,glatt::A,dûz,такор
597,glatt::A,şayîk,вадяв
598,glatt::A,şayîk,такор
599,hart::A,hişk,калгода
600,weich::A,nerm,ляпе
601,rund::A,gilover,кру́глай
602,spitz::A,pîj,ботаз
603,spitz::A,pîj,оржа
604,scharf::A,tûj,оржа
605,stumpf::A,ne tûj,ношка
606,schwer::A,giran,стака
607,schön::A,xweş,мазы
608,schön::A,xweşik,мазы
609,heiß::A,kelandî,пси
610,warm::A,germ,лямбе
611,kalt::A,sar,кельме
612,kühl::A,jemîrî,эше
613,frisch::A,ter,свежай
614,feucht::A,şil,летьке
615,nass::A,şilek,начка
616,trocken::A,zuwa,коське
617,voll::A,tijî,пяшксе
618,leer::A,vala,шава
619,offen::A,vekirî,панжада
620,offen::A,vekirî,виде
621,geschlossen::A,asê,пякстаф
622,geschlossen::A,asê,сёлгф
623,sauber::A,pakij,ару
624,schmutzig::A,lewitî,рда́зу
625,schmutzig::A,lewitî,пя́ндра
626,roh::A,xav,верок
627,reif::A,gihaştî,ке́нерьф
628,lecker::A,xweş,танцти
629,süß::A,şîrîn,ламбама
630,bitter::A,tahl,сяпи
631,sauer::A,tirş,шапама
632,hell::A,ronî,валда
633,dunkel::A,tarî,шобда
634,schwarz::A,reş,равжа
635,weiß::A,sipî,акша
636,rot::A,sor,якстерь
637,gelb::A,zer,тюжя́
638,blau::A,şîn,сенем
639,grün::A,şîn,пиже
