,Concept_ID,te,ko
474,Schluss::N,ముగింపు,마감
475,Zeit::N,కాలము,때
476,Zeit::N,కాలము,시간
477,Tag::N,దినము,하루
478,Morgen::N,ఉదయము,이침
479,Mittag::N,మధ్యాహ్నము,대낮
480,Abend::N,సాయంకాలము,저녁
481,Nacht::N,రత్రి,밤
482,Woche::N,వారము,근무일
483,Monat::N,నెల,달
484,Jahr::N,సంవత్సరము,해
485,Frühling::N,వసంతకాలము,봄
486,Sommer::N,వేసవికాము,여름
487,Herbst::N,ఆకురాలుకాలము,가을
488,Winter::N,శీతకాలము,겨울
489,Januar::N,జనవరి,일월
490,Februar::N,ఫిబ్రవరి,이월
491,März::N,మార్చి,삼월
492,April::N,ఏప్రిలు,사월
493,Mai::N,మే,오월
494,Juni::N,జూన్,유월
495,Juli::N,జూలై,칠월
496,August::N,ఆగస్టు,팔월
497,September::N,సెప్ఠెంబరు,구월
498,Oktober::N,అక్టోబరు,시월
499,November::N,నవంబరు,십일월
500,Dezember::N,డిసెంబర్,십이월
501,Montag::N,సోమవారము,월요일
502,Dienstag::N,మంగళవారము,화요일
503,Mittwoch::N,బుధవారము,수요일
504,Donnerstag::N,గురువారము,모교일
505,Freitag::N,శుక్రవారము,그묘일
506,Samstag::N,శనివారము,토요일
507,Sonntag::N,ఆదివారము,일요일
508,groß::A,గొప్పైన,큰
509,klein::A,చిన్న,자근
510,lang::A,పొడుగాటి,긴
511,kurz::A,పొట్టి,짧은
512,breit::A,వెడల్పైన,넓은
513,schmal::A,ఇఱుకైన,좁은
514,dicht::A,దట్టమైన,농밀한
515,dick[Gegenstand]::A,దట్టమైన,두꺼운
516,dünn::A,పలుచని,얇은
517,fein::A,నాజాకైన,미세한
518,fest::A,దృడమైవ,굳은
519,flach::A,చదువైన,얕은
520,glatt::A,నున్నని,반들반들한
521,hart::A,కఠినమైన,굳은
522,weich::A,మృదువైన,연한
523,rund::A,గుండ్రని,둥근
524,spitz::A,మొనగల,뾰족한
525,scharf::A,పదనైన,날카로운
526,stumpf::A,వాడిలేని,무딘
527,schwer::A,బరువ్తెన,무거운
528,schön::A,సుందరమైన,멋진
529,heiß::A,వేడియైన,뜨거운
530,warm::A,వెచ్చని,따뜻한
531,kalt::A,చల్లని,찬
532,kühl::A,చల్లని,서늘한
533,frisch::A,తాజాయైన,신선한
534,feucht::A,చెమ్మగానున్న,축축한
535,nass::A,తడిగామన్న,젖은
536,trocken::A,ఎండిన,마른
537,voll::A,నిండు,완전한
538,leer::A,శూన్యమైన,빈
539,offen::A,తెఱచియున్న,열린
540,geschlossen::A,మూసిన,닫힌
541,sauber::A,పరిశుద్ధమైన,깨끗한
542,schmutzig::A,ముఱికియైన,더러운
543,roh::A,పచ్చి,날게잇의
544,reif::A,పండివ,이근
545,lecker::A,రుచి గల,맛있는
546,süß::A,తియ్యని,단
547,bitter::A,చేదైన,찌르는듯한
548,sauer::A,పుల్లని,산성의
549,hell::A,కాంతిగల,밝은
550,dunkel::A,చీకటియైన,어두운
551,schwarz::A,నల్లని,검은
552,weiß::A,తెలుపు,하얀
553,rot::A,ఎఱ్ఱని,붉은
554,gelb::A,పసుపు పచ్చ,황색
555,blau::A,నీలవర్ణము,푸른
556,grün::A,ఆకుపచ్చని,녹색의
557,grau::A,నెరిసిన,회색의
558,bunt::A,రంగేలీ,알록달록한
559,billig::A,చౌకయైన,싼
560,teuer::A,వెలపొడుగైన,값비산
561,wertvoll::A,విలుప్తెన,가치가많은
562,blind::A,గ్రుడ్డి,눈먼
563,taub::A,చెవిటి,무감간한
564,kräftig::A,శక్తి గల,강장한
565,stark::A,బలమైన,강한
566,schwach::A,బలహీనమైన,약한
567,fett::A,క్రొవ్విన,실찐
568,schlank::A,సన్నని,호리호리한
569,hübsch::A,సాగప్తెన,예쁜
570,böse::A,చెడ్డ,나쁜
571,dumm::A,తెలివిలేని,어리석은
572,faul::A,సోమరియైన,너덜너덜한
573,fleißig::A,శ్రద్దగల,근면한
574,geizig::A,పిసినారియైన,인색한
575,klug::A,తెలివిగల,
576,geschickt::A,నిపుణతగల,교묘한
577,lieb::A,ప్రియమైన,친애하는
578,lustig::A,ఉల్లాసము గల,유쾌한
579,sanft::A,సాధువైన,온화한
580,hungrig::A,ఆకలిగొనిన,배고픈
581,krank::A,వ్యాధిగల,병든
582,nackt::A,దిగంబరమైన,벌거벗은
583,traurig::A,విచారముగల,슬픈
584,lebendig::A,ప్రాణముతో నున్న,살아있는
585,gut::A,మంచి,좋은
586,schlecht::A,చెడ్డ,나쁜
587,richtig::A,సరియైన,바른
588,schlimm::A,అసహ్యమైన,못된
589,wahr::A,నిజమైన,참된
590,alt::A,ముసలి,늙은
591,neu::A,క్రొత్త,새
592,ehemalig::A,పూర్వపు,전의
593,alt[Lebewesen]::A,ముసలి,낡은
594,jung::A,పసి,젊은
595,arm::A,బీద,가난한
596,reich::A,ధనవంతుడైన,풍부한
597,bekannt::A,తెలిసిన,저명한
598,berühmt::A,ప్రపిద్దికెక్కివ,유명한
599,fremd::A,అన్యమైన,타처이
600,verschieden::A,భేదమైన,따른
601,nah::A,దగ్గఱనున్న,가까운
602,fern::A,దూరమందున్న,먼
603,linker::A,ఎడమప్రక్కగ,왼쭉의
604,rechter::A,కుడి,오른쪽의
605,anderer::A,వేఱ్తెన,다른
606,erster::A,మొదటి,첫째
607,zweiter::A,రెండన,둘째
608,dritter::A,మూడో,셋째
609,letzter::A,కడపటి,의후자의
610,allein::ADV,ఒంటిగా,훌로
611,auf einmal::ADV,హరాత్తుగ,갑자기
612,zusammen::ADV,కలిసి,모아서
613,lange::ADV,బహుకాలము,오래
614,plötzlich::ADV,హరాత్తుగ,둘연한
615,sofort::ADV,తక్షణము,즉시
616,später::ADV,ఇటీవలి,보다늦은
617,jetzt::ADV,ఇప్పుడు,목하
618,heute::ADV,నేడు,오늘
619,morgen::ADV,ఱేపు,내일
620,bald::ADV,శీఘ్రముగ,곱
621,dann::ADV,అప్పుడు,그경우에
622,gestern::ADV,నిన్నటి దినము,어제
623,einst::ADV,పూర్వమొకప్పుడు,옛날에
624,damals::ADV,అప్పుడు,그때에
625,danach::ADV,అప్పుడు,그 뒤에
626,vorher::ADV,ఎదుట,미리
627,zuerst::ADV,మొదటిలో,최초로
628,einmal::ADV,ఒకసారి,한번
629,manchmal::ADV,అప్పటప్పటికి,땓대로
630,oft::ADV,తఱచుగా,땓대로
631,immer::ADV,ఎల్లప్పుడు,늘
632,niemals::ADV,ఎప్పుడునులేదు,결코...(하지)않다
633,hier::ADV,ఇక్కడ,여기
634,hierhin::ADV,ఇక్కడకు,여기로
635,von hier::ADV,ఇక్కడనుండి,
636,dort::ADV,అక్కడ,거기
637,dorthin::ADV,అక్కడికి,저기예
638,geradeaus::ADV,సూటిగా,곧장
639,vorwärts::ADV,ముందుకు,앞으로
640,rückwärts::ADV,వెనుకకు,뒤로
641,zurück::ADV,వెనుకభాగము,제자리로
642,unten::ADV,క్రింద,아래에
643,hinab::ADV,కిందికి,아래쪽으로
644,oben::ADV,మీద,위에
645,hinauf::ADV,పైకి,위쪽으로
646,überall::ADV,అంతటా,도처에
647,nicht::ADV,కాదు,안
648,ein wenig::ADV,కొంచెము,적음
649,kaum::ADV,చాలిచాలక,가의
650,sehr::ADV,చాల,자주
651,so::ADV,ఆలాగున,그와같이
652,noch::ADV,ఇప్పటికిని,아직
653,nur::ADV,మాత్రము,다만
654,schon::ADV,ఇదివఱకే,이미
655,wieder::ADV,తిరిగి,다시
656,vergebens::ADV,నిష్ఫలముగా,헛되이
657,vor::PRP,ముందు,앞에
658,hinter::PRP,వెనుక,뒤에
659,unter::PRP,క్రింద,잍에
660,durch::PRP,ద్వారా,통고하여
661,neben::PRP,దగ్గెర,와나란히
662,zwischen::PRP,మధ్య,의사이로
663,wegen::PRP,కారణంగా,때문에
664,dies::PRN,ఇది,이
665,das::PRN,అది,저
666,alles::PRN,సకలము,모든것
667,ich::PRN,నేను,나
668,du::PRN,నీవు,너
669,er::PRN,అతడు,그
670,wir::PRN,మనము,우리
671,ihr::PRN,మీరు,너희들
672,sie::PRN,వారు,그들
673,was::FPRN,ఏమి,뭣
674,wer::FPRN,ఎవడు,누구
675,wo::FADV,ఎక్కడ,어디
676,wohin::FADV,ఎందుకు,어디로
677,wie::FADV,ఎట్టు,어떻게
678,warum::FADV,ఏల,왜
679,wieviel::FNUM,ఎంత,얼마만큰
680,eins::NUM,ఒకటి,하나
681,zwei::NUM,రెండు,둘
