,Concept_ID,lez,tr
1273,reifen::V,чурун,olgunlaşmak
1274,reifen::V,агакьун,olgunlaşmak
1275,zubereiten::V,гьазурун,hazırlamak
1276,kochen::V,ругун,pişirmek
1277,kochen::V,ругун,kaynatmak
1278,backen::V,чурун,pişirmek
1279,backen::V,чурун,fırında pişirmek
1280,braten::V,чурун,kızartmak
1281,umrühren::V,какадарун,karıştırmak
1282,stricken::V,хурун,örmek
1283,nähen::V,цун,dikmek
1284,färben::V,шир ягъун,boyamak
1285,reinigen::V,михьун,temizlemek
1286,waschen::V,чуьхуьн,yıkamak
1287,abwischen::V,гуьцӏун,silmek
1288,spülen::V,экъуьрун,çalkamak
1289,fegen::V,шуткун,süpürmek
1290,kehren::V,кул алтадун,süpürmek
1291,baden::V,эхъуьн,yıkanmak
1292,baden::V,эхъуьн,banyo yapmak
1293,sich waschen::V,жендек чуьхуьн,yıkanmak
1294,ausziehen::V,хутӏунун,çıkarmak
1295,ausziehen::V,галудун,çıkarmak
1296,anziehen::V,алукӏун,giymek
1297,sich anziehen::V,алукӏун,giyinmek
1298,sich anziehen::V,парталар алукӏун,giyinmek
1299,kämmen::V,эвягъун,taramak
1300,schmücken::V,безетмишун,süslemek
1301,schmücken::V,гуьрчегарун,süslemek
1302,sagen::V,лугьун,demek
1303,sagen::V,лугьун,söylemek
1304,sprechen::V,рахун,konuşmak
1305,reden::V,рахун,konuşmak
1306,sich unterhalten::V,ихтилат авун,sohbet etmek
1307,fragen::V,жузун,sormak
1308,bitten::V,тӏалабун,dilemek
1309,bitten::V,тӏалабун,rica etmek
1310,erzählen::V,ахъаюн,bahsetmek
1311,erzählen::V,ахъаюн,hikâye etmek
1312,mitteilen::V,хабар гун,bildirmek
1313,nennen::V,тӏвар гун,adlandırmak
1314,rufen::V,эверун,çağırmak
1315,prahlen::V,яцӏу гафар авун,övünmek
1316,übersetzen::V,таржума авун,çevirmek
1317,übersetzen::V,таржума авун,tercüme etmek
1318,übersetzen::V,гафладун,çevirmek
1319,übersetzen::V,гафладун,tercüme etmek
1320,denken::V,фикир авун,düşünmek
1321,glauben::V,агъун,inanmak
1322,glauben::V,агъун,zannetmek
1323,bemerken::V,фикир гун,farkına varmak
1324,begreifen::V,гъавурда акьун,anlamak
1325,begreifen::V,гъавурда акьун,kavramak
1326,lernen::V,кӏелун,öğrenmek
1327,wissen::V,чир хьун,bilmek
1328,wissen::V,чирхьун,bilmek
1329,sich erinnern an::V,рикӏел хуьн,hatırlamak
1330,vergessen::V,рикӏелай фин,unutmak
1331,vergessen::V,рикӏелай алатун,unutmak
1332,messen::V,алцумун,ölçmek
1333,zählen::V,гьисабун,saymak
1334,rechnen::V,гьисабун,hesap etmek
1335,lesen::V,кӏелун,okumak
1336,malen::V,кхьин,resmini yapmak
1337,malen::V,шикилар чӏугун,resmini yapmak
