,Concept_ID,br,os
456,Kraft::N,nerzh,тых
457,Kraft::N,nerzh,хъомыс
458,Stärke::N,nerzhder,тых
459,Stärke::N,nerzhder,æхсар
460,Gesundheit::N,yec'hed,æнæниздзинад
461,Krankheit::N,klañved,низ
462,Krankheit::N,klañved,рын
463,Schmerz::N,poan,рис
464,Schmerz::N,droug,рис
465,Wunde::N,gloazadenn,цӕф
466,Fieber::N,terzhienn,ризӕг
467,Fieber::N,terzhienn,тӕфсӕг
468,Arznei::N,louzoù,хос
469,Brücke::N,pont,хид
470,Brunnen::N,puñs,цъай
471,Weide::N,prad,хизæн
472,Weide::N,prad,хизæнуат
473,Weide::N,prad,сæрвæт
474,Pfad::N,gwenodenn,къахвæндаг
475,Pfad::N,gwenodenn,къахвæд
476,Weg::N,hent,фӕндаг
477,Straße::N,ru,фӕндаг
478,Straße::N,hent,фӕндаг
479,Dorf::N,kêr,хъӕу
480,Dorf::N,kêriadenn,хъӕу
481,Stadt::N,kêr,сахар
482,Brief::N,lizher,фыстӕг
483,Buch::N,levr,чиныг
484,Buchstabe::N,lizherenn,дамгъӕ
485,Zeitung::N,kazetenn,газет
486,Leben::N,buhez,цард
487,Leben::N,buhez,цӕрӕнбон
488,Tod::N,marv,мæлæт
489,Tod::N,marv,адзал
490,Grab::N,bez,ингӕн
491,Kirche::N,iliz,аргъуан
492,Sünde::N,pec'hed,тæригъæд
493,Gott::N,doue,хуыцау
494,Arbeiter::N,labourer,кусæг
495,Arbeiter::N,micherour,кусæг
496,Chef::N,penn,ӕмцег
497,Meister::N,mestr,мастер
498,Meister::N,mestr,дæсны
499,Arzt::N,mezeg,хосгæнæг
500,Arzt::N,mezeg,дохтыр
501,Arzt::N,medisin,хосгæнæг
502,Arzt::N,medisin,дохтыр
503,Lehrer::N,skolaer,ахуыргæнæг
504,Lehrer::N,kelenner,ахуыргæнæг
505,Geld::N,arc'hant,ӕхца
506,Geschäft::N,stal,бизнес
507,Geschäft::N,stal,хъуыддаг
508,Laden::N,stal,дукани
509,Preis::N,priz,аргъ
510,Ware::N,marc'hadourezh,базайраг
511,Nutzen::N,gounidegezh,пайда
512,Nutzen::N,lañs,пайда
513,Nutzen::N,profit,пайда
514,Nutzen::N,spleit,пайда
515,Reichtum::N,pinvidigezh,хъæздыгдзинад
516,Reichtum::N,pinvidigezh,исбон
517,Reichtum::N,pinvidigezh,мулк
518,Welt::N,douar,дуне
519,Land::N,bro,бӕстӕ
520,Staat::N,stad,паддзахад
521,König::N,roue,къарол
522,Macht::N,galloud,хицаудзинад
523,Grenze::N,harzoù,арӕн
524,Krieg::N,brezel,хӕст
525,Feind::N,eneber,знаг
526,Feind::N,eneber,фыдгул
527,Feind::N,eneber,фыдзæрдæ
528,Feind::N,eneber,сон
529,Gewalt::N,tâerder,тыхми
530,Gewalt::N,tâerder,тыхдзинад
531,Kampf::N,kann,хæст
532,Kampf::N,kann,хъæбысæйхæст
533,Kampf::N,kann,тох
534,Bogen[Waffe]::N,gwareg,ӕрдын
535,Pfeil::N,saezh,фат
536,Gewehr::N,fuzuilh,топп
537,Fehler::N,fazi,рӕдыд
538,Lüge::N,gaou,мӕнг
539,Lüge::N,gaou,гӕдыдзинад
540,Schaden::N,gwall,зиан
541,Unglück::N,gwalleur,бæллæх
542,Schuld::N,kablusted,азым
543,Schuld::N,pec'hedigezh,азым
544,Alter::N,oad,кар
545,Schluss::N,diwezh,кæрон
546,Zeit::N,amzer,рӕстӕг
547,Tag::N,deizh,бон
548,Morgen::N,beure,райсом
549,Morgen::N,mintin,райсом
550,Mittag::N,kreisteiz,æмбисбон
551,Abend::N,abardaez,изӕр
552,Nacht::N,noz,ӕхсӕв
553,Woche::N,sizhun,къуыри
554,Monat::N,miz,мӕй
555,Jahr::N,bloaz,аз
556,Jahr::N,bloaz,афӕдз
557,Frühling::N,nevezamzer,уалдзæг
558,Sommer::N,hañv,сӕрд
559,Herbst::N,diskaramzer,фæззæг
560,Winter::N,goañv,зымӕг
561,Januar::N,Genver,январь
562,Februar::N,C'hwevrer,февраль
563,März::N,Meurzh,мартъи
564,April::N,Ebrel,апрель
565,Mai::N,Mae,май
566,Juni::N,Mezheven,июнь
567,Juli::N,Gouhere,июль
568,August::N,Eost,август
569,September::N,Gwengolo,сентябрь
570,Oktober::N,Here,октябрь
571,November::N,Du,ноябрь
572,Dezember::N,Kerzu,декабрь
573,Montag::N,Lun,къуырисæр
574,Dienstag::N,Meurzh,дыццæг
575,Mittwoch::N,Merc'her,æртыццæг
576,Donnerstag::N,Yaou,цыппæрæм
577,Freitag::N,Gwener,майрæмбон
578,Samstag::N,Sadorn,сабат
579,Sonntag::N,Sul,хуыцаубон
580,groß::A,bras,дынджыр
581,klein::A,bihan,гыццыл
582,lang::A,hir,даргъ
583,kurz::A,berr,цыбыр
584,breit::A,ledan,фӕтӕн
585,schmal::A,strizh,нарӕг
586,schmal::A,strizh,уынгӕг
587,dicht::A,stank,бæзджын
588,dicht::A,stank,тар
589,dick[Gegenstand]::A,tev,сӕвджын
590,dünn::A,moan,тæнæг
591,fein::A,munut,лыстӕг
592,fest::A,start,фидар
593,fest::A,start,хъӕддых
594,flach::A,plaen,тъӕпӕн
595,glatt::A,lintr,лӕгъз
596,glatt::A,levn,лӕгъз
597,hart::A,kalet,хъӕбӕр
598,weich::A,blot,фӕлмӕн
599,rund::A,ront,тымбыл
600,spitz::A,poentet,цыргъбырынкъ
601,spitz::A,poentet,цыргъфындз
602,scharf::A,dremm,цыргъ
603,stumpf::A,talsoc'h,къуымых
604,schwer::A,pounner,уӕззау
605,schön::A,kaer,аив
606,schön::A,kaer,рӕсугъд
607,heiß::A,tomm,тӕвд
608,warm::A,tomm,хъарм
609,kalt::A,yen,уазал
610,kühl::A,yen,сатæг
611,kühl::A,yen,уазалгомау
612,frisch::A,fresk,сатæг
613,feucht::A,gleb,уымӕл
614,nass::A,gleb,хуылыдз
615,trocken::A,sec'h,хус
616,voll::A,leun,дзаг
617,voll::A,leun,йедзаг 
618,leer::A,goullo,афтид
619,offen::A,digor,гом
620,geschlossen::A,serr,æхгæд
621,sauber::A,naet,сыгъдæг
622,schmutzig::A,lous,чъиллон
623,roh::A,kriz,хом
624,reif::A,darev,рӕгъӕд
625,lecker::A,lipous,хӕрзад
626,lecker::A,saourus,хӕрзад
627,süß::A,dous,адджын
628,bitter::A,c'hwerv,судзаг
629,sauer::A,trenk,туаг
630,hell::A,sklaer,рухс
631,dunkel::A,teñval,талынг
632,schwarz::A,du,сау
633,weiß::A,gwenn,урс
634,rot::A,ruz,сырх
635,gelb::A,melen,бур
636,blau::A,glas,цъӕх
637,grün::A,gwer,цъӕх
638,grün::A,gwer,кӕрдӕгхуыз
639,grau::A,louet,цъӕх
640,grau::A,louet,фӕныкхуыз
641,bunt::A,liesliv,хъулон
642,bunt::A,liesliv,гæрæм
643,billig::A,marc'had-mat,аслам
644,teuer::A,ker,зынаргъ
645,wertvoll::A,prizius,зынаргъ
646,blind::A,dall,куырм
647,taub::A,bouzar,къуырма
648,kräftig::A,start,домбай
649,kräftig::A,start,тыхджын
650,stark::A,kreñv,тыхджын
651,schwach::A,gwan,ӕнӕбон
652,fett::A,lard,нард
653,schlank::A,sinkl,гуырвидыц
654,schlank::A,sinkl,хæрзконд
655,schlank::A,sinkl,рæхснæг
656,schlank::A,sinkl,сагамад
657,hübsch::A,koant,аив
658,hübsch::A,koant,рӕсугъд
659,böse::A,gwall,фыдзӕрдӕ
660,dumm::A,glep,ӕдылы
661,faul::A,lezirek,зивӕг
662,faul::A,lezirek,зивӕггӕнаг
663,fleißig::A,studius,æнæзивæг
664,fleißig::A,studius,æнувыд
665,geizig::A,tost,чъынды
666,geizig::A,tost,æлгъин
667,geizig::A,tost,мæрддзæст
668,klug::A,speredek,зондджын
669,geschickt::A,dornet,хӕрзарӕхст
670,lieb::A,koant,уарзон
671,lustig::A,laouen,хъӕлдзӕг
672,sanft::A,flour,мынчын
673,hungrig::A,marnaon,ӕххормаг
674,krank::A,klañv,нӕфӕразгӕ
675,nackt::A,noazh,бӕгънӕг
676,traurig::A,trist,ӕрхӕндӕг
677,lebendig::A,bev,цардӕгас
678,gut::A,mad,хорз
679,schlecht::A,fall,цауд
680,schlecht::A,gwall,цауд
681,richtig::A,reizh,раст
682,schlimm::A,gwall,ӕвзӕр
683,wahr::A,gwir,ӕцӕг
684,alt::A,kozh,зӕронд
685,neu::A,nevez,ног
686,ehemalig::A,kozh,раздӕры
687,alt[Lebewesen]::A,kozh,ацӕргӕ
688,jung::A,yaouank,ӕрыгон
689,arm::A,paour,мӕгуыр
690,reich::A,pinvidik,хъӕздыг
691,bekannt::A,anavezet,зонгӕ
692,berühmt::A,brudet,номдзыд
693,fremd::A,dizanav,æцæгæлон
694,verschieden::A,disheñel,æндæр æмæ æндæр
695,verschieden::A,disheñel,алы
696,verschieden::A,disheñel,алыхуызон
697,nah::A,nes,хӕстӕг
698,fern::A,diabell,дард
699,fern::A,diabell,дӕрддаг
700,linker::A,kleiz,галиу
701,rechter::A,dehoù,рахиз
702,anderer::A,all,иннӕ
703,anderer::A,all,ӕндӕр
704,erster::A,kentañ,фыццаг
705,erster::A,kentañ,фыццӕгӕм
706,zweiter::A,eil,дыккаг
707,zweiter::A,eil,дыккæгæм
708,dritter::A,trede,æртыккаг
709,dritter::A,trede,æртыккæгæм
710,letzter::A,diwezhañ,фӕстаг
711,allein::ADV,e-unan,иунæг
712,auf einmal::ADV,ar un dro,уайтагъд
713,auf einmal::ADV,ar un dro,æвиппайды
714,auf einmal::ADV,ar un dro,æваст
715,zusammen::ADV,asambles,иумӕ
716,lange::ADV,pell,бирæ рæстæг
717,plötzlich::ADV,en un taol,æвиппайды
718,plötzlich::ADV,en un taol,æваст
719,sofort::ADV,diouzhtu,уыцы сахат
720,sofort::ADV,diouzhtu,уайтагъд
721,später::ADV,diwezhatoc'h,фæстæдæр
722,jetzt::ADV,bremañ,ныр
723,heute::ADV,hiziv,абон
724,morgen::ADV,arc'hoazh,райсом
725,bald::ADV,hepdale,тагъд
726,bald::ADV,hepdale,рæхджы
727,dann::ADV,a-c'houde,стæй
728,gestern::ADV,dec'h,знон
729,einst::ADV,gwechall,кӕддӕр
730,damals::ADV,neuze,уæд
731,danach::ADV,goude,стæй
732,danach::ADV,goude,уый фæстæ
733,vorher::ADV,diagent,раздæр
734,zuerst::ADV,da gentañ,фыццаг
735,einmal::ADV,ur wech,иу хатт
736,manchmal::ADV,a-wechoù,хатт
737,oft::ADV,alies,арæх
738,immer::ADV,atav,ӕдзух
739,immer::ADV,bepred,ӕдзух
740,niemals::ADV,gwech ebet,никуы
741,niemals::ADV,gwech ebet,никæд
