,Concept_ID,te,mhr
439,Kraft::N,బలము,вий
440,Kraft::N,బలము,куа́т
441,Stärke::N,శక్తి,куа́т
442,Stärke::N,శక్తి,карма́н
443,Gesundheit::N,ఆరోగ్యము,таза́лык
444,Krankheit::N,రోగము,чер
445,Schmerz::N,నొప్పి,ко́рштыш
446,Wunde::N,గాయము,су́сыр
447,Fieber::N,జ్వరము,йӱштыму́ж
448,Fieber::N,జ్వరము,лихора́дке
449,Arznei::N,మందు,эм
450,Brücke::N,వంతెన,кӱва́р
451,Brunnen::N,బావి,вӱдвыне́м
452,Brunnen::N,కూపము,вӱдвыне́м
453,Brunnen::N,నుయ్యి,вӱдвыне́м
454,Weide::N,పచ్చికబయలు,нурше́р
455,Pfad::N,కాలిత్రోవ,йолго́рно
456,Pfad::N,కాలిత్రోవ,сокма́к
457,Weg::N,మార్గము,ко́рно
458,Straße::N,బాట,ко́рно
459,Dorf::N,గ్రామము,ял
460,Stadt::N,పట్టణము,ола́
461,Brief::N,జాబు,се́рыш
462,Buch::N,పుస్తకము,книга́
463,Buchstabe::N,అక్షరము,буква́
464,Zeitung::N,వార్తాపత్రిక,газе́т
465,Leben::N,ప్రాణము,и́лыш
466,Tod::N,మరణము,колыма́ш
467,Grab::N,సమాధి,шӱга́р
468,Kirche::N,క్రెస్తవులగుడి,че́рке
469,Sünde::N,పాపము,су́лык
470,Gott::N,దేవుడు,ю́мо
471,Arbeiter::N,పనిపాటుచేశేవాడు,паша́зе
472,Chef::N,యజమానుడు,тӧра́
473,Meister::N,కళాకారుడు,маста́р
474,Arzt::N,వైద్యుడు,врач
475,Lehrer::N,ఉపాధ్యాయుడు,ту́ныктышо
476,Geld::N,ద్రవ్యము,окса́
477,Geschäft::N,వ్యాపారము,сатулыма́ш
478,Laden::N,అంగడి,ке́выт
479,Preis::N,వెల,ак
480,Ware::N,సరకులు,сату́
481,Nutzen::N,ప్రయోజనము,пайда́
482,Reichtum::N,ధనము,поя́нлык
483,Welt::N,ప్రపంచము,тӱня́
484,Land::N,దేశము,эл
485,Staat::N,రాజ్యము,кугыжа́ныш
486,König::N,రాజు,кугыжа́
487,Macht::N,అధికారము,власть
488,Grenze::N,సరిహద్దు,грани́ца
489,Krieg::N,యుద్ధము,сар
490,Feind::N,శత్రువు,тушма́н
491,Gewalt::N,దౌర్జన్యము,виешлыма́ш
492,Kampf::N,పోట్లాట,кредалма́ш
493,Bogen[Waffe]::N,విల్లు,юҥе́ж
494,Pfeil::N,బాణము,пикш
495,Gewehr::N,తుపాకి,пыча́л
496,Fehler::N,తప్ప,йо́ҥылыш
497,Lüge::N,అసత్యము,шоя́к
498,Schaden::N,నష్టము,зия́н
499,Unglück::N,దురదృష్టము,эҥге́к
500,Schuld::N,తప్పు,тита́к
501,Schuld::N,తప్పు,йола́
502,Alter::N,వయస్సు,ийго́т
503,Schluss::N,ముగింపు,муча́ш
504,Zeit::N,కాలము,жап
505,Zeit::N,కాలము,па́гыт
506,Tag::N,దినము,ке́че
507,Morgen::N,ఉదయము,эр
508,Mittag::N,మధ్యాహ్నము,кечыва́л
509,Abend::N,సాయంకాలము,кас
510,Nacht::N,రత్రి,йӱд
511,Woche::N,వారము,арня́
512,Monat::N,నెల,ты́лзе
513,Jahr::N,సంవత్సరము,ий
514,Frühling::N,వసంతకాలము,шо́шо
515,Sommer::N,వేసవికాము,кеҥе́ж
516,Herbst::N,ఆకురాలుకాలము,шы́же
517,Winter::N,శీతకాలము,те́ле
518,Januar::N,జనవరి,шоркыйол
519,Januar::N,జనవరి,идалыкву́й
520,Januar::N,జనవరి,янва́рь
521,Februar::N,ఫిబ్రవరి,пургыж
522,Februar::N,ఫిబ్రవరి,февра́ль
523,März::N,మార్చి,ӱярня
524,März::N,మార్చి,март
525,April::N,ఏప్రిలు,апре́ль
526,Mai::N,మే,ага
527,Mai::N,మే,май
528,Juni::N,జూన్,пеледыш
529,Juni::N,జూన్,ию́нь
530,Juli::N,జూలై,сӱрем
531,Juli::N,జూలై,ию́ль
532,August::N,ఆగస్టు,сорла
533,August::N,ఆగస్టు,агарма́н
534,August::N,ఆగస్టు,а́вгуст
535,September::N,సెప్ఠెంబరు,идым
536,September::N,సెప్ఠెంబరు,сентя́брь
537,Oktober::N,అక్టోబరు,шыжа
538,Oktober::N,అక్టోబరు,октя́брь
539,November::N,నవంబరు,кылме тылзе
540,November::N,నవంబరు,ноя́брь
541,Dezember::N,డిసెంబర్,дека́брь
542,Montag::N,సోమవారము,шо́чмо
543,Dienstag::N,మంగళవారము,ку́шкыжмо
544,Mittwoch::N,బుధవారము,вӱрге́че
545,Donnerstag::N,గురువారము,изарня́
546,Freitag::N,శుక్రవారము,кугарня́
547,Samstag::N,శనివారము,шуматке́че
548,Sonntag::N,ఆదివారము,рушарня́
549,groß::A,గొప్పైన,кугу́
550,klein::A,చిన్న,изи́
551,lang::A,పొడుగాటి,кужу́
552,kurz::A,పొట్టి,кӱ́чык
553,breit::A,వెడల్పైన,кумда́
554,schmal::A,ఇఱుకైన,а́ҥысыр
555,dicht::A,దట్టమైన,ну́гыдо
556,dick[Gegenstand]::A,దట్టమైన,кӱ́жгӧ
557,dünn::A,పలుచని,ви́чкыж
558,fein::A,నాజాకైన,ты́гыде
559,fest::A,దృడమైవ,чо́ткыдо
560,flach::A,చదువైన,лапка́
561,glatt::A,నున్నని,яклака́
562,hart::A,కఠినమైన,пе́ҥгыде
563,weich::A,మృదువైన,пу́шкыдо
564,rund::A,గుండ్రని,йырге́шке
565,spitz::A,మొనగల,коша́р
566,scharf::A,పదనైన,пӱ́сӧ
567,stumpf::A,వాడిలేని,токма́к
568,schwer::A,బరువ్తెన,не́ле
569,schön::A,సుందరమైన,сы́лне
570,heiß::A,వేడియైన,шо́кшо
571,warm::A,వెచ్చని,ле́ве
572,kalt::A,చల్లని,йӱ́штӧ
573,kühl::A,చల్లని,юа́лге
574,kühl::A,చల్లని,южгата́
575,frisch::A,తాజాయైన,свежа́
576,feucht::A,చెమ్మగానున్న,вӱ́дыжгӧ
577,nass::A,తడిగామన్న,нӧ́рӧ
578,trocken::A,ఎండిన,ку́кшо
579,voll::A,నిండు,тич
580,leer::A,శూన్యమైన,яра́
581,offen::A,తెఱచియున్న,виш
582,geschlossen::A,మూసిన,пе́тырыме
583,geschlossen::A,మూసిన,тӱ́чмӧ
584,sauber::A,పరిశుద్ధమైన,ару́
585,sauber::A,పరిశుద్ధమైన,янда́р
586,schmutzig::A,ముఱికియైన,лавыра́н
587,schmutzig::A,ముఱికియైన,ла́выргыше
588,roh::A,పచ్చి,кӱ́чымӧ
589,reif::A,పండివ,лӧза́
590,lecker::A,రుచి గల,ту́тло
591,süß::A,తియ్యని,ше́ре
592,bitter::A,చేదైన,ко́чо
593,sauer::A,పుల్లని,шо́по
594,hell::A,కాంతిగల,во́лгыдо
595,dunkel::A,చీకటియైన,пычке́мыш
596,schwarz::A,నల్లని,шола́
597,weiß::A,తెలుపు,ош
598,rot::A,ఎఱ్ఱని,йошка́р
599,gelb::A,పసుపు పచ్చ,сар
600,blau::A,నీలవర్ణము,ка́нде
601,grün::A,ఆకుపచ్చని,ужа́р
602,grau::A,నెరిసిన,сур
603,bunt::A,రంగేలీ,олача́
604,billig::A,చౌకయైన,шу́лдо
605,teuer::A,వెలపొడుగైన,ше́рге
606,wertvoll::A,విలుప్తెన,шергака́н
607,blind::A,గ్రుడ్డి,со́кыр
608,taub::A,చెవిటి,соҥгыра́
609,kräftig::A,శక్తి గల,куа́тле
610,stark::A,బలమైన,вия́н
611,schwach::A,బలహీనమైన,а́лдыме
612,fett::A,క్రొవ్విన,коя́
613,schlank::A,సన్నని,йоштката́
614,schlank::A,సన్నని,яжу́
615,hübsch::A,సాగప్తెన,чеве́р
616,böse::A,చెడ్డ,шы́де
617,dumm::A,తెలివిలేని,аҥыра́
618,faul::A,సోమరియైన,його
619,fleißig::A,శ్రద్దగల,ты́ршыше
620,geizig::A,పిసినారియైన,чаҥга́
621,klug::A,తెలివిగల,уша́н
622,geschickt::A,నిపుణతగల,уста́
623,lieb::A,ప్రియమైన,ала́л
624,lustig::A,ఉల్లాసము గల,весела́
625,sanft::A,సాధువైన,ны́жылге
626,hungrig::A,ఆకలిగొనిన,шу́жышо
627,krank::A,వ్యాధిగల,че́рле
628,nackt::A,దిగంబరమైన,чарама́т
629,traurig::A,విచారముగల,ойга́н
630,lebendig::A,ప్రాణముతో నున్న,и́лыше
631,gut::A,మంచి,сай
632,schlecht::A,చెడ్డ,уда́
633,schlecht::A,చెడ్డ,шӱ́кшӧ
634,richtig::A,సరియైన,чы́нле
635,schlimm::A,అసహ్యమైన,аля́к
636,schlimm::A,అసహ్యమైన,тыра́н
637,wahr::A,నిజమైన,чы́нле
