,Concept_ID,sk,ca
599,Gewehr::N,puška,escopeta
600,Fehler::N,omyl,falta
601,Fehler::N,chyba,falta
602,Lüge::N,lož,mentida
603,Schaden::N,ujma,dany
604,Schaden::N,škoda,dany
605,Unglück::N,nešťastie,desgràcia
606,Schuld::N,vina,culpa
607,Schuld::N,previnenie,culpa
608,Alter::N,vek,edat
609,Schluss::N,záver,fi
610,Schluss::N,záver,final
611,Schluss::N,koniec,fi
612,Schluss::N,koniec,final
613,Zeit::N,čas,temps
614,Tag::N,deň,dia
615,Morgen::N,ráno,matí
616,Mittag::N,poludnie,migdia
617,Abend::N,večer,vespre
618,Nacht::N,noc,nit
619,Woche::N,týždeň,setmana
620,Monat::N,mesiac,mes
621,Jahr::N,rok,any
622,Frühling::N,jar,primavera
623,Sommer::N,leto,estīu
624,Herbst::N,jeseň,tardor
625,Winter::N,zima,hivērn
626,Januar::N,január,gener
627,Februar::N,február,febrer
628,März::N,marec,març
629,April::N,apríl,abril
630,Mai::N,máj,maig
631,Juni::N,jún,juny
632,Juli::N,júl,juliol
633,August::N,august,agost
634,September::N,september,setembre
635,Oktober::N,október,octubre
636,November::N,november,novembre
637,Dezember::N,december,desembre
638,Montag::N,pondelok,dilluns
639,Dienstag::N,utorok,dimarts
640,Mittwoch::N,streda,dimecres
641,Donnerstag::N,štvrtok,dijous
642,Freitag::N,piatok,divendres
643,Samstag::N,sobota,dissabte
644,Sonntag::N,nedeľa,diumenge
645,groß::A,veľký,gros
646,klein::A,malý,petīt
647,lang::A,dlhý,llarg
648,kurz::A,krátky,curt
649,breit::A,široký,ample
650,schmal::A,úzky,estret
651,dicht::A,hustý,dens
652,dick[Gegenstand]::A,tlstý,gruixūt
653,dünn::A,tenký,prim
654,fein::A,jemný,fi
655,fest::A,pevný,ferm
656,fest::A,pevný,sòlid
657,flach::A,rovný,pla
658,flach::A,plochý,pla
659,glatt::A,hladký,llis
660,hart::A,tvrdý,dur
661,weich::A,mäkký,tou
662,rund::A,guľatý,rodó
663,rund::A,okrúhly,rodó
664,spitz::A,končitý,punxegut
665,scharf::A,ostrý,agut
666,stumpf::A,tupý,rom
667,stumpf::A,tupý,esmussat
668,schwer::A,ťažký,pesāt
669,schön::A,pekný,bonīc
670,schön::A,krásny,bonīc
671,heiß::A,horúci,calēnt
672,warm::A,teplý,càlid
673,kalt::A,studený,fred
674,kühl::A,chladný,fresc
675,frisch::A,svieži,fresc
676,feucht::A,vlhký,humit
677,feucht::A,zvlhnutý,humit
678,nass::A,mokrý,mullat
679,trocken::A,suchý,sec
680,voll::A,plný,ple
