,Concept_ID,ce,fi
740,ein wenig::ADV,кӏеззиг,vähän
741,kaum::ADV,халла,tuskin
742,sehr::ADV,вуно,kovin
743,sehr::ADV,вуно,oikein
744,noch::ADV,кхин,vielä
745,nur::ADV,бен ...ца,vain
746,nur::ADV,бен ...ца,ainoastaan
747,schon::ADV,хӏинцале,jo
748,wieder::ADV,юха а,taas
749,wieder::ADV,юха а,jälleen
750,vergebens::ADV,эрна,turhaan
751,vor::PRP,хьалха,edessä
752,hinter::PRP,тӏехьа,takana
753,unter::PRP,кIелахь,alla
754,durch::PRP,чекх,läpi
755,durch::PRP,чекх,kautta
756,neben::PRP,юххе,vieressä
757,zwischen::PRP,юккъехь,välillä
758,wegen::PRP,дуьхьа,takia
759,wegen::PRP,дуьхьа,vuoksi
760,dies::PRN,и,tämä
761,dies::PRN,иза,tämä
762,das::PRN,и,se
763,das::PRN,иза,se
764,alles::PRN,дерриг,kaikki
765,ich::PRN,cо,minä
766,du::PRN,хьо,sinä
767,er::PRN,и,hän
768,er::PRN,иза,hän
769,wir::PRN,тхо,me
770,wir::PRN,вай,me
771,ihr::PRN,шу,te
772,sie::PRN,уьш,he
773,was::FPRN,хӏун,mikä
774,wer::FPRN,мила,ken
775,wer::FPRN,мила,kuka
776,wo::FADV,мичaхь,missä
777,wohin::FADV,мича,mihin
778,wie::FADV,муха,miten
779,wie::FADV,муха,kuinka
780,warum::FADV,хӏунда,miksi
781,wieviel::FNUM,мел,paljonko
782,wieviel::FNUM,мел,kuinka paljon
783,wieviel::FNUM,маса,paljonko
784,wieviel::FNUM,маса,kuinka paljon
785,eins::NUM,цхьаъ,yksi
