,Concept_ID,az,lt
683,geschlossen::A,qapalı,uždaras
684,geschlossen::A,qapalı,uždarytas
685,sauber::A,təmiz,švarus
686,schmutzig::A,kirli,nešvarus
687,schmutzig::A,kirli,purvinas
688,roh::A,çiy,žalias
689,reif::A,yetişmiş,prinokęs
690,reif::A,yetişmiş,pribrendęs
691,lecker::A,dadlı,gardus
692,lecker::A,ləzzətli,gardus
693,süß::A,şirin,saldus
694,bitter::A,acı,kartus
695,sauer::A,turş,gižus
696,sauer::A,turş,rūgštus
697,hell::A,aydın,šviesus
698,hell::A,aydın,skaistus
699,dunkel::A,qaranlıq,tamsus
700,schwarz::A,qara,juodas
701,weiß::A,ağ,baltas
702,rot::A,qırmızı,raudonas
703,gelb::A,sarı,geltonas
704,blau::A,göy,mėlynas
705,blau::A,mavi,mėlynas
706,grün::A,yaşıl,žalias
707,grau::A,boz,pilkas
708,bunt::A,əlvan,margas
709,bunt::A,əlvan,spalvotas
710,bunt::A,rəngli,margas
711,bunt::A,rəngli,spalvotas
712,billig::A,ucuz,pigus
713,teuer::A,bahalı,brangus
714,wertvoll::A,qiymətli,vertingas
715,blind::A,kor,aklas
716,taub::A,kar,kurčias
717,kräftig::A,güclü,stiprus
718,stark::A,qüvvətli,stiprus
719,schwach::A,zəif,silpnas
720,schwach::A,gücsüz,silpnas
721,fett::A,şişman,riebus
722,schlank::A,zərif,laibas
723,schlank::A,zərif,lieknas
724,hübsch::A,göyçək,gražus
725,böse::A,fəna,blogas
726,dumm::A,axmaq,paikas
727,dumm::A,axmaq,kvailas
728,faul::A,tənbəl,tingus
729,fleißig::A,çalışqan,stropus
730,fleißig::A,çalışqan,kruopštus
731,geizig::A,xəsis,šykštus
732,klug::A,ağıllı,sumanus
733,klug::A,ağıllı,protingas
734,geschickt::A,bacarıqlı,apsukrus
735,lieb::A,əziz,mielas
736,lieb::A,sevimli,mielas
737,lustig::A,məzəli,smagus
738,lustig::A,məzəli,linksmas
