,Concept_ID,eu,cs
461,Griff::N,eskutoki,držadlo
462,Schloss::N,sarraila,zámek
463,Bild::N,irudi,obraz
464,Figur::N,figura,figura
465,Puppe::N,panpina,panenka
466,Puppe::N,andrakila,panenka
467,Beutel::N,zorro,pytlík
468,Bündel::N,azao,svazek
469,Bündel::N,espal,svazek
470,Tasche::N,poltsa,taška
471,Tasche::N,poltsa,brašna
472,Eimer::N,treska,kýbl
473,Eimer::N,treska,vědro
474,Deckel::N,tapa,víko
475,Deckel::N,tapa,příklop
476,Deckel::N,estalki,víko
477,Deckel::N,estalki,příklop
478,Geschirr::N,baxera,nádobí
479,Geschirr::N,ontziteria,nádobí
480,Sack::N,zaku,pytel
481,Tasse::N,kikara,šálek
482,Topf::N,ontzi,hrnec
483,Topf::N,lapiko,hrnec
484,Kessel::N,pazia,kotel
485,Essen::N,janaldi,jídlo
486,Nahrung::N,jan,strava
487,Nahrung::N,jan,potrava
488,Speise::N,jaki,jídlo
489,Fleisch::N,okela,maso
490,Fleisch::N,haragi,maso
491,Getreide::N,labore,obilí
492,Brei::N,ahi,kaše
493,Brei::N,pure,kaše
494,Brot::N,ogi,chléb
495,Scheibe::N,xerra,krajíc
496,Scheibe::N,pirripita,krajíc
497,Fett::N,urin,tuk
498,Fett::N,urin,omastek
499,Fett::N,koipe,tuk
500,Fett::N,koipe,omastek
501,Butter::N,gurin,máslo
502,Öl::N,olio,olej
503,Salz::N,gatz,sůl
504,Suppe::N,zopa,polévka
505,Suppe::N,salda,polévka
506,Honig::N,ezti,med
507,Milch::N,esne,mléko
508,Tee::N,te,čaj
509,Leder::N,larru,kůže
510,Wolle::N,artile,vlna
511,Stoff::N,ehun,látka
512,Nadel::N,orratz,jehla
513,Nadel::N,jostorratz,jehla
514,Faden::N,hari,nit
515,Knopf::N,botoi,knoflík
516,Knoten::N,korapilo,uzel
517,Farbe::N,pintura,barva
518,Kleidung::N,arropa,šaty
519,Kleidung::N,arropa,šatstvo
520,Kleidung::N,jantziak,šaty
521,Kleidung::N,jantziak,šatstvo
522,Hemd::N,atorra,košile
523,Hemd::N,alkandora,košile
524,Kragen::N,idun,límec
525,Ärmel::N,mahuka,rukáv
526,Hose::N,prakak,kalhoty
