,Concept_ID,uk,vep
632,kräftig::A,могутній,vägev
633,stark::A,сильний,vahv
634,stark::A,сильний,vägekaz
635,schwach::A,слабкий,väll'
636,fett::A,жирний,razvakaz
637,fett::A,товстий,razvakaz
638,schlank::A,тонкий,kapos
639,schlank::A,стрункий,kapos
640,hübsch::A,чарівний,čoma
641,böse::A,злий,äred
642,böse::A,злий,käred
643,böse::A,лихий,äred
644,böse::A,лихий,käred
645,dumm::A,дурний,el'getoi
646,faul::A,ледачий,lašk
647,fleißig::A,старанний,radonnavedii
648,geizig::A,скупий,ažlak
649,klug::A,мудрий,melev
650,klug::A,мудрий,melekaz
651,klug::A,розумний,melev
652,klug::A,розумний,melekaz
653,geschickt::A,умілий,mahtokaz
654,lieb::A,милий,izo
655,lieb::A,милий,sula
656,lustig::A,веселий,ilokaz
657,sanft::A,лагідний,laskav
658,hungrig::A,голодний,näl'ghine
659,krank::A,слабий,läžui
660,nackt::A,голий,alastoi
661,traurig::A,сумний,opalahine
662,lebendig::A,живий,eläb
663,gut::A,добрий,hüvä
664,schlecht::A,поганий,huba
665,schlecht::A,кепський,huba
666,richtig::A,правильний,oiged
667,schlimm::A,бридкий,paha
668,wahr::A,справжній,todesine
669,alt::A,старий,vanh
670,neu::A,новий,uz'
671,ehemalig::A,колишній,edeline
672,alt[Lebewesen]::A,старий,ravaz
673,jung::A,молодий,nor'
674,arm::A,бідний,gol'l'
675,reich::A,багатий,elokaz
676,bekannt::A,знайомий,tutab
677,berühmt::A,славетний,tetab
678,fremd::A,чужий,veraz
679,verschieden::A,різний,erazvuitte
680,nah::A,близький,läheline
681,fern::A,далекий,edahaine
682,linker::A,лівий,hura
683,rechter::A,правий,oiged
684,anderer::A,інакший,toine
685,erster::A,перший,ezmäine
686,zweiter::A,другий,toine
687,dritter::A,третій,koumanz'
688,letzter::A,останній,jäl'gmäine
689,allein::ADV,сам,üksnäze
690,allein::ADV,один,üksnäze
691,auf einmal::ADV,відразу,ühten aigan
692,zusammen::ADV,разом,ühtes
693,zusammen::ADV,спільно,ühtes
694,lange::ADV,довго,hätken
695,plötzlich::ADV,раптом,äkkid
696,sofort::ADV,зараз,kerdalaz
697,später::ADV,пізніше,möhemba
698,jetzt::ADV,тепер,nügüd'
699,heute::ADV,сьогодні,tämbei
700,morgen::ADV,завтра,homen
701,bald::ADV,незабаром,pigai
702,dann::ADV,потім,sid'
703,gestern::ADV,вчора,eglai
704,einst::ADV,колись,ende
705,einst::ADV,колись,kerdan
706,damals::ADV,тоді,siloi
707,danach::ADV,згодом,sid'
708,vorher::ADV,раніше,ende
709,zuerst::ADV,спершу,ezmäi
710,zuerst::ADV,спочатку,ezmäi
711,einmal::ADV,один раз,kerdan
712,manchmal::ADV,іноді,erašti
713,manchmal::ADV,інколи,erašti
714,oft::ADV,часто,paksus
715,immer::ADV,завжди,kaiken
716,niemals::ADV,ніколи,ei nikonz
717,hier::ADV,тут,täs
718,hier::ADV,тут,tägä
719,hierhin::ADV,сюди,tänna
720,von hier::ADV,звідси,täspäi
721,von hier::ADV,звідси,sid'päi
722,dort::ADV,там,sigä
723,dorthin::ADV,туди,sinna
724,dorthin::ADV,туди,nakkale
725,geradeaus::ADV,прямо,kohtha
726,vorwärts::ADV,вперед,edehe
727,rückwärts::ADV,назад,sel'gin
728,zurück::ADV,назад,tagaze
729,unten::ADV,внизу,alahan
730,hinab::ADV,вниз,alaz
731,hinab::ADV,вниз,alahaks
732,oben::ADV,вгорі,ülähän
733,hinauf::ADV,вгору,ülez
734,hinauf::ADV,вгору,ülähäks
735,überall::ADV,скрізь,kaikjal
736,nicht::ADV,не,ei
737,ein wenig::ADV,трохи,vähän
738,ein wenig::ADV,небагато,vähän
739,kaum::ADV,ледве,habi
740,sehr::ADV,дуже,lujas
741,so::ADV,так,muga
742,so::ADV,так,ninga
743,noch::ADV,ще,völ
744,nur::ADV,лише,järg
745,nur::ADV,лише,vaiše
746,nur::ADV,тільки,järg
747,nur::ADV,тільки,vaiše
748,schon::ADV,вже,jo
749,wieder::ADV,знову,möst
