,Concept_ID,hi,mdf
1143,so::ADV,ऐसा,ста́не
1144,noch::ADV,अभी तक,нинге
1145,nur::ADV,केवल,аньцек
1146,nur::ADV,सिर्फ़,аньцек
1147,schon::ADV,चुकना,ни
1148,wieder::ADV,फिर,та́га
1149,wieder::ADV,दुबारा,та́га
1150,vergebens::ADV,व्यर्थ,стак
1151,vor::PRP,के आगे,инголе
1152,vor::PRP,के सामने,инголе
1153,hinter::PRP,के पीछे,фтала
1154,hinter::PRP,के पीछे,мельге
1155,unter::PRP,के तले,ала
1156,unter::PRP,के नीचे,ала
1157,durch::PRP,के पार,пачк
1158,neben::PRP,के पास,ваксса
1159,neben::PRP,की बग़ल में,ваксса
1160,zwischen::PRP,के बीच,ёткса
1161,wegen::PRP,के कारण,сюнеда
1162,wegen::PRP,की वजह से,сюнеда
1163,dies::PRN,यह,тя
1164,das::PRN,वह,ся
1165,das::PRN,वह,тона
1166,alles::PRN,सब,сембе
1167,alles::PRN,सब कुछ,сембе
1168,ich::PRN,मैं,мон
1169,du::PRN,तू,тон
1170,er::PRN,यह,сон
1171,wir::PRN,हम,минь
1172,ihr::PRN,तुम,тинь
1173,sie::PRN,ये,синь
1174,was::FPRN,क्या,мезе
