,Concept_ID,lv,zh
614,Platz::N,ылдӧс,场所
615,Platz::N,йир,场所
616,Platz::N,гӧгӧртас,场所
617,Platz::N,vieta,场所
618,Ort::N,ин,地点
619,Ort::N,места,地点
620,Ort::N,vieta,地点
621,Seite::N,бок,面
622,Seite::N,ӧтарладор,面
623,Seite::N,sāns,面
624,Mitte::N,шӧр,中间
625,Mitte::N,vidus,中间
626,Gegenstand::N,кӧлуй,物品
627,Gegenstand::N,priekšmets,物品
628,Sache::N,добра,物
629,Sache::N,lieta,物
630,Rand::N,дор,边
631,Rand::N,mala,边
632,Rand::N,apmale,边
633,Kante::N,дор,棱
634,Kante::N,šķautne,棱
635,Ecke::N,пельӧс,角
636,Ecke::N,kakts,角
637,Ecke::N,stūris,角
638,Spitze::N,йыв,尖
639,Spitze::N,smaile,尖
640,Spitze::N,galotne,尖
641,Ende::N,пом,结尾
642,Ende::N,gals,结尾
643,Ende::N,uzgalis,结尾
644,Loch::N,розь,洞
645,Loch::N,caurums,洞
646,Winkel::N,пельӧс,角度
647,Winkel::N,leņķis,角度
648,Muster::N,сер,模型
649,Muster::N,piemērs,模型
650,Größe::N,ыджда,大小
651,Größe::N,lielums,大小
652,Länge::N,кузьта,长度
653,Länge::N,garums,长度
654,Höhe::N,джуджда,高度
655,Höhe::N,augstums,高度
656,Gewicht::N,сьӧкта,重量
657,Gewicht::N,сьӧкталун,重量
658,Gewicht::N,svars,重量
659,Gewicht::N,smagums,重量
660,Menge::N,лун,数量
661,Menge::N,числӧ,数量
662,Menge::N,masa,数量
663,Menge::N,daudzums,数量
664,Haufen::N,чукӧр,堆
665,Haufen::N,čupa,堆
666,Haufen::N,grēda,堆
667,Haufen::N,kaudze,堆
668,Reihe::N,рад,行
669,Reihe::N,rinda,行
670,Reihe::N,virkne,行
671,Boot::N,пыж,小船
672,Boot::N,laiva,小船
673,Ruder::N,пелыс,奖
674,Ruder::N,ӧпаснӧй,奖
675,Ruder::N,airis,奖
676,Ruder::N,irklis,奖
677,Schlitten::N,дадь,雪橇
678,Schlitten::N,ragavas,雪橇
679,Ski::N,лызь,雪板
680,Ski::N,slēpe,雪板
681,Lagerfeuer::N,бипур,营火
682,Lagerfeuer::N,ugunskurs,营火
683,Last::N,сьӧкыдтор,负担
684,Last::N,krava,负担
685,Gang::N,мунӧм,行走
686,Gang::N,ветлӧм,行走
687,Gang::N,eja,行走
688,Gang::N,gājums,行走
689,Schritt::N,воськов,步伐
690,Schritt::N,воськовтӧм,步伐
691,Schritt::N,solis,步伐
692,Norden::N,войвыв,北
693,Norden::N,ziemeļi,北
694,Süden::N,лунвыв,南
695,Süden::N,dienvidi,南
696,Westen::N,рытыв,西
697,Westen::N,rietumi,西
698,Osten::N,асыв,东
699,Osten::N,austrumi,东
700,Holz::N,пу,木材
701,Holz::N,koks,木材
702,Holz::N,koksne,木材
703,Brett::N,пӧв,木板
704,Brett::N,dēlis,木板
705,Platte::N,плита,平板
706,Platte::N,plate,平板
707,Platte::N,plāksne,平板
708,Stütze::N,пыкӧд,支架
709,Stütze::N,мыджӧд,支架
710,Stütze::N,balsts,支架
711,Stütze::N,atspaids,支架
712,Stange::N,потш,杆
713,Stange::N,maikste,杆
714,Stock::N,бедь,棒
715,Stock::N,boze,棒
716,Stock::N,spieķis,棒
717,Stab::N,зир,棍
718,Stab::N,zizlis,棍
719,Rohr::N,труба,管子
720,Rohr::N,caurule,管子
721,Haus::N,керка,房屋
722,Haus::N,māja,房屋
723,Heim::N,горт,家
724,Heim::N,mājas,家
725,Ofen::N,пач,炉子
726,Ofen::N,krāsns,炉子
727,Fußboden::N,джодж,地板
728,Fußboden::N,grīda,地板
729,Tisch::N,пызан,桌子
730,Tisch::N,galds,桌子
