,Concept_ID,mn,hr
576,Farbe::N,будаг,farba
577,Kleidung::N,хувцас,odjeća
578,Hemd::N,цамц,košulja
579,Kragen::N,зах заам,ovratnik
580,Ärmel::N,ханцуй,rukav
581,Hose::N,өмд,hlače
582,Gürtel::N,бүс,pas
583,Gürtel::N,бүс,pojas
584,Mütze::N,малгай,kapa
585,Mütze::N,бүрх,kapa
586,Schuh::N,туфли,cipela
587,Stiefel::N,гутал,čizma
588,Ring::N,бөгж,prsten
589,Band::N,тууз,vrpca
590,Kamm::N,сам,češalj
591,Spiegel::N,толь,zrcalo
592,Spiegel::N,толь,ogledalo
593,Riemen::N,тасам,kaiš
594,Riemen::N,тасам,remen
595,Riemen::N,сур,kaiš
596,Riemen::N,сур,remen
597,Schnur::N,татлага,vrpca
598,Leine::N,оосор,uzica
599,Decke::N,хөнжил,ćebe
600,Decke::N,хөнжил,pokrivač
601,Decke::N,хучлага,ćebe
602,Decke::N,хучлага,pokrivač
603,Kissen::N,дэр,jastuk
604,Tuch::N,алчуур,rubac
605,Tuch::N,алчуур,marama
606,Tuch::N,даавуу,rubac
607,Tuch::N,даавуу,marama
608,Handtuch::N,алчуур,ručnik
609,Kraft::N,чадал,snaga
610,Kraft::N,хүч,snaga
611,Stärke::N,эрч,jakost
612,Stärke::N,тэнхээ,jakost
613,Gesundheit::N,бие,zdravlje
614,Gesundheit::N,эрүүл мэнд,zdravlje
615,Krankheit::N,эмгэг,bolest
616,Schmerz::N,өвчин,bol
617,Wunde::N,шарх,rana
618,Fieber::N,халуун,groznica
619,Arznei::N,эм,lijek
620,Brücke::N,гүүр,most
621,Brücke::N,гүүр,ćuprija
622,Brunnen::N,худаг,bunar
623,Brunnen::N,худаг,zdenac
624,Weide::N,бэлчээр,paša
625,Weide::N,бэлчээр,pašnjak
626,Pfad::N,жим,staza
627,Pfad::N,зөрөг,staza
628,Weg::N,зам,put
629,Weg::N,харгуй,put
630,Straße::N,зам,drum
631,Straße::N,зам,cesta
632,Straße::N,харгуй,drum
633,Straße::N,харгуй,cesta
634,Dorf::N,тосгон,selo
635,Dorf::N,гацаа,selo
636,Stadt::N,хот,grad
637,Stadt::N,хот,varoš
638,Brief::N,захидал,list
639,Brief::N,захидал,pismo
640,Brief::N,захиа,list
641,Brief::N,захиа,pismo
642,Buch::N,ном,knjiga
643,Buch::N,бичиг,knjiga
644,Buchstabe::N,үсэг,slovo
645,Zeitung::N,сонин,novine
646,Leben::N,амь,život
647,Leben::N,амьдрал,život
648,Tod::N,үхэл,smrt
649,Grab::N,булш,raka
650,Kirche::N,сүм,crkva
651,Sünde::N,нүгэл,grijeh
652,Sünde::N,хилэнц,grijeh
653,Gott::N,бурхан,bog
654,Arbeiter::N,ажилчин,radnik
655,Arbeiter::N,хөдөлмөрчин,radnik
656,Chef::N,дарга,šef
657,Meister::N,дархан,majstor
658,Arzt::N,эмч,liječnik
659,Lehrer::N,багш,učitelj
660,Geld::N,цаас,novac
661,Geld::N,мөнгө,novac
662,Geschäft::N,наймаа,posao
663,Geschäft::N,наймаа,trgovina
664,Laden::N,дэлгүүр,dućan
665,Preis::N,үнэ,cijena
666,Ware::N,таваар,roba
667,Ware::N,бараа,roba
668,Nutzen::N,ашиг,korist
669,Reichtum::N,баялаг,bogatstvo
670,Welt::N,дэлхий,svijet
671,Welt::N,орчлон,svijet
672,Land::N,улс,zemlja
673,Land::N,орон,zemlja
674,Staat::N,төр,država
675,Staat::N,гүрэн,država
676,König::N,ван,kralj
677,Macht::N,засаг,moć
678,Macht::N,засаг,vlast
679,Grenze::N,хил,granica
680,Krieg::N,дайн,rat
681,Feind::N,дайсан,neprijatelj
682,Gewalt::N,хүчирхэх,sila
683,Gewalt::N,хүчирхэх,nasilje
684,Kampf::N,тэмцэл,boj
685,Kampf::N,тэмцэл,borba
686,Kampf::N,байлдаан,boj
687,Kampf::N,байлдаан,borba
688,Bogen[Waffe]::N,нум,luk
689,Pfeil::N,годил,strijela
690,Pfeil::N,сум,strijela
691,Gewehr::N,буу,puška
692,Fehler::N,эндэл,pogreška
693,Fehler::N,эндэл,griješka
694,Fehler::N,алдаа,pogreška
695,Fehler::N,алдаа,griješka
696,Lüge::N,худал,laž
697,Schaden::N,хор,šteta
698,Schaden::N,хөнөөл,šteta
699,Unglück::N,гай,nesreća
700,Unglück::N,гамшиг,nesreća
701,Schuld::N,гэм,krivnja
702,Schuld::N,буруу,krivnja
703,Alter::N,нас,dob
704,Schluss::N,эцэс,kraj
705,Schluss::N,эцэс,konac
706,Schluss::N,төгсгөл,kraj
707,Schluss::N,төгсгөл,konac
708,Zeit::N,цаг,doba
709,Zeit::N,цаг,vrijeme
710,Tag::N,өдөр,dan
711,Morgen::N,өглөө,jutro
712,Mittag::N,үд,podne
713,Abend::N,үдэш,veče
714,Abend::N,үдэш,večer
715,Nacht::N,шөнө,noć
716,Woche::N,долоо хоног,sedmica
717,Monat::N,сар,mjesec
718,Jahr::N,жил,godina
719,Frühling::N,хавар,proljeće
720,Sommer::N,зун,ljeto
721,Herbst::N,намар,jesen
722,Winter::N,өвөл,zima
723,Januar::N,нэгдүгээр сар,januar
724,Januar::N,нэгдүгээр сар,siječanj
725,Februar::N,хоёрдугаар сар,veljača
726,Februar::N,хоёрдугаар сар,februar
727,März::N,гуравдугаар сар,mart
728,März::N,гуравдугаар сар,ožujak
729,April::N,дөрөвдүгээр сар,april
730,April::N,дөрөвдүгээр сар,travanj
731,Mai::N,тавдугаар сар,maj
732,Mai::N,тавдугаар сар,svibanj
733,Juni::N,зургаадугаар сар,juni
734,Juni::N,зургаадугаар сар,lipanj
735,Juli::N,долдугаар сар,juli
736,Juli::N,долдугаар сар,srpanj
737,August::N,наймдугаар сар,august
738,August::N,наймдугаар сар,kolovoz
739,September::N,есдүгээр сар,rujan
740,September::N,есдүгээр сар,septembar
741,Oktober::N,аравдугаар сар,oktobar
742,Oktober::N,аравдугаар сар,listopad
743,November::N,арван нэгдүгээр сар,studeni
744,November::N,арван нэгдүгээр сар,novembar
745,Dezember::N,арван хоёрдугаар сар,prosinac
746,Montag::N,даваа,ponedjeljak
747,Montag::N,даваа,ponedjeljnik
748,Dienstag::N,мягмар,utorak
749,Dienstag::N,мягмар,utornik
750,Mittwoch::N,лхагва,srijeda
751,Donnerstag::N,пүрэв,četvrtak
752,Freitag::N,баасан,petak
753,Samstag::N,бямба,subota
754,Sonntag::N,ням,nedjelja
755,groß::A,их,velik
756,groß::A,том,velik
757,klein::A,бага,mali
758,klein::A,бага,malen
759,klein::A,жаахан,mali
760,klein::A,жаахан,malen
761,lang::A,урт,dug
762,lang::A,урт,dugačak
763,kurz::A,охор,kratak
764,kurz::A,богино,kratak
765,breit::A,өргөн,širok
766,schmal::A,уйтан,uski
767,schmal::A,уйтан,uzak
768,schmal::A,нарийн,uski
769,schmal::A,нарийн,uzak
770,dicht::A,нягт,gust
771,dicht::A,чигжүү,gust
772,dick[Gegenstand]::A,зузаан,debeo
773,dünn::A,нимгэн,tanak
774,fein::A,нарийн,fin
775,fein::A,нарийн,tanak
776,fest::A,бөх,čvrst
777,fest::A,хатуу,čvrst
778,flach::A,хавтгай,ravan
779,flach::A,хавтгай,plosnat
780,glatt::A,цагаан,gladak
781,hart::A,хатуу,tvrd
