,Concept_ID,uk,lt
174,Ente::N,качка,antis
175,Eule::N,сова,pelėda
176,Kranich::N,журавель,gervė
177,Krähe::N,ворона,varna
178,Kuckuck::N,зозуля,gegužė
179,Schwan::N,лебідь,gulbė
180,Fisch::N,риба,žuvis
181,Barsch::N,окунь,ešerys
182,Hecht::N,щука,lydeka
183,Schlange[Tier]::N,змія,gyvatė
184,Wurm::N,черв’як,kirmėlė
185,Spinne::N,павук,voras
186,Ameise::N,мурашка,skruzdė
187,Laus::N,воша,utėlė
188,Mücke::N,комар,uodas
189,Fliege::N,муха,musė
190,Schmetterling::N,метелик,drugys
191,Schmetterling::N,метелик,peteliškė
192,Beere::N,ягода,uoga
193,Apfel::N,яблуко,obuolys
194,Pilz::N,гриб,grybas
195,Zwiebel::N,цибуля,svogūnas
196,Saat::N,сім’я,sėkla
197,Korn::N,зерно,grūdai
198,Heu::N,сіно,šienas
199,Schale::N,шкірка,žievelė
200,Grube::N,яма,duobė
201,Falle::N,пастка,pinklės
202,Falle::N,пастка,žabangai
203,Schlinge::N,петля,kilpa
204,Spur::N,слід,vėžė
205,Spur::N,слід,pėdos
206,Spur::N,слід,pėdsakas
207,Asche::N,зола,pelenai
208,Asche::N,попіл,pelenai
209,Dreck::N,бруд,purvas
210,Eisen::N,залізо,geležis
211,Gold::N,золото,auksas
212,Silber::N,срібло,sidabras
213,Kohle::N,вугілля,anglis
214,Glas::N,скло,stiklas
215,Lehm::N,глина,molis
216,Sand::N,пісок,smėlis
217,Mensch::N,людина,žmogus
218,Mann::N,чоловік,vyras
219,Mann::N,чоловік,vyriškis
220,Frau::N,жінка,moteris
221,Kind::N,дитина,vaikas
222,Junge::N,хлопець,vaikinas
223,Junge::N,хлопець,berniukas
224,Mädchen::N,дівчина,mergytė
225,Mädchen::N,дівчина,mergaitė
226,Familie::N,сім’я,šeima
227,Familie::N,родина,šeima
228,Großvater::N,дідусь,senelis
229,Großmutter::N,бабуся,senelė
230,Eltern::N,батьки,tėvai
231,Vater::N,батько,tėvas
232,Mutter::N,мати,motina
233,Sohn::N,син,sūnus
234,Tochter::N,дочка,duktė
235,Bruder::N,брат,brolis
236,Schwester::N,сестра,sesuo
237,Onkel::N,дядько,dėdė
238,Tante::N,тітка,teta
239,Ehemann::N,чоловік,vyras
240,Ehefrau::N,жінка,žmona
241,Ehefrau::N,дружина,žmona
242,Freude::N,радощі,džiaugsmas
243,Gelächter::N,сміх,juokas
244,Glück::N,щастя,laimė
245,Kummer::N,горе,vargas
246,Kummer::N,горе,rūpestis
247,Wunsch::N,бажання,troškimas
248,Wunsch::N,бажання,pageidavimas
249,Lust::N,бажання,noras
250,Lust::N,бажання,geidulys
251,Geist::N,дух,dvasia
252,Gedanke::N,думка,mintis
253,Gedächtnis::N,пам’ять,atmintis
254,Verstand::N,розум,protas
255,Sinn::N,зміст,prasmė
256,Sinn::N,значення,prasmė
257,Grund::N,причина,priežastis
258,Wahrheit::N,правда,tiesa
259,Wahrheit::N,правда,teisybė
260,Gespräch::N,розмова,pokalbis
261,Märchen::N,байка,pasaka
262,Erzählung::N,повість,apsakymas
263,Erzählung::N,повість,pasakojimas
264,Erzählung::N,оповідання,apsakymas
265,Erzählung::N,оповідання,pasakojimas
266,Nachricht::N,повідомлення,žinia
267,Neuigkeit::N,новина,naujiena
268,Name::N,ім’я,vardas
269,Rätsel::N,загадка,mįslė
270,Rede::N,промова,kalba
271,Sprache::N,мова,kalba
272,Stimme::N,голос,balsas
273,Wort::N,слово,žodis
274,Zeichen::N,знак,žymė
275,Zeichen::N,знак,ženklas
276,Ruf::N,оклик,šauksmas
277,Lärm::N,шум,triukšmas
278,Laut::N,звук,garsas
279,Ton::N,тон,tonas
280,Ton::N,тон,garsas
281,Lied::N,пісня,daina
282,Lied::N,пісня,giesmė
283,Ruhe::N,спокій,ramybė
284,Ruhe::N,спокій,ramumas
285,Leute::N,люди,žmonės
286,Volk::N,народ,tauta
287,Arbeit::N,робота,darbas
288,Arbeit::N,робота,triūsas
289,Gast::N,гість,svečias
290,Geschenk::N,подарунок,dovana
291,Spiel::N,гра,žaismas
292,Spiel::N,гра,žaidimas
293,Gesellschaft::N,товариство,draugija
294,Gesellschaft::N,товариство,kompanija
295,Hilfe::N,допомога,pagalba
296,Freund::N,друг,draugas
297,Freund::N,друг,bičiulis
298,Freund::N,приятель,draugas
299,Freund::N,приятель,bičiulis
300,Kamerad::N,товариш,draugas
301,Angelegenheit::N,справа,dalykas
302,Angelegenheit::N,справа,reikalas
303,Anzahl::N,число,kiekis
304,Anzahl::N,число,skaičius
305,Art::N,рід,rūšis
306,Stück::N,кусок,gabalas
307,Teil::N,частина,dalis
308,Hälfte::N,половина,pusė
309,Kreis::N,круг,ratas
310,Kreis::N,круг,apskritis
311,Kreis::N,круг,apskritimas
312,Kreis::N,коло,ratas
313,Kreis::N,коло,apskritis
314,Kreis::N,коло,apskritimas
315,Kreuz::N,хрест,kryžius
316,Linie::N,лінія,linija
317,Strich::N,штрих,brėžis
318,Strich::N,штрих,brūkšnys
319,Abstand::N,проміжок,atstumas
320,Entfernung::N,відстань,atstumas
321,Gegend::N,місцевість,vietovė
322,Platz::N,площа,vieta
323,Ort::N,місце,vieta
324,Ort::N,місце,vietovė
325,Seite::N,сторона,pusė
326,Seite::N,сторона,šonas
327,Mitte::N,середина,vidurys
328,Gegenstand::N,предмет,dalykas
329,Sache::N,річ,daiktas
330,Rand::N,край,kraštas
331,Rand::N,край,pakraštys
332,Kante::N,ребро,kraštas
333,Ecke::N,ріг,kertė
334,Ecke::N,ріг,kampas
335,Spitze::N,кінчик,priekis
336,Spitze::N,кінчик,priešakys
337,Ende::N,кінець,galas
338,Loch::N,діра,skylė
339,Winkel::N,куток,kampas
340,Winkel::N,куток,kampelis
341,Muster::N,узор,raštas
342,Größe::N,розмір,dydis
343,Größe::N,розмір,didumas
344,Länge::N,довжина,ilgis
345,Länge::N,довжина,ilgumas
346,Höhe::N,висота,aukštis
347,Höhe::N,висота,aukštuma
348,Gewicht::N,вага,svoris
349,Gewicht::N,вага,svarstis
350,Menge::N,кількість,kiekis
351,Menge::N,кількість,daugybė
352,Haufen::N,купа,krūva
353,Haufen::N,купа,šūsnis
354,Reihe::N,ряд,greta
355,Boot::N,човен,valtis
356,Boot::N,човен,laivelis
357,Ruder::N,весло,irklas
358,Schlitten::N,сани,rogės
359,Schlitten::N,сани,rogutės
360,Ski::N,лижа,slidė
361,Lagerfeuer::N,вогнище,laužas
362,Last::N,тягар,našta
363,Last::N,тягар,nešulys
364,Last::N,вантаж,našta
365,Last::N,вантаж,nešulys
366,Gang::N,хід,eisena
367,Schritt::N,крок,žingsnis
368,Norden::N,північ,šiaurė
369,Norden::N,північ,žiemiai
370,Süden::N,південь,pietūs
371,Westen::N,захід,vakarai
372,Osten::N,схід,rytai
373,Holz::N,дрова,mediena
374,Brett::N,дошка,lenta
375,Platte::N,плита,plokštė
376,Stütze::N,підпірка,atrama
377,Stütze::N,підпірка,atspara
378,Stange::N,жердина,lazda
379,Stange::N,жердина,kartis
380,Stock::N,палиця,lazda
381,Stab::N,палиця,kartis
382,Rohr::N,труба,vamzdis
383,Haus::N,дім,namas
384,Haus::N,хата,namas
385,Heim::N,житло,namai
386,Ofen::N,піч,krosnis
387,Fußboden::N,підлога,grindys
388,Tisch::N,стіл,stalas
389,Stuhl::N,стілець,kėdė
390,Wiege::N,колиска,lopšys
391,Bett::N,ліжко,lova
392,Bett::N,ліжко,patalai
393,Bett::N,постіль,lova
394,Bett::N,постіль,patalai
395,Regal::N,полиця,lentyna
396,Kiste::N,ящик,dėžė
397,Fenster::N,вікно,langas
398,Tür::N,двері,durys
399,Tor::N,ворота,vartai
400,Zaun::N,паркан,tvora
401,Zaun::N,огорожа,tvora
402,Dach::N,дах,stogas
403,Leiter::N,драбина,kopėčios
404,Besen::N,мітла,šluota
405,Spaten::N,заступ,lopeta
406,Spaten::N,заступ,kastuvas
407,Schaufel::N,совок,semtuvas
