,Concept_ID,bn,xal
386,Kessel::N,কেটলি,хәәсн
387,Essen::N,আহার,зоогллһн
388,Nahrung::N,খাদ্য,теҗәл
389,Speise::N,খাদ্য,хот
390,Fleisch::N,মাংস,махн
391,Getreide::N,শস্য,хот болҗ эдлгддг цецгүдтә урһмл
392,Brei::N,মণ্ড,хаш
393,Brot::N,রুটি,өдмг
394,Scheibe::N,ফালি,зүсм
395,Fett::N,মেদ,өөкн
396,Butter::N,মাখন,тосн
397,Öl::N,তৈল,тосн
398,Salz::N,নুন,давсн
399,Suppe::N,শুরুয়া,шөлн
400,Honig::N,মধু,бал
401,Milch::N,দুধ,үсн
402,Tee::N,চা,цә
403,Leder::N,পাকা চামড়া,арсн
404,Wolle::N,পশম,утцн
405,Wolle::N,পশম,эд
406,Stoff::N,বস্ত্র,эд
407,Nadel::N,সুচ,зүн
408,Faden::N,সূত্র,утцн
409,Knopf::N,বোতাম,товч
410,Knoten::N,গিঁট,зәңгдә
411,Farbe::N,রং,будг
412,Kleidung::N,কাপড়,хувцн
413,Kleidung::N,কাপড়,хувц-хунр
414,Hemd::N,শার্ট,киилг
415,Kragen::N,গলবন্ধ,зах
416,Ärmel::N,আস্তিন্,ханцн
417,Hose::N,ট্রাউজার,шалвур
418,Gürtel::N,কটিবন্ধ,бүс
419,Mütze::N,টুপি,махла
420,Schuh::N,জুতো,башмгуд
421,Stiefel::N,বুট,һосн
422,Ring::N,আংটি,билцг
423,Band::N,ফিতা,лент
424,Kamm::N,চিরুনি,сам
425,Spiegel::N,আয়না,толь
426,Riemen::N,চাবুক,бүс
427,Schnur::N,দড়ি,деесн
428,Leine::N,শিকল,бурнтг
429,Leine::N,শিকল,нохан көтлвр
430,Decke::N,কম্বল,көнҗл
431,Kissen::N,উপাধান,дер
432,Tuch::N,বস্ত্র,альчур
433,Handtuch::N,তোয়ালে,полотенц
434,Handtuch::N,তোয়ালে,һар-нүүрин альчур
435,Kraft::N,জোর,күчн
436,Stärke::N,শক্তি,чидл
437,Gesundheit::N,স্বাস্থ্য,эрүл-менд
438,Krankheit::N,অসুখ,өвчн
439,Krankheit::N,ব্যামো,өвчн
440,Schmerz::N,যন্ত্রণা,өвдлһн
441,Wunde::N,ক্ষত,шав
442,Fieber::N,জ্বর,безг
443,Arznei::N,ঔষধ,эм
444,Brücke::N,সেতু,тагт
445,Brunnen::N,কূপ,худг
446,Weide::N,পশুচারণভূমি,малын идг
447,Pfad::N,পথ,цувг
448,Weg::N,পথ,хаалһ
449,Straße::N,রাস্তা,зам
450,Dorf::N,গ্রাম,хотн
451,Stadt::N,শহর,балһсн
452,Brief::N,চিঠি,бичг
453,Buch::N,বই,дегтр
454,Buchstabe::N,অক্ষর,үзг
455,Zeitung::N,সংবাদপত্র,газет
456,Leben::N,জীবন,җирһл
457,Tod::N,মৃত্যু,үкл
458,Tod::N,মৃত্যু,өңгрлһн
459,Grab::N,কবর,оршалһна нүкн
460,Kirche::N,গির্জা,чонҗ
461,Sünde::N,পাপ,нүл
462,Sünde::N,পাপ,килнц
463,Gott::N,দেবতা,бурхн
464,Arbeiter::N,শ্রমিক,көдлмшч
465,Chef::N,নেতা,толһач
466,Meister::N,ব্যক্তি,урн
467,Arzt::N,চিকিৎসক,эмч
468,Lehrer::N,অধ্যাপক,багш
469,Geld::N,মুদ্রা,мөңгн
470,Geld::N,টাকাপয়সা,мөңгн
471,Geschäft::N,ব্যস্ততা,көдлмш
472,Laden::N,দোকান,лавк
473,Preis::N,মূল্য,үн
474,Ware::N,পণ্যদ্রব্য,эд-тавр
475,Nutzen::N,সুবিধা,олз
476,Reichtum::N,ধনদৌলত,зөөр
477,Welt::N,জগৎ,орчлң
478,Welt::N,জগৎ,делкә
479,Land::N,খেত,орн-нутг
480,Staat::N,রাষ্ট্র,государств
481,König::N,রাজা,хан
482,Macht::N,প্রভাব,йосн
483,Grenze::N,সীমা,меҗә
484,Krieg::N,যুদ্ধ,дән
485,Feind::N,শত্রু,дәәсн
486,Gewalt::N,জোর,күч һарһлһн
487,Kampf::N,লড়াই,ноолдан
488,Kampf::N,লড়াই,бәрлдлһн
489,Bogen[Waffe]::N,ধনুক,саадг
490,Pfeil::N,বাণ,сумн
491,Gewehr::N,বন্দুক,бу
492,Fehler::N,ভুল,алдг
493,Lüge::N,মিথ্যা,худл
494,Schaden::N,ক্ষতি,хорлт
495,Unglück::N,দুর্ভাগ্য,гүрм
496,Schuld::N,অপরাধ,гем
497,Schuld::N,অপরাধ,буру
498,Alter::N,আয়ু,насн
499,Schluss::N,শেষ,чилгч
500,Zeit::N,সময়,цаг
501,Tag::N,দিন,өдр
502,Morgen::N,সকাল,өрүн
503,Mittag::N,মধ্যাহু,үд
504,Abend::N,সন্ধ্যা,асхн
505,Nacht::N,রাত্রি,сө
506,Woche::N,সপ্তাহ,долан хонг
507,Monat::N,মাস,сар
508,Jahr::N,সৌরবর্ষ,җил
509,Frühling::N,বসন্তকাল,хавр
510,Sommer::N,গ্রীষ্মকাল,зун
511,Herbst::N,শরংঋতু,намр
512,Winter::N,শীতকাল,үвл
513,Januar::N,জানুয়ারী,январь
514,Februar::N,ফেব্রুয়ারী,февраль
515,März::N,মার্চ,март
516,März::N,মার্চ,моһа сар
517,April::N,এপ্রিল,апрель
518,Mai::N,মে,май
519,Juni::N,জুন,июнь
520,Juni::N,জুন,мөчн сар
521,Juli::N,জুলাই,июль
522,August::N,অগাস্ট,август
523,September::N,সেপ্টেম্বর,һаха сар
524,Oktober::N,অক্টোবর,октябрь
525,November::N,নভেম্বর,ноябрь
526,November::N,নভেম্বর,үкр сар
527,Dezember::N,ডিসেম্বর,бар сар
528,Montag::N,সোমবার,понедельник
529,Dienstag::N,মঙ্গলবার,вторник
530,Mittwoch::N,বুধবার,среда
531,Mittwoch::N,বুধবার,үлмҗ өдр
532,Donnerstag::N,বৃহম্পতিবার,четверг
533,Donnerstag::N,বৃহম্পতিবার,пүрвә өдр
534,Freitag::N,শুক্রবার,пятниц
535,Samstag::N,শনিবার,суббот
536,Sonntag::N,রবিবার,нарн өдр
537,Sonntag::N,রবিবার,воскресень
538,groß::A,বৃহৎ,ик
539,klein::A,ছোট,бичкн
540,lang::A,দীর্ঘ,ут
541,kurz::A,খর্ব,оһтр
542,kurz::A,হ্রস্ব,оһтр
543,breit::A,চওড়া,өргн
544,schmal::A,সরু,уутьхн
545,dicht::A,ঘন,нигт
546,dick[Gegenstand]::A,পুরু,зузан
547,dünn::A,কৃশ,нимгн
548,fein::A,সূক্ষ্ম,нәрхн
549,fest::A,দৃঢ়,бат
550,flach::A,সমতল,хавтха
551,glatt::A,মসৃণ,тегш
552,glatt::A,মসৃণ,тиньгр
553,hart::A,শক্ত,хату
554,weich::A,নরম,җөөлн
555,weich::A,নরম,җөөлкн
556,rund::A,গোলাকার,төгрг
557,spitz::A,তীক্ষ্ন,шовһр
558,scharf::A,শাণিত,хурц
559,stumpf::A,ভোঁতা,мука
560,schwer::A,ভারী,күнд
561,schön::A,সুন্দর,сәәхн
562,heiß::A,গরম,халун
563,warm::A,ঈষদুষ্ণ,дулан
564,kalt::A,ঠাণ্ডা,киитн
565,kühl::A,শীতল,серүн
566,frisch::A,তাজা,серүн
567,feucht::A,ভিজা,чиигтә
568,nass::A,ভিজা,чиигтә
569,trocken::A,শুষ্ক,хагсу
570,voll::A,পূর্ণ,дүүрң
571,leer::A,খালি,сул
572,leer::A,খালি,хоосн
573,offen::A,খোলা,секәтә
574,geschlossen::A,বন্ধ,хаалһата
575,sauber::A,নির্মল,цевр
576,schmutzig::A,নোংরা,киртә
577,roh::A,কাঁচা,түүкә
578,reif::A,পাকা,болсн
579,lecker::A,সুস্বাদ,әмтәхн
580,süß::A,মিষ্ট,әмтәхн
581,bitter::A,তিক্ত,һашун
582,bitter::A,তিক্ত,һашута
583,sauer::A,টক,ишклң
584,hell::A,উজ্জ্বল,герлтә
585,dunkel::A,অন্ধকারময়,харңһу
586,schwarz::A,কালো,хар
587,weiß::A,সাদা,цаһан
588,rot::A,লাল,улан
589,gelb::A,হলদে,шар
590,blau::A,নীল,көк
591,grün::A,সবুজ,көк
592,grau::A,ছাই-রঙা,бор
593,bunt::A,রঙিন,алг
594,bunt::A,রঙিন,эрәтә
595,billig::A,সস্তা,кимд
596,teuer::A,আক্রা,үнтә
597,wertvoll::A,মহার্ঘ,үнтә
598,wertvoll::A,মহার্ঘ,эрднь
599,blind::A,কানা,сохр
600,taub::A,বধির,дүлә
601,kräftig::A,বিশাল,күчтә
602,stark::A,শক্তিশালী,чаңһ
603,schwach::A,দুর্বল,күчн тату
604,fett::A,মোটা,тарһн
605,schlank::A,কৃশ,эццн
606,hübsch::A,সুন্দর,көркхн
607,böse::A,খারাপ,уурта
608,dumm::A,মূর্খ,тенг
609,faul::A,শ্রমবিমুখ,залху
610,fleißig::A,পরিশ্রমী,кинән
611,fleißig::A,পরিশ্রমী,кинмһә
612,geizig::A,ব্যয়কুণ্ঠ,ховдг
613,klug::A,দক্ষ,ухата
614,geschickt::A,পটু,чадмг
615,lieb::A,প্রেয়,эңкр
616,lustig::A,প্রফুল্ল,сергмҗтә
617,lustig::A,প্রফুল্ল,җирһлтә
618,sanft::A,নম্র,номһн
619,hungrig::A,ক্ষুধার্ত,өлн
620,hungrig::A,ক্ষুধার্ত,харһнсн
621,krank::A,অসুস্থ,өвчтә
622,krank::A,অসুস্থ,шалтгта
623,nackt::A,উলঙ্গ,нүцкн
624,traurig::A,দুঃখিত,һундлта
625,lebendig::A,জীবিত,әмд
626,gut::A,ভালো,сән
627,schlecht::A,মন্দ,му
628,richtig::A,ঠিক,зөвтә
629,schlimm::A,কদর্য,җигшүртә
630,wahr::A,বাস্তব,үнн
631,wahr::A,বাস্তব,мөн
632,alt::A,পুরাতন,хуучн
633,neu::A,নব,шин
634,neu::A,নূতন,шин
635,ehemalig::A,পূর্বকালীন,хуучн
636,alt[Lebewesen]::A,বৃদ্ধ,көгшн
637,jung::A,তরুণ,баһ
638,arm::A,ক্ষুদ্র,угатя
639,reich::A,ধনবান্,байн
640,bekannt::A,সুপরিচিত,таньл
641,bekannt::A,সুপরিচিত,таньдг
642,berühmt::A,বিখ্যাত,туурсн
643,fremd::A,বিদেশি,күүнә
644,verschieden::A,বিসদৃশ,әдл биш
645,verschieden::A,বিসদৃশ,йилһәтә
646,nah::A,নিকটবতী,өөрхн
647,fern::A,দুরবতী,хол
648,linker::A,বাম,зүн
649,rechter::A,ডান,барун
650,rechter::A,ডাইন,барун
651,anderer::A,অন্যতর,талдан
652,erster::A,প্রথম,негдгч
653,zweiter::A,দ্বিতীয়,хойрдгч
654,dritter::A,তৃতীয়,һурвдгч
655,letzter::A,সর্বশেষ,отхн
656,allein::ADV,একক,һанцарн
657,auf einmal::ADV,জলদি,нег дәкҗ
658,zusammen::ADV,একসঙ্গে,хамдан
659,lange::ADV,লম্বা,удан
660,plötzlich::ADV,হঠাৎ,генткн
661,sofort::ADV,মুহ্ণর্তমধ্যে,дарунь
662,später::ADV,পশ্চাতে,сүүлд
663,jetzt::ADV,এখন,ода
664,heute::ADV,আজ,эндр
665,morgen::ADV,আগামিকাল,маңһдур
666,bald::ADV,অস্পকালমধ্যে,дарунь
667,dann::ADV,তখন,дәкәд
668,gestern::ADV,গতকাল,өцклдүр
669,einst::ADV,একবার মাত্র,нег саамд
670,damals::ADV,তখন,тиигхд
671,danach::ADV,পরে,тегәд
672,vorher::ADV,আগে,урд
673,zuerst::ADV,আগে,түрүләд
674,einmal::ADV,একবার,нег дәкҗ
675,manchmal::ADV,কখনও কখনও,зәрмдән
676,oft::ADV,ঘনঘন,хара биш
677,oft::ADV,ঘনঘন,хатяр биш
678,oft::ADV,ঘনঘন,дару-дарунь
679,immer::ADV,সর্বদা,оньдинд
680,niemals::ADV,কখলও নহে,кезә чмгн биш
681,hier::ADV,এখানে,энд
682,hier::ADV,এখানে,энүнд
683,hierhin::ADV,এখানে,нааран
684,von hier::ADV,ত্রই স্তান হইতে,эндәс
685,dort::ADV,ওখানে,тенд
686,dorthin::ADV,ওখানে,тиигән
687,geradeaus::ADV,অগ্রগামী,шуд
688,vorwärts::ADV,সন্মুখিকে,уралан
689,rückwärts::ADV,খিরিয়া,гедргән
690,zurück::ADV,পিঠ,хәрү
691,unten::ADV,নীচে,дор
