,Concept_ID,be,sk
657,weiß::A,белы,biely
658,rot::A,чырвоны,červený
659,gelb::A,жоўты,žltý
660,blau::A,сіні,modrý
661,blau::A,сіні,belasý
662,grün::A,зялёны,zelený
663,grau::A,шэры,šedý
664,bunt::A,пяресты,pestrý
665,billig::A,танны,lacný
666,teuer::A,дарагі,drahý
667,wertvoll::A,цэнны,cenný
668,wertvoll::A,каштоўны,cenný
669,blind::A,сляпы,slepý
670,taub::A,глухі,hluchý
671,kräftig::A,магутны,silný
672,stark::A,сільны,silný
673,schwach::A,слабы,slabý
674,schwach::A,слабы,bezvládny
675,fett::A,тлусты,tučný
676,schlank::A,стройны,štíhly
677,hübsch::A,чароўны,šumný
678,hübsch::A,чароўны,švárny
679,böse::A,злы,zlý
680,dumm::A,дурны,hlúpy
681,faul::A,лянівы,lenivý
682,fleißig::A,руплівы,snaživý
683,fleißig::A,руплівы,usilovný
684,geizig::A,прагны,skupý
685,geizig::A,прагны,lakomý
686,klug::A,разумны,múdry
687,klug::A,разумны,bystrý
688,geschickt::A,умелы,zručný
689,geschickt::A,умелы,šikovný
690,lieb::A,мілы,milý
691,lustig::A,вясёлы,veselý
692,sanft::A,ласкавы,nežný
693,hungrig::A,галодны,lačný
694,hungrig::A,галодны,hladný
695,krank::A,хворы,chorý
696,krank::A,хворы,nemocný
697,nackt::A,голы,nahý
698,traurig::A,сумны,smutný
699,lebendig::A,жывы,živý
700,gut::A,добры,dobrý
701,schlecht::A,кепскі,zlý
702,richtig::A,правільны,správny
703,schlimm::A,агідны,zlý
704,schlimm::A,агідны,nepríjemný
705,wahr::A,сапраўдны,pravý
706,wahr::A,сапраўдны,pravdivý
707,alt::A,стары,starý
708,neu::A,новы,nový
709,ehemalig::A,былы,bývalý
710,alt[Lebewesen]::A,стары,starý
711,jung::A,малады,mladý
712,arm::A,бедны,chudobný
713,reich::A,багаты,bohatý
714,bekannt::A,знаёмы,známy
715,berühmt::A,славуты,slávny
716,berühmt::A,славуты,povestný
717,fremd::A,чужы,cudzí
718,verschieden::A,розны,rôzny
719,verschieden::A,розны,rozličný
720,nah::A,блізкі,blízky
721,fern::A,далёкі,ďaleký
722,linker::A,левы,ľavý
723,rechter::A,правы,pravý
724,anderer::A,іншы,iný
725,anderer::A,іншы,druhý
726,anderer::A,другі,iný
727,anderer::A,другі,druhý
728,erster::A,першы,prvý
729,zweiter::A,другі,druhý
730,dritter::A,трэці,tretí
731,letzter::A,апошні,ostatný
732,letzter::A,апошні,posledný
733,allein::ADV,сам,sám
734,allein::ADV,адзін,sám
735,auf einmal::ADV,адразу,zároveň
736,zusammen::ADV,разам,spolu
737,zusammen::ADV,разам,spoločne
738,lange::ADV,доўга,dlho
739,plötzlich::ADV,раптам,náhle
740,sofort::ADV,зараз,hneď
741,sofort::ADV,зараз,ihneď
742,später::ADV,пазней,neskoršie
743,jetzt::ADV,цяпер,teraz
744,heute::ADV,сёння,dnes
745,morgen::ADV,заўтра,zajtra
746,bald::ADV,хутка,skoro
747,bald::ADV,неўзабаве,skoro
748,dann::ADV,потым,nato
749,dann::ADV,потым,potom
750,gestern::ADV,учора,včera
751,einst::ADV,аднойчы,kedysi
752,einst::ADV,аднойчы,niekedy
753,damals::ADV,тады,vtedy
754,danach::ADV,затым,potom
755,danach::ADV,затым,podľa toho
756,vorher::ADV,раней,napred
757,vorher::ADV,раней,predtým
758,zuerst::ADV,спярша,najprv
759,zuerst::ADV,спачатку,najprv
760,einmal::ADV,адзін раз,raz
761,einmal::ADV,адзін раз,jedenkrát
762,manchmal::ADV,часам,občas
763,manchmal::ADV,часам,niekedy
764,oft::ADV,часта,často
765,immer::ADV,заўсёды,vždy
766,immer::ADV,заўсёды,ustavične
767,niemals::ADV,ніколі,nikdy
768,hier::ADV,тут,tu
769,hierhin::ADV,сюды,sem
770,hierhin::ADV,сюды,tade
771,von hier::ADV,адсюль,odtiaľto
772,von hier::ADV,адгэтуль,odtiaľto
773,dort::ADV,там,tam
774,dorthin::ADV,туды,ta
775,dorthin::ADV,туды,tam
776,geradeaus::ADV,прама,rovno
777,geradeaus::ADV,прама,priamo
778,vorwärts::ADV,наперад,napred
779,rückwärts::ADV,назад,nazad
780,zurück::ADV,назад,späť
781,zurück::ADV,назад,naspäť
782,unten::ADV,унізе,dolu
783,unten::ADV,унізе,naspodku
784,hinab::ADV,уніз,dolu
785,oben::ADV,угары,hore
786,oben::ADV,угары,navrchu
787,oben::ADV,наверсе,hore
788,oben::ADV,наверсе,navrchu
789,hinauf::ADV,угару,hore
790,hinauf::ADV,угару,navrch
791,überall::ADV,усюды,všade
792,nicht::ADV,не,nie
