,Concept_ID,nl,lez
314,Stück::N,stuk,кӏус
315,Teil::N,deel,пай
316,Hälfte::N,helft,зур
317,Hälfte::N,helft,зур пай
318,Kreis::N,kring,круг
319,Kreis::N,kring,чкаяр
320,Kreis::N,kring,элкъвей цӏар
321,Kreis::N,cirkel,круг
322,Kreis::N,cirkel,чкаяр
323,Kreis::N,cirkel,элкъвей цӏар
324,Kreuz::N,kruis,хаш
325,Linie::N,lijn,цӏар
326,Strich::N,haal,цӏар
327,Strich::N,streep,цӏар
328,Abstand::N,afstand,ара
329,Entfernung::N,afstand,мензил
330,Gegend::N,streek,чка
331,Platz::N,ruimte,ара
332,Ort::N,oord,чка
333,Ort::N,plaats,чка
334,Seite::N,zij,пад
335,Seite::N,kant,пад
336,Seite::N,zijde,пад
337,Mitte::N,midden,юкь
338,Gegenstand::N,voorwerp,затӏ
339,Sache::N,zaak,шей
340,Sache::N,zaak,затӏ
341,Rand::N,rand,къерех
342,Rand::N,boord,къерех
343,Kante::N,kant,син
344,Ecke::N,hoek,пӏипӏ
345,Spitze::N,punt,кӏвенкӏв
346,Spitze::N,spits,кӏвенкӏв
347,Ende::N,einde,кьил
348,Ende::N,uiteinde,кьил
349,Loch::N,gat,тӏеквен
350,Winkel::N,hoek,пӏипӏ
351,Muster::N,dessin,гишир
352,Muster::N,patroon,гишир
353,Größe::N,grootte,кьадар
354,Länge::N,lengte,яргъивал
355,Höhe::N,hoogte,кьакьанвал
356,Gewicht::N,gewicht,заланвал
357,Menge::N,hoeveelheid,кьадар
358,Haufen::N,hoop,хара
359,Reihe::N,rij,жерге
360,Reihe::N,reeks,жерге
361,Boot::N,boot,луьткве
362,Ruder::N,roeiriem,кьусу
363,Schlitten::N,slee,гъелерар
364,Schlitten::N,slede,гъелерар
365,Ski::N,ski,
366,Lagerfeuer::N,kampvuur,цӏай
367,Last::N,last,заланвал
368,Last::N,vracht,заланвал
369,Gang::N,wandeling,ериш
370,Schritt::N,stap,къадам
371,Schritt::N,schrede,къадам
372,Norden::N,noorden,кефер
373,Norden::N,noorden,кефер пад
374,Süden::N,zuiden,кьибле
375,Westen::N,westen,рагъакӏидай пад
376,Osten::N,oosten,рагъэкъечӏдай пад
377,Holz::N,hout,кӏарас
378,Brett::N,plank,кьул
379,Brett::N,plank,тахта
380,Platte::N,plaat,
381,Stütze::N,stut,даях
382,Stütze::N,steun,даях
383,Stange::N,stang,юрк
384,Stock::N,stok,лаш
385,Stab::N,staf,юрк
386,Rohr::N,pijp,турба
387,Haus::N,huis,ужагъ
388,Heim::N,tehuis,кӏвал
389,Ofen::N,kachel,пич
390,Fußboden::N,vloer,кӏвалин ччил
391,Tisch::N,tafel,стол
392,Stuhl::N,stoel,стул
393,Wiege::N,wieg,кьеб
394,Bett::N,bed,тахт
395,Regal::N,rek,кьацӏ
396,Kiste::N,kist,ящик
397,Fenster::N,raam,дакӏар
398,Fenster::N,venster,дакӏар
399,Tür::N,deur,рак
400,Tor::N,poort,варар
401,Zaun::N,omheining,пару
402,Dach::N,dak,къав
403,Leiter::N,ladder,гурар
404,Besen::N,bezem,таран кул
405,Spaten::N,schop,ппер
406,Schaufel::N,schep,хекендаз
407,Gabel::N,vork,шиш
408,Löffel::N,lepel,тӏур
409,Messer::N,mes,чукӏул
410,Nagel::N,spijker,мих
411,Netz::N,net,чил
412,Haken::N,haak,къармах
413,Griff::N,handvat,ттум
414,Schloss::N,slot,куьлег
415,Bild::N,beeld,шикил
416,Bild::N,beeld,суьрет
417,Figur::N,figuur,фигура
418,Puppe::N,pop,нини
419,Beutel::N,zak,тагъар
420,Beutel::N,buidel,тагъар
421,Bündel::N,pak,галгам
422,Bündel::N,bundel,галгам
423,Tasche::N,tas,чанта
424,Eimer::N,emmer,ведре
425,Deckel::N,deksel,кьил
426,Deckel::N,deksel,къалпагъ
427,Geschirr::N,vaatwerk,къаб-къажах
428,Sack::N,zak,чувал
429,Tasse::N,kop,сукӏра
430,Topf::N,pan,къажгъан
431,Kessel::N,ketel,къажгъан
432,Essen::N,eten,тӏуьн
433,Nahrung::N,voedsel,тӏуьн
434,Speise::N,spijs,хуьрек
435,Fleisch::N,vlees,як
436,Getreide::N,graan,техил
437,Brei::N,pap,хапӏа
438,Brei::N,pap,хешил
439,Brei::N,brij,хапӏа
440,Brei::N,brij,хешил
441,Brot::N,brood,фу
442,Scheibe::N,plak,чӏук
443,Scheibe::N,snede,чӏук
