,Concept_ID,fr,fa
694,Mittwoch::N,mercredi,چهار‌شنبه
695,Donnerstag::N,jeudi,پنج شنبه
696,Freitag::N,vendredi,جمعه
697,Samstag::N,samedi,شنبه
698,Sonntag::N,dimanche,یکشنبه
699,groß::A,grand,بزرگ
700,klein::A,petit,کوچک
701,lang::A,long,بلند
702,kurz::A,court,کوتاه
703,breit::A,large,پهن
704,schmal::A,étroit,تنگ
705,schmal::A,étroit,نازک
706,dicht::A,dense,چگال
707,dicht::A,dense,انبوه
708,dick[Gegenstand]::A,épais,ضخیم
709,dünn::A,mince,نازک
710,fein::A,fin,ریز
711,fein::A,fin,باریک
712,fein::A,menu,ریز
713,fein::A,menu,باریک
714,fest::A,ferme,محکم
715,fest::A,solide,محکم
716,flach::A,plat,صاف
717,flach::A,plat,مسطح
718,glatt::A,poli,لیز
719,glatt::A,lisse,لیز
720,hart::A,dur,سفت
721,weich::A,mou,نرم
722,weich::A,mou,ملایم
723,rund::A,rond,گرد
724,spitz::A,aigu,تیز
725,spitz::A,aigu,نوک‌تیز
726,spitz::A,pointu,تیز
727,spitz::A,pointu,نوک‌تیز
728,scharf::A,tranchant,تیز
729,scharf::A,tranchant,برنده
730,stumpf::A,mousse,کند
731,stumpf::A,émoussé,کند
732,schwer::A,lourd,سنگین
733,schwer::A,pesant,سنگین
734,schön::A,beau,زیبا
735,heiß::A,chaud,داغ
736,heiß::A,très chaud,داغ
737,warm::A,chaud,گرم
738,kalt::A,froid,سرد
739,kühl::A,frais,خنک
740,frisch::A,frais,تازه
741,feucht::A,humide,مرطوب
742,nass::A,mouillé,تر
743,nass::A,mouillé,خیش
744,trocken::A,sec,خشک
745,voll::A,plein,پر
746,voll::A,rempli,پر
747,leer::A,vide,خالی
748,offen::A,ouvert,باز
749,geschlossen::A,clos,بسته
750,geschlossen::A,fermé,بسته
751,sauber::A,net,پاک
752,sauber::A,net,تمیز
753,sauber::A,propre,پاک
754,sauber::A,propre,تمیز
755,schmutzig::A,sale,کثیف
756,schmutzig::A,sale,آلوده
