,Concept_ID,fi,et
560,Nutzen::N,hyöty,kasulikkus
561,Reichtum::N,rikkaus,rikkus
562,Welt::N,maailma,maailm
563,Land::N,maa,maa
564,Staat::N,valtio,riik
565,König::N,kuningas,kuningas
566,Macht::N,mahti,võim
567,Grenze::N,raja,piir
568,Krieg::N,sota,sõda
569,Feind::N,vihollinen,vaenlane
570,Gewalt::N,väkivalta,väevõim
571,Kampf::N,taistelu,võitlus
572,Bogen[Waffe]::N,jousi,vibu
573,Pfeil::N,nuoli,nool
574,Gewehr::N,kivääri,püss
575,Fehler::N,vika,viga
576,Fehler::N,virhe,viga
577,Lüge::N,valhe,vale
578,Schaden::N,vaurio,kahju
579,Schaden::N,vahinko,kahju
580,Unglück::N,vahinko,häda
581,Unglück::N,vahinko,õnnetus
582,Unglück::N,onnettomuus,häda
583,Unglück::N,onnettomuus,õnnetus
584,Schuld::N,syy,süü
585,Alter::N,ikä,iga
586,Schluss::N,loppu,lõpp
587,Zeit::N,aika,aeg
588,Tag::N,päivä,päev
589,Morgen::N,aamu,hommik
590,Morgen::N,huomen,hommik
591,Mittag::N,keskipäivä,lõuna
592,Mittag::N,keskipäivä,keskpäev
593,Abend::N,ilta,õhtu
594,Nacht::N,yö,öö
595,Woche::N,viikko,nädal
596,Monat::N,kuukausi,kuu
597,Jahr::N,vuosi,aasta
598,Frühling::N,kevät,kevad
599,Sommer::N,kesä,suvi
600,Herbst::N,syksy,sügis
601,Winter::N,talvi,talv
602,Januar::N,tammikuu,jaanuar
603,Februar::N,helmikuu,veebruar
604,März::N,maaliskuu,märts
605,April::N,huhtikuu,aprill
606,Mai::N,toukokuu,mai
607,Juni::N,kesäkuu,juuni
608,Juli::N,heinäkuu,juuli
609,August::N,elokuu,august
610,September::N,syyskuu,september
611,Oktober::N,lokakuu,oktoober
612,November::N,marraskuu,november
613,Dezember::N,joulukuu,detsember
614,Montag::N,maanantai,esmaspäev
615,Dienstag::N,tiistai,teisipäev
616,Mittwoch::N,keskiviikko,kesknädal
617,Donnerstag::N,torstai,neljapäev
618,Freitag::N,perjantai,reede
619,Samstag::N,lauantai,laupäev
620,Sonntag::N,sunnuntai,pühapäev
621,groß::A,iso,suur
622,groß::A,suuri,suur
623,klein::A,pieni,väike
