,Concept_ID,ps,ar
671,geschlossen::A,تړلی,مغلق
672,sauber::A,پاک,نظيف
673,schmutzig::A,چټل,قذر
674,roh::A,خام,نيء
675,reif::A,پوخ,ناضج
676,reif::A,رسېدلی,ناضج
677,lecker::A,خوندور,لذيذ
678,lecker::A,مزه دار,لذيذ
679,süß::A,خوږ,حلو
680,süß::A,شیرین,حلو
681,bitter::A,تریخ,مر
682,sauer::A,ټاک,حامض
683,sauer::A,تريو,حامض
684,hell::A,روڼ,نير
685,hell::A,روښان,نير
686,dunkel::A,تیاره,مظلم
687,schwarz::A,تور,أسود
688,weiß::A,سپين,أبيض
689,rot::A,سور,أحمر
690,gelb::A,زېړ,أصفر
691,blau::A,شین,أزرق
692,blau::A,اسماني رنګه,أزرق
693,grün::A,زرغون,أخضر
694,grau::A,خړ,رمادي
695,bunt::A,رنګارنګ,ملوب
696,billig::A,ارزان,رخيص
697,teuer::A,ګران,غال
698,wertvoll::A,قیمتي,ثمين
699,blind::A,ړوند,أعمى
700,taub::A,کوڼ,أصم
701,taub::A,کوڼ,أطرش
702,kräftig::A,قوی,قوي
703,stark::A,قوی,قوي
704,stark::A,تکړه,قوي
705,schwach::A,ضعیف,ضعيف
706,schwach::A,کمزوری,ضعيف
707,fett::A,چاغ,سمين
708,schlank::A,خوش اندام,أهيف
709,hübsch::A,ښکلی,جميل
710,hübsch::A,ښایسته,جميل
711,böse::A,شریر,رديء
712,böse::A,قهرناک,رديء
713,dumm::A,احمق,أبله
714,dumm::A,احمق,أحمق
715,faul::A,لټ,كسلان
716,faul::A,تنبل,كسلان
717,fleißig::A,زحمت کښ,مجتهد
718,geizig::A,بخیل,بخيل
719,klug::A,عاقل,ذكي
720,klug::A,عاقل,عاقل
721,klug::A,هوښیار,ذكي
722,klug::A,هوښیار,عاقل
723,geschickt::A,ماهر,ماهر
724,lieb::A,عزیز,عزيز
725,lieb::A,محبوب,عزيز
726,lustig::A,خوشحال,مرح
727,sanft::A,پوست,حليم
728,sanft::A,ملایم,حليم
729,hungrig::A,وږی,جائع
730,krank::A,مريض,مريض
731,krank::A,ناروغ,مريض
732,nackt::A,لوڅ,عار
733,traurig::A,غمجن,حزين
734,lebendig::A,ژوندی,حي
735,gut::A,ښه,جيد
736,schlecht::A,بد,سيء
737,schlecht::A,خراب,سيء
738,richtig::A,سم,صحيح
739,richtig::A,صحیح,صحيح
740,schlimm::A,بد,خبيث
741,schlimm::A,مخوف,خبيث
742,wahr::A,واقعي,حق
743,alt::A,زوړ,قديم
744,neu::A,نوی,جديد
745,ehemalig::A,پخوانی,سابق
746,alt[Lebewesen]::A,زوړ,مسن
747,jung::A,ځوان,شاب
748,jung::A,ځوان,صغير
749,arm::A,غریب,فقير
750,arm::A,بې وزله,فقير
751,reich::A,شتمن,غني
752,reich::A,دولتمند,غني
753,bekannt::A,اشنا,معلوم
754,berühmt::A,مشهور,مشهور
755,fremd::A,پردی,أجنبي
756,fremd::A,بېګانه,أجنبي
757,verschieden::A,مختلف,مختلف
758,nah::A,نژدې,قريب
759,fern::A,لیری,بعيد
760,linker::A,چپ,يسار
761,linker::A,کیڼ,يسار
762,rechter::A,ښی,يمين
763,anderer::A,بل,آخر
764,erster::A,لومړی,أول
765,zweiter::A,دوهم,ثان
766,dritter::A,درېم,ثالث
767,letzter::A,آخرنی,أخير
768,letzter::A,وروستی,أخير
769,allein::ADV,یوازې,وحده
770,auf einmal::ADV,په یوه وخت کی,بالمرة
771,zusammen::ADV,یو ځای,معا
772,lange::ADV,ډېر وخت,مدة طويلة
773,lange::ADV,ډېره موده,مدة طويلة
774,plötzlich::ADV,ناببره,فجأة
