,Concept_ID,fi,udm
710,schlank::A,solakka,веськрес
711,hübsch::A,soma,чебер
712,hübsch::A,soma,синмаськымон
713,hübsch::A,sievä,чебер
714,hübsch::A,sievä,синмаськымон
715,böse::A,paha,лек
716,böse::A,häijy,лек
717,dumm::A,tyhmä,шузи
718,dumm::A,tyhmä,визьтэм
719,dumm::A,typerä,шузи
720,dumm::A,typerä,визьтэм
721,faul::A,laiska,азьтэм
722,fleißig::A,ahkera,сюлмо
723,geizig::A,saita,сук
724,klug::A,älykäs,визьмо
725,geschickt::A,taitava,усто
726,geschickt::A,taitava,быгатӥсь
727,lieb::A,rakas,мусо
728,lustig::A,hauska,шулдыр
729,lustig::A,iloinen,шулдыр
730,sanft::A,lauha,мусо
731,sanft::A,lauha,эрке
732,sanft::A,lempeä,мусо
733,sanft::A,lempeä,эрке
734,hungrig::A,nälkäinen,сютэм
735,krank::A,sairas,висись
736,nackt::A,alaston,гольык
737,traurig::A,surullinen,мӧзмыт
738,traurig::A,murheellinen,мӧзмыт
739,lebendig::A,elävä,улэп
740,gut::A,hyvä,ӟеч
741,gut::A,hyvä,умой
742,schlecht::A,paha,урод
743,schlecht::A,paha,алама
744,schlecht::A,huono,урод
745,schlecht::A,huono,алама
746,richtig::A,oikea,шонер
747,schlimm::A,paha,алама
748,wahr::A,tosi,зэмос
749,alt::A,vanha,вуж
750,neu::A,uusi,выль
751,ehemalig::A,entinen,азьвылэз
752,ehemalig::A,muinainen,азьвылэз
753,alt[Lebewesen]::A,vanha,пересь
754,jung::A,nuori,егит
755,jung::A,nuori,пинал
756,arm::A,köyhä,начар
757,arm::A,köyhä,куанер
758,reich::A,rikas,узыр
759,bekannt::A,tuttu,тодмо
760,bekannt::A,tunnettu,тодмо
761,berühmt::A,kuuluisa,дано
762,fremd::A,vieras,ят
763,verschieden::A,eri,пӧртэм
764,verschieden::A,erilainen,пӧртэм
765,nah::A,läheinen,матысь
766,fern::A,etäinen,кыдёкысь
767,linker::A,vasen,паллян
768,rechter::A,oikea,бур
769,rechter::A,oikea,бурпал
770,anderer::A,muu,мукет
771,anderer::A,toinen,мукет
772,erster::A,ensimmäinen,нырысетӥез
773,zweiter::A,toinen,кыктэтӥез
774,dritter::A,kolmas,кунньметӥез
775,letzter::A,viimeinen,берло
776,letzter::A,viimeinen,берпум
777,allein::ADV,yksin,огназ
778,auf einmal::ADV,yhdellä kertaa,огдыре
779,zusammen::ADV,yhdessä,ӵош
780,zusammen::ADV,yhdessä,валче
781,lange::ADV,kauan,кема
782,lange::ADV,pitkään,кема
783,plötzlich::ADV,äkkiä,мапламтэ шорысь
784,sofort::ADV,heti,али ик
785,später::ADV,myöhemmin,бергес
786,später::ADV,myöhemmin,берлогес
787,jetzt::ADV,nyt,али
788,jetzt::ADV,nyt,табере
789,heute::ADV,tänään,туннэ
790,morgen::ADV,huomenna,ӵуказе
791,bald::ADV,pian,ӝоген
792,dann::ADV,sitten,берло
793,gestern::ADV,eilen,толон
794,einst::ADV,aikanaan,огпол
795,einst::ADV,aikanaan,одӥг пол
