,Concept_ID,pl,mn
628,Schaden::N,szkoda,хөнөөл
629,Unglück::N,nieszczęście,гай
630,Unglück::N,nieszczęście,гамшиг
631,Schuld::N,wina,гэм
632,Schuld::N,wina,буруу
633,Alter::N,wiek,нас
634,Schluss::N,koniec,эцэс
635,Schluss::N,koniec,төгсгөл
636,Schluss::N,zakończenie,эцэс
637,Schluss::N,zakończenie,төгсгөл
638,Zeit::N,czas,цаг
639,Tag::N,dzień,өдөр
640,Morgen::N,ranek,өглөө
641,Morgen::N,poranek,өглөө
642,Mittag::N,południe,үд
643,Abend::N,wieczór,үдэш
644,Nacht::N,noc,шөнө
645,Woche::N,tydzień,долоо хоног
646,Monat::N,miesiąc,сар
647,Jahr::N,rok,жил
648,Frühling::N,wiosna,хавар
649,Sommer::N,lato,зун
650,Herbst::N,jesień,намар
651,Winter::N,zima,өвөл
652,Januar::N,styczeń,нэгдүгээр сар
653,Februar::N,luty,хоёрдугаар сар
654,März::N,marzec,гуравдугаар сар
655,April::N,kwiecień,дөрөвдүгээр сар
656,Mai::N,maj,тавдугаар сар
657,Juni::N,czerwiec,зургаадугаар сар
658,Juli::N,lipiec,долдугаар сар
659,August::N,sierpień,наймдугаар сар
660,September::N,wrzesień,есдүгээр сар
661,Oktober::N,październik,аравдугаар сар
662,November::N,listopad,арван нэгдүгээр сар
663,Dezember::N,grudzień,арван хоёрдугаар сар
664,Montag::N,poniedziałek,даваа
665,Dienstag::N,wtorek,мягмар
666,Mittwoch::N,środa,лхагва
667,Donnerstag::N,czwartek,пүрэв
668,Freitag::N,piątek,баасан
669,Samstag::N,sobota,бямба
670,Sonntag::N,niedziela,ням
671,groß::A,duży,их
672,groß::A,duży,том
673,groß::A,wielki,их
674,groß::A,wielki,том
675,klein::A,mały,бага
676,klein::A,mały,жаахан
677,lang::A,długi,урт
678,kurz::A,krótki,охор
679,kurz::A,krótki,богино
680,breit::A,szeroki,өргөн
681,schmal::A,wąski,уйтан
682,schmal::A,wąski,нарийн
683,dicht::A,gęsty,нягт
684,dicht::A,gęsty,чигжүү
685,dick[Gegenstand]::A,gruby,зузаан
686,dünn::A,cienki,нимгэн
687,fein::A,drobny,нарийн
688,fest::A,mocny,бөх
689,fest::A,mocny,хатуу
690,fest::A,twardy,бөх
691,fest::A,twardy,хатуу
692,flach::A,płaski,хавтгай
693,glatt::A,gładki,цагаан
694,hart::A,twardy,хатуу
695,weich::A,miękki,зөөлөн
696,rund::A,okrągły,дугуй
697,rund::A,okrągły,дугариг
698,spitz::A,spiczasty,шовх
699,spitz::A,spiczasty,шовгор
700,scharf::A,ostry,хурц
701,scharf::A,ostry,иртэй
702,stumpf::A,tępy,мохоо
703,schwer::A,ciężki,хүнд
704,schön::A,ładny,гуа
705,schön::A,ładny,сайхан
706,schön::A,piękny,гуа
707,schön::A,piękny,сайхан
708,heiß::A,gorący,халуун
709,warm::A,ciepły,дулаан
710,kalt::A,zimny,хүйтэн
711,kühl::A,chłodny,сэрүүн
712,frisch::A,świeży,эрүүл
713,frisch::A,świeży,жихүүн
714,feucht::A,wilgotny,чийгтэй
715,nass::A,mokry,нойтон
716,trocken::A,suchy,хатсан
717,voll::A,pełny,дүүрэн
718,leer::A,pusty,хоосон
719,leer::A,próżny,хоосон
720,offen::A,otwarty,онгорхой
721,geschlossen::A,zamknięty,битүү
722,geschlossen::A,zamknięty,хаалтай
723,sauber::A,czysty,цэвэр
724,sauber::A,czysty,хиргүй
725,schmutzig::A,brudny,бохир
726,schmutzig::A,brudny,хиртэй
727,roh::A,surowy,түүхий
728,reif::A,dojrzały,болсон
729,lecker::A,smaczny,амттай
730,süß::A,słodki,амттай
731,süß::A,słodki,чихэрлэг
732,bitter::A,gorzki,гашуун
733,sauer::A,kwaśny,эсгэлэн
734,hell::A,jasny,гэгээн
735,hell::A,jasny,гэрэлтэй
736,dunkel::A,ciemny,бараан
737,dunkel::A,ciemny,харанхуй
738,schwarz::A,czarny,хар
739,weiß::A,biały,цагаан
740,rot::A,czerwony,улаан
741,gelb::A,żółty,шар
742,blau::A,błękitny,хөх
743,blau::A,błękitny,цэнхэр
744,blau::A,niebieski,хөх
745,blau::A,niebieski,цэнхэр
746,grün::A,zielony,ногоон
747,grau::A,szary,орог
748,grau::A,szary,саарал
749,bunt::A,barwny,эрээн
750,billig::A,tani,хямд
751,teuer::A,drogi,үнэтэй
752,wertvoll::A,cenny,үнэт
753,blind::A,ślepy,сохор
754,taub::A,głuchy,чих хатуу
755,kräftig::A,mocny,чийрэг
756,stark::A,silny,хүчтэй
757,stark::A,silny,чадалтай
758,schwach::A,słaby,сул
759,fett::A,tłusty,тарган
760,fett::A,tłusty,голигор
761,schlank::A,smukły,голшиг
762,hübsch::A,ładny,сайхан
763,hübsch::A,ładny,хөөрхөн
764,böse::A,zły,муу
765,böse::A,zły,хортой
766,dumm::A,głupi,тэнэг
767,faul::A,leniwy,залхуу
768,fleißig::A,pilny,чармайлтгай
769,geizig::A,skąpy,харамч
770,klug::A,mądry,цэцэн
771,geschickt::A,zręczny,дүйтэй
772,lieb::A,miły,хайрт
773,lustig::A,wesoły,цэнгэлтэй
774,sanft::A,łagodny,наалинхай
775,hungrig::A,głodny,өлөн
