,Concept_ID,uz,av
649,verschieden::A,turli,батӏи-батӏияб
650,nah::A,yaqindagi,гӏагарда бугеб
651,fern::A,uzoq,рикӏкӏадаб
652,linker::A,so'l,квегӏаб
653,rechter::A,o'ng,кваранаб
654,anderer::A,boshqa,батӏияб
655,erster::A,birinchi,тӏоцебесеб
656,zweiter::A,ikkinchi,кӏиабилеб
657,dritter::A,uchinchi,лъабабилеб
658,letzter::A,oxirgi,ахирисеб
659,allein::ADV,o'zicha,ялгъузго
660,auf einmal::ADV,varakay,цихӏинтӏаго
661,zusammen::ADV,barobar,цойида
662,lange::ADV,uzoq,
663,plötzlich::ADV,qo'qqisdan,цойидасанго
664,sofort::ADV,darrov,гьебсагӏат
665,später::ADV,so'ngra,
666,jetzt::ADV,hozirgina,гьанже
667,heute::ADV,bugun,жакъа
668,morgen::ADV,ärta,метер
669,bald::ADV,toz,гьабсагӏаталъ
670,dann::ADV,keyin,цинги
671,gestern::ADV,kecha,сон
672,einst::ADV,avvallari,цин
673,damals::ADV,ugal,гьебмехалъ
674,damals::ADV,ugal,гьебмехалда
675,danach::ADV,so'ngra,цинги
676,danach::ADV,so'ngra,хадуса
677,vorher::ADV,avval,цебе
678,zuerst::ADV,avval,тӏоцебе
679,einmal::ADV,bir marta,цинцӏул
680,einmal::ADV,bir marta,цихӏин
681,einmal::ADV,bir marta,цоцӏул
682,manchmal::ADV,onda-sonda,олоцӏул
683,oft::ADV,tez-tez,гӏемерго
684,immer::ADV,har vaqt,кидаго
685,niemals::ADV,hargiz,киданиги
686,hier::ADV,shu erda,аниб
687,hierhin::ADV,beri,анибехун
688,von hier::ADV,shu erdan,гьаниса
689,dort::ADV,ana,гьениб
690,dorthin::ADV,u yerga,гьадаба
691,geradeaus::ADV,to'g'ri,битӏутӏа
692,vorwärts::ADV,ilgari,цебехун
693,rückwärts::ADV,qoloq,нахъ-нахъ
694,zurück::ADV,orqada,нахъе
695,unten::ADV,pastda,ахакь
696,unten::ADV,pastda,гъоркь
697,hinab::ADV,tubanga,эхебе
698,oben::ADV,ustida,тӏад
699,oben::ADV,ustida,тӏадехун
700,hinauf::ADV,yuqorida,эхеде
701,überall::ADV,har erda,кибго
702,nicht::ADV,ämas,
703,ein wenig::ADV,biroz,дагьабго
704,kaum::ADV,arang,хӏалалъ
705,sehr::ADV,ancha,кутакалда
706,so::ADV,shunday,гьедин
707,noch::ADV,hali,жеги
708,nur::ADV,yolg'iz,гӏӣцӏго
709,schon::ADV,endi,
710,wieder::ADV,yana,на́хъеги
711,vergebens::ADV,bekorga,чӏалгӏаде
712,vor::PRP,burun,цебе
713,hinter::PRP,ketida,хадуса
714,unter::PRP,ostida,ахакь
715,unter::PRP,ostida,гъоркь
716,durch::PRP,bo'ylab,
717,neben::PRP,yonida,аскӏо
718,zwischen::PRP,orada,гьоркьоб
719,wegen::PRP,sababli,гьелда
720,dies::PRN,o'sha,гьаб
721,dies::PRN,o'sha,гьеб
722,das::PRN,narigi,доб
723,alles::PRN,har nima,
724,ich::PRN,men,дун
725,du::PRN,sen,дуца
726,er::PRN,u,доб
727,wir::PRN,biz,ниж
728,ihr::PRN,siz,нуж
729,sie::PRN,ular,дол
730,sie::PRN,ular,эл
731,was::FPRN,nima,щиб
732,wer::FPRN,kim,щиб
733,wo::FADV,qaerda,киб
734,wo::FADV,qaerda,кибехун
735,wohin::FADV,qayerga,кибехун
736,wie::FADV,qanday,кин
737,warum::FADV,nega,щай
738,wieviel::FNUM,qancha,кигӏан
739,eins::NUM,bir,цо
740,zwei::NUM,ikki,кӏиго
741,drei::NUM,uch,лъабго
742,vier::NUM,to'rt,ункъо
743,fünf::NUM,besh,щуго
744,sechs::NUM,olti,анлъго
