,Concept_ID,bg,pt
1160,fliehen::V,бягам,fugir
1161,flüchten::V,бягам,refugiar-se
1162,flüchten::V,избягам,refugiar-se
1163,sehen::V,видя,ver
1164,anschauen::V,гледам,olhar
1165,ansehen::V,поглеждам,mirar
1166,hören::V,чувам,ouvir
1167,zuhören::V,слушам,escutar
1168,probieren::V,опитам,provar
1169,probieren::V,опитам,saborear
1170,riechen::V,подуша,cheirar
1171,fühlen::V,усещам,sentir
1172,fühlen::V,чувствувам,sentir
1173,scheinen::V,изглеждам,parecer
1174,zu sehen sein::V,виждам се,estar à vista
1175,vernehmen::V,доловя,ouvir
1176,frieren::V,мръзна,ter frio
1177,tun::V,правя,fazer
1178,können::V,мога,saber
1179,wollen::V,ща,querer
1180,wollen::V,искам,querer
1181,anfangen::V,започна,iniciar
1182,beenden::V,свърша,acabar
1183,beenden::V,свърша,terminar
1184,beenden::V,завърша,acabar
1185,beenden::V,завърша,terminar
1186,aufhören::V,престана,cessar
1187,aufhören::V,престана,desistir
1188,gelingen::V,успея,sair bem
1189,gelingen::V,успея,dar bom resultado
1190,gelingen::V,сполуча,sair bem
1191,gelingen::V,сполуча,dar bom resultado
1192,geraten::V,удам се,sair
1193,geraten::V,удам се,dar resultado
1194,öffnen::V,отворя,abrir
1195,schließen::V,затворя,fechar
1196,stellen::V,поставя,pôr
1197,stellen::V,поставя,colocar
1198,setzen::V,туря,pôr
1199,setzen::V,туря,meter
1200,legen::V,сложа,pôr
1201,legen::V,сложа,meter
1202,legen::V,слагам,pôr
1203,legen::V,слагам,meter
1204,berühren::V,докосна,tocar
1205,verbinden::V,свържа,unir
1206,verbinden::V,свържа,ligar
1207,bedecken::V,покрия,cobrir
1208,aufhängen::V,закача,pendurar
1209,anzünden::V,запаля,acender
1210,aufheben::V,вдигна,apanhar
1211,aufheben::V,вдигна,levantar
1212,aufheben::V,повдигна,apanhar
1213,aufheben::V,повдигна,levantar
1214,zurücklassen::V,оставя,deixar
1215,verlieren::V,загубя,perder
1216,fallen lassen::V,изпусна,deixar cair
1217,machen::V,направя,fazer
1218,herstellen::V,произведа,produzir
1219,bauen::V,строя,edificar
1220,bauen::V,строя,construir
1221,reparieren::V,поправя,reparar
1222,reparieren::V,поправя,consertar
1223,verbessern::V,подобря,melhorar
1224,ändern::V,променя,mudar
1225,ändern::V,променя,alterar
1226,graben::V,копая,cavar
1227,beugen::V,прегъна,curvar
1228,biegen::V,прегъна,vergar
1229,drehen::V,въртя,girar
1230,wenden::V,обърна,virar
1231,wenden::V,обърна,voltar
1232,umdrehen::V,обърна,virar
1233,umdrehen::V,обърна,revolver
1234,heben::V,вдигам,levantar
1235,hochheben::V,издигна,erguer
1236,hochheben::V,издигна,levantar
1237,ergreifen::V,хвана,apanhar
1238,ergreifen::V,обхвана,apanhar
1239,halten::V,държа,segurar
1240,drücken::V,натискам,apertar
1241,drücken::V,притискам,apertar
1242,schieben::V,тикам,empurrar
1243,kratzen::V,одраскам,raspar
1244,lecken::V,лижа,lamber
1245,lecken::V,ближа,lamber
1246,beißen::V,хапя,morder
1247,beißen::V,ухапя,morder
1248,abreißen::V,откъсна,arrancar
1249,abschneiden::V,отрежа,talhar
1250,binden::V,вържа,ligar
1251,stecken::V,пъхна,meter
1252,stecken::V,пъхна,enfiar
1253,brechen::V,троша,romper
1254,brechen::V,троша,quebrar
1255,klopfen::V,чукам,bater
1256,hauen::V,бия,bater
1257,kleben::V,лепя,colar
1258,kleben::V,залепя,colar
1259,reiben::V,трия,esfregar
1260,reiben::V,търкам,esfregar
1261,streichen::V,намажа,barrar
1262,schleifen::V,остря,afiar
1263,schneiden::V,режа,cortar
1264,rütteln::V,разтърсвам,sacudir
1265,schütteln::V,клатя,abanar
1266,schütteln::V,клатя,sacudir
1267,schütteln::V,друсам,abanar
1268,schütteln::V,друсам,sacudir
1269,schwenken::V,размахам,agitar
1270,schütten::V,сипя,deitar
1271,füllen::V,напълня,encher
1272,einwickeln::V,увия,envolver
1273,einwickeln::V,увия,embrulhar
1274,einwickeln::V,завия,envolver
1275,einwickeln::V,завия,embrulhar
1276,tragen::V,нося,levar
1277,tragen::V,нося,trazer
1278,schleppen::V,влача,arrastar
1279,ziehen::V,тегля,puxar
1280,ziehen::V,дръпна,puxar
1281,aufbewahren::V,съхраня,guardar
1282,aufbewahren::V,съхраня,conservar
1283,werfen::V,хвърля,lançar
1284,fangen::V,ловя,apanhar
1285,fangen::V,уловя,apanhar
1286,packen::V,хвана,agarrar
1287,verstecken::V,крия,esconder
1288,verstecken::V,скрия,esconder
1289,teilen::V,разделя,partir
1290,teilen::V,разделя,dividir
1291,schicken::V,изпращам,enviar
1292,bringen::V,донеса,trazer
1293,hinzufügen::V,прибавя,acrescentar
1294,bekommen::V,сдобия се,obter
1295,erhalten::V,получа,receber
1296,nehmen::V,взема,tomar
1297,wählen::V,избирам,eleger
1298,wählen::V,избирам,escolher
1299,auswählen::V,избера,escolher
1300,auswählen::V,избера,seleccionar
1301,bewahren::V,пазя,guardar
1302,bewahren::V,пазя,conservar
1303,behindern::V,преча,impedir
1304,behindern::V,спъвам,impedir
1305,verderben::V,разваля,estragar
1306,verderben::V,разваля,corromper
1307,beschädigen::V,повредя,danificar
1308,zerbrechen::V,счупя,romper
1309,zerbrechen::V,счупя,quebrar
1310,zerreißen::V,скъсам,rasgar
1311,zerstören::V,разруша,destruir
1312,verbrennen::V,изгоря,queimar
1313,geben::V,дам,dar
1314,reichen::V,подам,passar
1315,schenken::V,подаря,oferecer
1316,versprechen::V,обещая,prometer
1317,wünschen::V,желая,desejar
1318,loben::V,хваля,louvar
1319,küssen::V,целувам,beijar
1320,wiegen::V,люлея,embalar
1321,zudecken::V,покрия,tapar
1322,zudecken::V,покрия,cobrir
1323,wecken::V,събудя,acordar
1324,wecken::V,събудя,despertar
1325,zeigen::V,покажа,mostrar
1326,führen::V,водя,guiar
1327,führen::V,водя,conduzir
1328,führen::V,заведа,guiar
1329,führen::V,заведа,conduzir
1330,lehren::V,уча,ensinar
1331,unterrichten::V,преподавам,instruir
1332,aufziehen::V,отгледам,criar
1333,leiten::V,ръководя,dirigir
1334,leiten::V,ръководя,conduzir
1335,leiten::V,управлявам,dirigir
1336,leiten::V,управлявам,conduzir
1337,antreiben::V,подкарвам,impelir
1338,lassen::V,накарам,fazer
1339,einladen::V,поканя,convidar
1340,vereinigen::V,съединя,unir
1341,vereinigen::V,съединя,reunir
1342,besuchen::V,посетя,ir ver
1343,besuchen::V,посетя,visitar
1344,treffen::V,срещна,encontrar
1345,sich versammeln::V,събера се,reunir-se
