,Concept_ID,de,cv
108,Quelle::N,Quelle,ҫӑл куҫ
109,Bach::N,Bach,пӗчӗк шыв
110,Fluss::N,Fluss,юхан шыв
111,Ufer::N,Ufer,ҫыран
112,Küste::N,Küste,тинӗс ҫыранӗ
113,Festland::N,Festland,тип ҫӗр
114,Meer::N,Meer,тинӗс
115,Bucht::N,Bucht,тинӗс кукӑрӗ
116,Insel::N,Insel,утрав
117,Blume::N,Blume,чечек
118,Gras::N,Gras,курӑк
119,Wurzel::N,Wurzel,тымар
120,Baum::N,Baum,йывӑҫ
121,Stamm::N,Stamm,вулӑ
122,Rinde::N,Rinde,хуйӑр
123,Ast::N,Ast,турат
124,Zweig::N,Zweig,турат
125,Blatt::N,Blatt,ҫулҫӑ
126,Birke::N,Birke,хурӑн
127,Kiefer[Baum]::N,Kiefer,хыр
128,Weide[Baum]::N,Weide,хӑва
129,Tanne::N,Tanne,чӑрӑш
130,Horn::N,Horn,мӑйрака
131,Feder::N,Feder,тӗк
132,Fell::N,Fell,ҫӑм
133,Flügel::N,Flügel,ҫунат
134,Klaue::N,Klaue,чӗрне
135,Kralle::N,Kralle,ура
136,Schwanz::N,Schwanz,хӳре
137,Ei::N,Ei,ҫӑмарта
138,Nest::N,Nest,йӑва
139,Bau::N,Bau,йӗнӗ
140,Tier::N,Tier,выльӑх
141,Herde::N,Herde,кӗтӳ
142,Kuh::N,Kuh,ӗне
143,Bulle::N,Bulle,вӑкӑр
144,Pferd::N,Pferd,лаша
145,Schaf::N,Schaf,сурӑх
146,Schwein::N,Schwein,сысна
147,Hund::N,Hund,йытӑ
148,Katze::N,Katze,кушак
149,Bär::N,Bär,упа
150,Eichhörnchen::N,Eichhörnchen,пакша
151,Elch::N,Elch,пӑши
152,Fuchs::N,Fuchs,тилӗ
153,Hase::N,Hase,куян
154,Hase::N,Hase,мулкач
155,Maus::N,Maus,шӑши
156,Wolf::N,Wolf,кашкӑр
157,Vogel::N,Vogel,кайӑк
158,Vogel::N,Vogel,вӗҫен кайӑк
159,Schwarm::N,Schwarm,ушкӑн
160,Huhn::N,Huhn,чӑх
161,Huhn::N,Huhn,чӑхӑ
162,Hahn::N,Hahn,автан
163,Gans::N,Gans,хур
164,Adler::N,Adler,ӑмӑрт кайӑк
165,Ente::N,Ente,кӑвакал
166,Eule::N,Eule,тӑмана
167,Kranich::N,Kranich,тӑрна
168,Krähe::N,Krähe,ула курак
169,Kuckuck::N,Kuckuck,куккук
170,Schwan::N,Schwan,акӑш
171,Fisch::N,Fisch,пулӑ
172,Barsch::N,Barsch,уланкӑ
173,Hecht::N,Hecht,ҫӑрттан
174,Schlange[Tier]::N,Schlange,ҫӗлен
175,Wurm::N,Wurm,ӑман
176,Spinne::N,Spinne,эрешмен
177,Ameise::N,Ameise,кӑткӑ
178,Laus::N,Laus,пыйтӑ
179,Mücke::N,Mücke,вӑрӑм туна
180,Fliege::N,Fliege,шӑна
181,Schmetterling::N,Schmetterling,лӗпӗш
182,Beere::N,Beere,ҫырла
183,Apfel::N,Apfel,улма
184,Apfel::N,Apfel,пан улми
185,Pilz::N,Pilz,кӑмпа
186,Zwiebel::N,Zwiebel,сухан
187,Saat::N,Saat,вӑрӑ
188,Korn::N,Korn,тӗшӗ
189,Korn::N,Korn,пӗрчӗ
190,Heu::N,Heu,утӑ
191,Schale::N,Schale,хупӑ
192,Grube::N,Grube,шӑтӑк
193,Falle::N,Falle,тапӑ
194,Falle::N,Falle,капкӑн
195,Schlinge::N,Schlinge,йӑлӑ
196,Spur::N,Spur,йӗр
197,Asche::N,Asche,кӗл
198,Dreck::N,Dreck,пылчӑк
199,Eisen::N,Eisen,тимӗр
200,Gold::N,Gold,ылтӑн
201,Silber::N,Silber,кӗмӗл
202,Kohle::N,Kohle,кӑмрӑк
203,Glas::N,Glas,кӗленче
204,Lehm::N,Lehm,тӑм
205,Sand::N,Sand,хӑйӑр
206,Mensch::N,Mensch,ҫын
207,Mensch::N,Mensch,этем
208,Mann::N,Mann,ар
209,Frau::N,Frau,хӗрарӑм
210,Kind::N,Kind,ача
211,Junge::N,Junge,ача
212,Junge::N,Junge,ар ҫын ача
213,Mädchen::N,Mädchen,хӗр ача
214,Familie::N,Familie,ҫемье
215,Familie::N,Familie,кил-йыш
216,Großvater::N,Großvater,кукаҫи
217,Großmutter::N,Großmutter,кукамай
218,Eltern::N,Eltern,аҫа-ама
219,Vater::N,Vater,атте
220,Mutter::N,Mutter,анне
221,Sohn::N,Sohn,ывӑл
222,Tochter::N,Tochter,хӗр
223,Bruder::N,Bruder,ар тӑван
224,Schwester::N,Schwester,аппа
225,Schwester::N,Schwester,йӑмӑк
226,Onkel::N,Onkel,мучи
227,Onkel::N,Onkel,пичче
228,Tante::N,Tante,аппа
229,Ehemann::N,Ehemann,упӑшка
230,Ehefrau::N,Ehefrau,арӑм
231,Freude::N,Freude,савӑнӑҫ
232,Freude::N,Freude,хаваслӑх
233,Gelächter::N,Gelächter,кулӑ
234,Glück::N,Glück,телей
235,Glück::N,Glück,ӑраскал
236,Kummer::N,Kummer,хурлӑх
237,Wunsch::N,Wunsch,ӗмӗт
238,Wunsch::N,Wunsch,кӑмӑл
239,Lust::N,Lust,кӑмӑл
240,Geist::N,Geist,чун-чӗм
241,Geist::N,Geist,ыр-усал
242,Geist::N,Geist,чун хавалӗ
243,Gedanke::N,Gedanke,шухӑш
244,Gedächtnis::N,Gedächtnis,ас
245,Verstand::N,Verstand,ӑс
246,Verstand::N,Verstand,ӑс-тӑн
247,Verstand::N,Verstand,ӑс-хакӑл
