,Concept_ID,cs,it
677,stumpf::A,tupý,smussato
678,schwer::A,těžký,pesante
679,schön::A,pěkný,bello
680,schön::A,krásný,bello
681,heiß::A,horký,caldo
682,heiß::A,horký,bollente
683,warm::A,teplý,caldo
684,kalt::A,studený,freddo
685,kühl::A,chladný,fresco
686,frisch::A,svěží,fresco
687,feucht::A,vlhký,ùmido
688,nass::A,mokrý,bagnato
689,trocken::A,suchý,secco
690,voll::A,plný,pieno
691,leer::A,prázdný,vuoto
692,offen::A,otevřený,aperto
693,geschlossen::A,zavřený,chiuso
694,sauber::A,čistý,netto
695,sauber::A,čistý,pulito
696,schmutzig::A,špinavý,sporco
697,schmutzig::A,špinavý,sùdicio
698,roh::A,syrový,crudo
699,reif::A,zralý,maturo
700,lecker::A,chutný,ghiotto
701,lecker::A,chutný,squisito
702,süß::A,sladký,dolce
703,bitter::A,hořký,amaro
704,sauer::A,kyselý,aspro
705,sauer::A,kyselý,acerbo
706,hell::A,světlý,chiaro
707,dunkel::A,temný,buio
708,dunkel::A,temný,oscuro
709,schwarz::A,černý,nero
710,weiß::A,bílý,bianco
711,rot::A,rudý,rosso
712,rot::A,červený,rosso
713,gelb::A,žlutý,giallo
714,blau::A,modrý,blu
715,blau::A,modrý,azzurro
716,grün::A,zelený,verde
717,grau::A,šedý,grigio
718,grau::A,šedivý,grigio
719,bunt::A,pestrý,variopinto
720,billig::A,levný,a buon prezzo
721,billig::A,levný,a buon mercato
722,billig::A,laciný,a buon prezzo
723,billig::A,laciný,a buon mercato
724,teuer::A,drahý,caro
725,wertvoll::A,cenný,prezioso
726,blind::A,slepý,cieco
727,taub::A,hluchý,sordo
728,kräftig::A,silný,forte
729,kräftig::A,silný,robusto
730,stark::A,silný,forte
731,stark::A,silný,vigoroso
732,schwach::A,slabý,dèbole
733,fett::A,tučný,grasso
734,fett::A,tlustý,grasso
735,schlank::A,štíhlý,snello
736,schlank::A,štíhlý,slanciato
737,hübsch::A,hezký,bello
738,hübsch::A,hezký,carino
739,böse::A,zlý,cattivo
740,dumm::A,hloupý,stùpido
741,faul::A,líný,pigro
742,fleißig::A,pilný,diligente
743,geizig::A,lakomý,avaro
744,klug::A,chytrý,intelligente
745,geschickt::A,šikovný,àbile
746,lieb::A,milý,caro
747,lustig::A,veselý,gaio
748,lustig::A,veselý,allegro
749,sanft::A,mírný,dolce
750,hungrig::A,hladový,affamato
751,krank::A,nemocný,malato
752,krank::A,nemocný,infermo
753,nackt::A,nahý,nudo
754,traurig::A,smutný,triste
755,traurig::A,truchlivý,triste
756,lebendig::A,živý,vivo
757,gut::A,dobrý,buono
758,schlecht::A,špatný,cattivo
759,richtig::A,pravý,giusto
760,richtig::A,správný,giusto
761,schlimm::A,zlý,grave
762,wahr::A,pravdivý,vero
763,alt::A,starý,vecchio
764,neu::A,nový,nuovo
765,ehemalig::A,bývalý,vecchio
766,ehemalig::A,bývalý,d'una_volta
767,alt[Lebewesen]::A,starý,anziano
768,jung::A,mladý,giovane
769,arm::A,chudý,pòvero
770,reich::A,bohatý,ricco
771,bekannt::A,známý,noto
772,bekannt::A,známý,conosciuto
773,berühmt::A,slavný,famoso
774,berühmt::A,slavný,cèlebre
775,fremd::A,cizí,estràneo
776,fremd::A,cizí,straniero
777,verschieden::A,různý,diverso
778,verschieden::A,různý,differente
779,verschieden::A,rozličný,diverso
780,verschieden::A,rozličný,differente
781,nah::A,blízký,vicino
782,nah::A,blízký,propinquo
783,fern::A,daleký,lontano
784,linker::A,levý,sinistro
785,rechter::A,pravý,destro
786,anderer::A,jiný,altro
787,erster::A,první,primo
788,zweiter::A,druhý,secondo
789,dritter::A,třetí,terzo
790,letzter::A,poslední,ùltimo
791,allein::ADV,sám,solo
792,allein::ADV,sám,da solo
793,auf einmal::ADV,najednou,insieme
794,zusammen::ADV,spolu,insieme
795,zusammen::ADV,dohromady,insieme
796,lange::ADV,dlouho,a lungo
