,Concept_ID,kn,el
354,Wiege::N,ತೊಟ್ಟಿಲು,κούνια
355,Bett::N,ಹಾಸಿಗೆ,κρεβάτι
356,Regal::N,ಬೀರು,ράφι
357,Kiste::N,ಪಟ್ಟಿಗೆ,κιβώτιο
358,Fenster::N,ಕಿಟಕಿ,παράθυρο
359,Tür::N,ಬಾಗಿಲು,πόρτα
360,Tor::N,ಹೆಬ್ಬಾಗಿಲು,πύλη
361,Zaun::N,ಬೇಲಿ,φράχτης
362,Dach::N,ಮಾಳಿಗೆ,στέγη
363,Leiter::N,ಏಣಿ,σκάλα
364,Leiter::N,ಏಣಿ,κλίμακα
365,Besen::N,ಪೊರಕೆ,σκούπα
366,Spaten::N,ಗುದ್ದಲಿ,φτυάρι
367,Schaufel::N,ಸನಿಕೆ,φτυάρι
368,Gabel::N,ಕವಲು,πιρούνι
369,Löffel::N,ಚಮಚ,κουτάλι
370,Messer::N,ಚಾಕು,μαχαίρι
371,Nagel::N,ಆಣಿ,καρφί
372,Netz::N,ಬಲೆ,δίχτυ
373,Haken::N,ಕೊಂಡಿ,γάντζος
374,Haken::N,ಕೊಂಡಿ,αγκίστρι
375,Griff::N,ಹಿಡಿ,λαβή
376,Schloss::N,ವೀಗ,κλειδαριά
377,Bild::N,ಚಿತ್ರ,εικόνα
378,Figur::N,ಆಕಾರ,ανάστημα
379,Puppe::N,ಗೊಂಬೆ,κούκλα
380,Beutel::N,ಸಂಚಿ,πουγγί
381,Bündel::N,ಕಟ್ಟು,δεμάτι
382,Tasche::N,ಚೀಲ,τσάντα
383,Eimer::N,ಬಾನೆ,κουβάς
384,Deckel::N,ಮುಚ್ಚಳ,καπάκι
385,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,σκεύη
386,Sack::N,ಮೂಟೆ,σάκος
387,Tasse::N,ಬಟ್ಟಲು,φλιτζάνι
388,Topf::N,ಮಡಕೆ,χύτρα
389,Kessel::N,ಕೆಟಲ್,καζάνι
390,Essen::N,ಊಟ,φαγητό
391,Nahrung::N,ಆಹಾರ,τροφή
392,Speise::N,ಊಟ,φαγητό
393,Fleisch::N,ಮಾಂಸ,κρέας
