,Concept_ID,mn,ta
455,Stoff::N,бөс,துணி
456,Nadel::N,зүү,ஊசி
457,Faden::N,боолт,நூல்
458,Faden::N,утас,நூல்
459,Knopf::N,товч,பொத்தான்
460,Knoten::N,зангилаа,முடிச்சு
461,Farbe::N,будаг,வண்ணக் குழம்பு
462,Kleidung::N,хувцас,ஆடைகள்
463,Hemd::N,цамц,சட்டை
464,Kragen::N,зах заам,கழுத்துப் பட்டை
465,Ärmel::N,ханцуй,சட்டைக்கை
466,Hose::N,өмд,கால்சட்டை
467,Gürtel::N,бүс,பெல்ட்
468,Mütze::N,малгай,தொப்பி
469,Mütze::N,бүрх,தொப்பி
470,Schuh::N,туфли,காலணி
471,Stiefel::N,гутал,காலணி
472,Ring::N,бөгж,மோதிரம்
473,Band::N,тууз,நாடா
474,Kamm::N,сам,கீப்பு
475,Spiegel::N,толь,ஆடி
476,Spiegel::N,толь,கண்ணாடி
477,Riemen::N,тасам,வார்
478,Riemen::N,сур,வார்
479,Schnur::N,татлага,கயிறு
480,Leine::N,оосор,தோல்வார்
481,Decke::N,хөнжил,போர்வை
482,Decke::N,хучлага,போர்வை
483,Kissen::N,дэр,தலையணை
484,Tuch::N,алчуур,துணி
485,Tuch::N,даавуу,துணி
486,Handtuch::N,алчуур,தண்டு
487,Kraft::N,чадал,நிர்பந்தம்
488,Kraft::N,хүч,நிர்பந்தம்
489,Stärke::N,эрч,பலம்
490,Stärke::N,тэнхээ,பலம்
491,Gesundheit::N,бие,ஆரோக்கியம்
492,Gesundheit::N,эрүүл мэнд,ஆரோக்கியம்
493,Krankheit::N,эмгэг,நோய்
494,Schmerz::N,өвчин,வலி
495,Wunde::N,шарх,காயம்
496,Fieber::N,халуун,காய்ச்சல்
497,Arznei::N,эм,மருந்து
498,Brücke::N,гүүр,பாலம்
499,Brunnen::N,худаг,கேணி
500,Weide::N,бэлчээр,மேய்ச்சல் நிலம்
501,Pfad::N,жим,நடை வழி
502,Pfad::N,зөрөг,நடை வழி
503,Weg::N,зам,வழி
504,Weg::N,харгуй,வழி
505,Straße::N,зам,சாலை
506,Straße::N,харгуй,சாலை
507,Dorf::N,тосгон,கிராமம்
508,Dorf::N,гацаа,கிராமம்
509,Stadt::N,хот,நகரம்
510,Brief::N,захидал,கடிதம்
511,Brief::N,захиа,கடிதம்
512,Buch::N,ном,புத்தகம்
513,Buch::N,бичиг,புத்தகம்
514,Buchstabe::N,үсэг,எழத்து
515,Zeitung::N,сонин,செய்தித்தாள்
516,Leben::N,амь,வாழ்க்கை
517,Leben::N,амьдрал,வாழ்க்கை
518,Tod::N,үхэл,மரணம்
519,Grab::N,булш,சமாதி
520,Kirche::N,сүм,தேவாலயம்
521,Sünde::N,нүгэл,பாவம்
522,Sünde::N,хилэнц,பாவம்
523,Gott::N,бурхан,கடவுள்
524,Arbeiter::N,ажилчин,தொழிலாளி
525,Arbeiter::N,хөдөлмөрчин,தொழிலாளி
526,Chef::N,дарга,மேலாளர்
527,Meister::N,дархан,தலைவன்
528,Arzt::N,эмч,மருத்துவர்
529,Lehrer::N,багш,ஆசிரியர்
530,Geld::N,цаас,பணம்
531,Geld::N,мөнгө,பணம்
532,Geschäft::N,наймаа,வாணிபம்
533,Laden::N,дэлгүүр,கடை
534,Preis::N,үнэ,விலை
535,Ware::N,таваар,சாமன்கள்
536,Ware::N,бараа,சாமன்கள்
537,Nutzen::N,ашиг,இலாபம்
538,Reichtum::N,баялаг,சொத்து
539,Welt::N,дэлхий,உலகம்
540,Welt::N,орчлон,உலகம்
541,Land::N,улс,நாடு
542,Land::N,орон,நாடு
543,Staat::N,төр,நாடு
544,Staat::N,гүрэн,நாடு
545,König::N,ван,அரசன்
546,Macht::N,засаг,அதிகாரம்
547,Grenze::N,хил,எல்லை
548,Krieg::N,дайн,போர்
549,Feind::N,дайсан,எதிரி
550,Gewalt::N,хүчирхэх,வன்முறை
551,Kampf::N,тэмцэл,போராட்டம்
552,Kampf::N,байлдаан,போராட்டம்
553,Bogen[Waffe]::N,нум,வில்
554,Pfeil::N,годил,அம்பு
555,Pfeil::N,сум,அம்பு
556,Gewehr::N,буу,துப்பாக்கி
557,Fehler::N,эндэл,தவறு
558,Fehler::N,алдаа,தவறு
559,Lüge::N,худал,பொய்
560,Schaden::N,хор,சேதாரம்
561,Schaden::N,хөнөөл,சேதாரம்
562,Unglück::N,гай,இடையூறு
563,Unglück::N,гамшиг,இடையூறு
564,Schuld::N,гэм,குற்றம்
565,Schuld::N,буруу,குற்றம்
566,Alter::N,нас,வயது
567,Schluss::N,эцэс,முடிவு
568,Schluss::N,төгсгөл,முடிவு
569,Zeit::N,цаг,காலம்
570,Tag::N,өдөр,நாள்
571,Morgen::N,өглөө,காலை நேரம்
572,Mittag::N,үд,மதியம்
573,Abend::N,үдэш,மாலைப் பொழுது
574,Nacht::N,шөнө,இரவு
575,Woche::N,долоо хоног,வாரம்
576,Monat::N,сар,மாதம்
577,Jahr::N,жил,வருடம்
578,Frühling::N,хавар,வசந்தம்
579,Sommer::N,зун,கோடை
580,Herbst::N,намар,இலையுதிர் காலம்
581,Winter::N,өвөл,குளிர்காலம்
582,Januar::N,нэгдүгээр сар,ஜனவரி
583,Februar::N,хоёрдугаар сар,பிபரவரி மாதம்
584,März::N,гуравдугаар сар,மார்ச் மாதம்
585,April::N,дөрөвдүгээр сар,ஏப்ரல் மாதம்
586,Mai::N,тавдугаар сар,மே மாதம்
587,Juni::N,зургаадугаар сар,ஜூன் மாதம்
588,Juli::N,долдугаар сар,ஜூலை மாதம்
589,August::N,наймдугаар сар,ஆகஸ்ட் மாதம்
590,September::N,есдүгээр сар,செப்டம்பர் மாதம்
591,Oktober::N,аравдугаар сар,அக்டோபர் மாதம்
592,November::N,арван нэгдүгээр сар,நவம்பர் மாதம்
593,Dezember::N,арван хоёрдугаар сар,டிசம்பர்
594,Montag::N,даваа,திங்கட் கிழமை
595,Dienstag::N,мягмар,செவ்வாய்க்கிழமை
596,Mittwoch::N,лхагва,புதன் கிழமை
597,Donnerstag::N,пүрэв,வியாழக் கிழமை
598,Freitag::N,баасан,வெள்ளிக்கிழமை
599,Samstag::N,бямба,சனிக்கிழமை
600,Sonntag::N,ням,ஞாயிறுக் கிழமை
601,groß::A,их,பெரிய
602,groß::A,том,பெரிய
603,klein::A,бага,சிறிய
604,klein::A,жаахан,சிறிய
605,lang::A,урт,நீண்ட
606,kurz::A,охор,குட்டையான
607,kurz::A,богино,குட்டையான
608,breit::A,өргөн,அகலமான
609,schmal::A,уйтан,குறுகலான
610,schmal::A,нарийн,குறுகலான
611,dicht::A,нягт,அடர்த்தியான
612,dicht::A,чигжүү,அடர்த்தியான
613,dick[Gegenstand]::A,зузаан,தடித்த
614,dünn::A,нимгэн,சன்னமான
615,fein::A,нарийн,மெல்லிய
616,fest::A,бөх,உறுதியாள
617,fest::A,хатуу,உறுதியாள
618,flach::A,хавтгай,தட்டையான
619,glatt::A,цагаан,வழுவழுப்பான
620,hart::A,хатуу,கடினமான
621,weich::A,зөөлөн,மென்மையான
622,rund::A,дугуй,உருண்டையான
623,rund::A,дугариг,உருண்டையான
624,spitz::A,шовх,திகந்தமாக
625,spitz::A,шовгор,திகந்தமாக
626,scharf::A,хурц,கூரான
627,scharf::A,иртэй,கூரான
628,stumpf::A,мохоо,உளம் திறந்த
629,schwer::A,хүнд,கனமான
630,schön::A,гуа,அழகான
631,schön::A,сайхан,அழகான
632,heiß::A,халуун,சூடான
633,warm::A,дулаан,இதமான
634,kalt::A,хүйтэн,குளிர்ச்சியான
635,kühl::A,сэрүүн,குளிர்ச்சியான
636,frisch::A,эрүүл,சுத்தமான
637,frisch::A,жихүүн,சுத்தமான
638,feucht::A,чийгтэй,ஈரமான
639,nass::A,нойтон,ஈரமான
640,trocken::A,хатсан,உலர்ந்த
641,voll::A,дүүрэн,நிரம்பிய
642,leer::A,хоосон,காலியான
643,offen::A,онгорхой,திறந்த
644,geschlossen::A,битүү,மூடப்பட்ட
645,geschlossen::A,хаалтай,மூடப்பட்ட
646,sauber::A,цэвэр,சுத்தமான
647,sauber::A,хиргүй,சுத்தமான
648,schmutzig::A,бохир,அழக்கான
649,schmutzig::A,хиртэй,அழக்கான
650,roh::A,түүхий,கச்சா
651,reif::A,болсон,பழுத்த
652,lecker::A,амттай,சுவைமிக்க
653,süß::A,амттай,இனிப்பான
654,süß::A,чихэрлэг,இனிப்பான
655,bitter::A,гашуун,கசப்பான
656,sauer::A,эсгэлэн,புளிப்பாக
657,hell::A,гэгээн,பளபளப்பான
658,hell::A,гэрэлтэй,பளபளப்பான
659,dunkel::A,бараан,கருமையான
660,dunkel::A,харанхуй,கருமையான
661,schwarz::A,хар,கருப்பு வண்ண
662,weiß::A,цагаан,வெண்மையன
663,rot::A,улаан,சிவப்பு
664,gelb::A,шар,மஞ்சள் வண்ணம்
665,blau::A,хөх,நீல வண்ண
666,blau::A,цэнхэр,நீல வண்ண
667,grün::A,ногоон,பச்சை வண்ண
668,grau::A,орог,சாம்பல் நிற
669,grau::A,саарал,சாம்பல் நிற
670,bunt::A,эрээн,வண்ண மயமான
671,billig::A,хямд,மலிவான
672,teuer::A,үнэтэй,விலை அதிகமான
673,wertvoll::A,үнэт,மதிப்புள்ள
