,Concept_ID,os,av
139,Kiefer[Baum]::N,нӕзы,накӏкӏигъветӏ
140,Weide[Baum]::N,хӕрис,рицӏцӏ
141,Weide[Baum]::N,хӕрис,рицӏцӏигъветӏ
142,Tanne::N,наз,ёлка
143,Horn::N,сыкъа,лълъар
144,Feder::N,сис,хӏули
145,Fell::N,царм,тӏом
146,Fell::N,царм,цӏоко
147,Flügel::N,базыр,кваркьи
148,Klaue::N,ных,галъ
149,Kralle::N,дзӕмбы,квачӏ
150,Kralle::N,дзӕмбы,катиквачӏ
151,Schwanz::N,къӕдзил,рачӏ
152,Ei::N,айк,хоно
153,Nest::N,ахстон,бусен
154,Bau::N,хуынкъ,каратӏ
155,Tier::N,сырд,хӏайван
156,Tier::N,цӕрӕгой,хӏайван
157,Herde::N,дзуг,рехъен
158,Herde::N,дзуг,рехъед
159,Herde::N,рӕгъау,рехъен
160,Herde::N,рӕгъау,рехъед
161,Kuh::N,хъуг,гӏака
162,Bulle::N,гал,оц
163,Pferd::N,бӕх,чу
164,Schaf::N,фыс,чахъу
165,Schwein::N,хуы,болъон
166,Hund::N,куыдз,гьой
167,Katze::N,гӕды,кету
168,Bär::N,арс,ци
169,Eichhörnchen::N,æхсæрæг,гвангва
170,Elch::N,цæгатаг саг,
171,Fuchs::N,рувас,цер
172,Hase::N,тæрхъус,гӏанкӏ
173,Maus::N,мыст,гӏункӏкӏ
174,Wolf::N,бирӕгъ,бацӏ
175,Vogel::N,цъиу,хӏинчӏ
176,Vogel::N,маргъ,хӏинчӏ
177,Schwarm::N,бал,тӏел
178,Huhn::N,карк,гӏанкӏу
179,Hahn::N,уасӕг,хӏелеко
180,Gans::N,хъаз,хъаз
181,Adler::N,цӕргӕс,цӏум
182,Ente::N,ацц,ордек
183,Eule::N, уыг,беццаруз
184,Eule::N,сидахъ,беццаруз
185,Kranich::N,зырнæг,къункъра
186,Kranich::N,хърихъупп,къункъра
187,Krähe::N,халон,гъеду
188,Kuckuck::N,гаккук,гагу
189,Schwan::N,доныхъаз,хӏанкъва
190,Fisch::N,кӕсаг,ччугӏа
191,Barsch::N,окунь,окунь
192,Hecht::N,хихор кӕсаг,щука
193,Schlange[Tier]::N,калм,борохь
194,Wurm::N,зулкъ,хӏапара
195,Wurm::N,къуыдыргалм,хӏапара
196,Spinne::N,хӕлуарӕг,хъанхъра
197,Ameise::N,мæлдзыг,цӏунцӏра
198,Laus::N,сыст,нацӏ
199,Mücke::N,къогъо,кӏкӏара
200,Fliege::N,бындз,тӏутӏ
201,Schmetterling::N,гæлæбу,кӏалкӏучӏ
202,Beere::N,гагадыргъ,
203,Apfel::N,фӕткъуы,гӏеч
204,Pilz::N,зокъо,гӏурдахӏан
205,Pilz::N,къозо,гӏурдахӏан
206,Zwiebel::N,хъӕдындз,кӏочӏопер
207,Saat::N,тауинаг,хьон
208,Saat::N,мыггаг,хьон
209,Korn::N,мыггаг,мугь
210,Korn::N,тауинаг,мугь
211,Heu::N,хос,хер
212,Schale::N,цъар,хъал
213,Grube::N,урм,гвенд
214,Grube::N,къахт,гвенд
215,Grube::N,дзыхъхъ,гвенд
216,Falle::N,цъысым,къор
217,Falle::N,цъысым,къотен
