,Concept_ID,mhr,ga
523,Riemen::N,кӱзанӱ́штӧ,iall
524,Riemen::N,кӱзанӱ́штӧ,strapa
525,Schnur::N,кере́м,téad
526,Schnur::N,кере́м,sreangán
527,Schnur::N,кандыра́,téad
528,Schnur::N,кандыра́,sreangán
529,Leine::N,вӱра́ҥ,iall
530,Decke::N,леве́дыш,pluid
531,Decke::N,леве́дыш,blaincéad
532,Decke::N,одея́л,pluid
533,Decke::N,одея́л,blaincéad
534,Kissen::N,кӱ́пчык,piliúr
535,Kissen::N,кӱ́пчык,adhartán
536,Tuch::N,шо́выч,scaif
537,Handtuch::N,со́лык,tuáille
538,Kraft::N,вий,fórsa
539,Kraft::N,куа́т,fórsa
540,Stärke::N,куа́т,neart
541,Stärke::N,карма́н,neart
542,Gesundheit::N,таза́лык,sláinte
543,Krankheit::N,чер,tinneas
544,Krankheit::N,чер,breoiteacht
545,Schmerz::N,ко́рштыш,pian
546,Wunde::N,су́сыр,goin
547,Fieber::N,йӱштыму́ж,fiabhras
548,Fieber::N,лихора́дке,fiabhras
549,Arznei::N,эм,cógas
550,Brücke::N,кӱва́р,droichead
551,Brunnen::N,вӱдвыне́м,tobar
552,Weide::N,нурше́р,féarach
553,Pfad::N,йолго́рно,cosán
554,Pfad::N,йолго́рно,conair
555,Pfad::N,сокма́к,cosán
556,Pfad::N,сокма́к,conair
557,Weg::N,ко́рно,slí
558,Weg::N,ко́рно,bealach
559,Straße::N,ко́рно,bóthar
560,Dorf::N,ял,sráidbhaile
561,Stadt::N,ола́,baile
562,Stadt::N,ола́,cathair
563,Brief::N,се́рыш,litir
564,Buch::N,книга́,cín
565,Buch::N,книга́,leabhar
566,Buchstabe::N,буква́,litir
567,Zeitung::N,газе́т,nuachtán
568,Leben::N,и́лыш,saol
569,Leben::N,и́лыш,beatha
570,Tod::N,колыма́ш,bás
571,Grab::N,шӱга́р,uaigh
572,Kirche::N,че́рке,eaglais
573,Sünde::N,су́лык,peaca
574,Gott::N,ю́мо,dia
575,Arbeiter::N,паша́зе,oibrí
576,Chef::N,тӧра́,saoiste
577,Chef::N,тӧра́,ceannasaí
578,Meister::N,маста́р,máistir
579,Arzt::N,врач,lia
580,Arzt::N,врач,dochtúir
581,Lehrer::N,ту́ныктышо,oide
582,Lehrer::N,ту́ныктышо,múinteoir
583,Geld::N,окса́,airgead
584,Geschäft::N,сатулыма́ш,gnó
585,Laden::N,ке́выт,siopa
586,Preis::N,ак,praghas
587,Ware::N,сату́,earra
588,Nutzen::N,пайда́,tairbhe
589,Reichtum::N,поя́нлык,rachmas
590,Reichtum::N,поя́нлык,saibhreas
591,Welt::N,тӱня́,domhan
592,Land::N,эл,tír
593,Staat::N,кугыжа́ныш,stát
594,König::N,кугыжа́,rí
595,Macht::N,власть,cumhacht
596,Grenze::N,грани́ца,críoch
597,Grenze::N,грани́ца,teorainn
598,Krieg::N,сар,cogadh
599,Feind::N,тушма́н,namhaid
600,Gewalt::N,виешлыма́ш,foréigean
601,Kampf::N,кредалма́ш,troid
602,Bogen[Waffe]::N,юҥе́ж,bogha
603,Pfeil::N,пикш,saighead
604,Gewehr::N,пыча́л,gunna
605,Fehler::N,йо́ҥылыш,botún
606,Fehler::N,йо́ҥылыш,meancóg
607,Lüge::N,шоя́к,bréag
608,Lüge::N,шоя́к,éitheach
609,Schaden::N,зия́н,dochar
610,Schaden::N,зия́н,damáiste
